Date_Ticker,Close_JINDALSTEL.NS,High_JINDALSTEL.NS,Low_JINDALSTEL.NS,Open_JINDALSTEL.NS,Volume_JINDALSTEL.NS,MA_20_Unnamed: 6_level_1,MA_50_Unnamed: 7_level_1,Normalised Close_Unnamed: 8_level_1,Return Ratio_Unnamed: 9_level_1,Percentage Change Open_Unnamed: 10_level_1,Percentage Change High_Unnamed: 11_level_1,Percentage Change Low_Unnamed: 12_level_1,Sector_Unnamed: 13_level_1,Sector Encoded_Unnamed: 14_level_1
Date,,,,,,,,,,,,,,
2020-01-10,174.5338134765625,177.25086982326016,172.60717653683068,174.87962667835887,18329483.0,,,-1.2711630228395994,,0.0019813536122776,0.0155675069064054,-0.0110387603488107,Metals & Mining,14.0
2020-01-13,175.9170379638672,177.59666965472115,172.0143603385313,175.67003286003586,15771923.0,,,-1.2658686689681735,0.0079252521889715,-0.0014040999478519,0.0095478625055007,-0.0221847620361677,Metals & Mining,14.0
2020-01-14,171.91555786132812,178.48588780666455,169.59370377935448,176.36164987498316,22197682.0,,,-1.2811845138413305,-0.0227464044918773,0.0258620689655171,0.0382183557269217,-0.0135057822041126,Metals & Mining,14.0
2020-01-15,177.9918670654297,178.58468532928578,169.09968356355654,170.8287192444763,28161176.0,,,-1.2579271673628858,0.0353447313302667,-0.0402442422738349,0.0033305918614705,-0.0499583697192433,Metals & Mining,14.0
2020-01-16,176.85565185546875,179.6221119946639,173.9903987217278,178.2882784223392,20938516.0,,,-1.26227608212751,-0.0063835231839175,0.0081005416102915,0.015642475149485,-0.0162010832205832,Metals & Mining,14.0
2020-01-17,174.83021545410156,178.732893212871,173.69399796802796,177.3496706145209,14452871.0,,,-1.2700285309536583,-0.0114524833112058,0.0144108680177241,0.022322673163976,-0.0064989766392634,Metals & Mining,14.0
2020-01-20,177.1520538330078,178.0412661279644,171.17452763070497,172.90356326333836,19944796.0,,,-1.2611415902415692,0.0132805326177488,-0.023982169428723,0.0050194862307089,-0.0337423477344358,Metals & Mining,14.0
2020-01-21,183.5742034912109,184.7104209836728,174.28680217180022,174.87962047499508,30489750.0,,,-1.2365605238869417,0.0362521885535516,-0.0473627712982676,0.0061894180710213,-0.0505920828895514,Metals & Mining,14.0
2020-01-22,177.0038604736328,183.9694077749242,175.37363273494577,183.67299861989133,19443219.0,,,-1.2617088069826894,-0.0357912108162446,0.0376779248114307,0.0393525162821464,-0.0092101253290455,Metals & Mining,14.0
2020-01-23,177.8436737060547,179.02929518222936,175.37362268235947,177.25085542996982,11413774.0,,,-1.258494384104006,0.004744604045215,-0.0033333672417535,0.0066666497124565,-0.0138888888888889,Metals & Mining,14.0
2020-01-24,186.68646240234372,187.5262858214952,176.80625782877704,177.2508640193884,19856058.0,,,-1.2246482130753091,0.0497222561366151,-0.0505424885207793,0.0044985769634515,-0.0529240548373188,Metals & Mining,14.0
2020-01-27,176.5592498779297,183.77180211595945,175.52182539917274,178.8316999085412,24954268.0,,,-1.2634105740134511,-0.0542471714022201,0.0128707503695368,0.0408506053521207,-0.0058757866238908,Metals & Mining,14.0
2020-01-28,173.3975830078125,178.68349826380484,171.12513303581594,177.64607381180693,19420336.0,,,-1.2755119960079244,-0.0179071154431337,0.0245014418903579,0.0304843652621973,-0.0131054304943465,Metals & Mining,14.0
2020-01-29,172.8541717529297,178.83169838828982,168.55629191460946,176.80625348526758,23683887.0,,,-1.2775919270006666,-0.0031339032843285,0.0228636757346349,0.0345813269922357,-0.0248641950306147,Metals & Mining,14.0
