Date_Ticker,Close_ONGC.NS,High_ONGC.NS,Low_ONGC.NS,Open_ONGC.NS,Volume_ONGC.NS,MA_20_Unnamed: 6_level_1,MA_50_Unnamed: 7_level_1,Normalised Close_Unnamed: 8_level_1,Return Ratio_Unnamed: 9_level_1,Percentage Change Open_Unnamed: 10_level_1,Percentage Change High_Unnamed: 11_level_1,Percentage Change Low_Unnamed: 12_level_1,Sector_Unnamed: 13_level_1,Sector Encoded_Unnamed: 14_level_1
Date,,,,,,,,,,,,,,
2020-01-10,89.40717315673828,90.16333200802472,89.08310036817932,89.623216188102,6550218.0,,,-0.7333451307818353,,0.0024163948342823,0.0084574740995424,-0.0036246844309777,Oil Gas & Consumable Fuels,15.0
2020-01-13,90.34337615966795,90.52341477735908,89.47919299248761,89.47919299248761,5737187.0,,,-0.7204910584501397,0.0104712292076212,-0.0095655398759179,0.001992825875501,-0.0095655398759179,Oil Gas & Consumable Fuels,15.0
2020-01-14,90.05531311035156,90.48740466680154,89.15512007843819,90.34337048509006,12432511.0,,,-0.7244461656869405,-0.0031885353587771,0.0031986716251324,0.0047980684484489,-0.0099960013554147,Oil Gas & Consumable Fuels,15.0
2020-01-15,89.76725769042969,90.37938790405876,89.47919479744463,90.05532058341475,5714614.0,,,-0.7284011681721129,-0.0031986499182885,0.0032089973604683,0.0068190811369113,-0.0032089973604682,Oil Gas & Consumable Fuels,15.0
2020-01-16,89.65923309326172,90.1633390333984,89.33516577379423,90.01931033460012,7322878.0,,,-0.7298843464798668,-0.0012033852870999,0.0040160642570281,0.0056224654477283,-0.0036144333192142,Oil Gas & Consumable Fuels,15.0
2020-01-17,90.307373046875,90.41539731793014,89.29915567426477,89.69524283668606,8561603.0,,,-0.720985381384972,0.007228925914848,-0.0067782971593161,0.0011961844023418,-0.0111642863544143,Oil Gas & Consumable Fuels,15.0
2020-01-20,88.50698852539062,91.27958223199082,86.4185393912339,90.7394663607956,16106541.0,,,-0.7457046706754414,-0.0199361852830096,0.0252237464250015,0.0313262687251503,-0.0235964319761889,Oil Gas & Consumable Fuels,15.0
2020-01-21,88.39895629882812,89.65922655156092,88.14690334715003,88.61500482560494,6497799.0,,,-0.7471879537348238,-0.0012206067380939,0.0024440167149313,0.0142566191446029,-0.0028513113981351,Oil Gas & Consumable Fuels,15.0
2020-01-22,83.82598876953125,87.85885305688008,83.53792585736139,87.85885305688008,23639592.0,,,-0.8099748228306621,-0.05173101268117,0.0481099518961436,0.0481099518961436,-0.0034364391807157,Oil Gas & Consumable Fuels,15.0
2020-01-23,84.83419799804688,85.66237123559794,83.82598065027825,84.43811084538481,21105999.0,,,-0.796132104629302,0.0120274063368052,-0.0046689561758004,0.0097622569328719,-0.0118845627301366,Oil Gas & Consumable Fuels,15.0
2020-01-24,85.23027038574219,86.27449754084067,84.47411157792114,84.97821744980183,11172364.0,,,-0.7906940285880043,0.0046687821308151,-0.0029573170987208,0.0122518343585258,-0.0088719512961623,Oil Gas & Consumable Fuels,15.0
2020-01-27,84.4381103515625,85.33830342567298,84.11404304261973,85.23027915791121,12078165.0,,,-0.8015703901738567,-0.0092943508285784,0.0093816500991137,0.0106609808102344,-0.0038379270638992,Oil Gas & Consumable Fuels,15.0
