Date_Ticker,Close_YESBANK.NS,High_YESBANK.NS,Low_YESBANK.NS,Open_YESBANK.NS,Volume_YESBANK.NS,MA_20_Unnamed: 6_level_1,MA_50_Unnamed: 7_level_1,Normalised Close_Unnamed: 8_level_1,Return Ratio_Unnamed: 9_level_1,Percentage Change Open_Unnamed: 10_level_1,Percentage Change High_Unnamed: 11_level_1,Percentage Change Low_Unnamed: 12_level_1,Sector_Unnamed: 13_level_1,Sector Encoded_Unnamed: 14_level_1
Date,,,,,,,,,,,,,,
2020-01-10,44.75,48.34999847412109,43.79999923706055,47.95000076293945,303072426.0,,,4.233380662177255,,0.0715083969371945,0.080446893276449,-0.0212290673282559,Financial Services,9.0
2020-01-13,42.09999847412109,43.900001525878906,41.04999923706055,43.400001525878906,194734026.0,,,3.805011789513798,-0.0592179111928247,0.0308789334649721,0.0427554184559952,-0.0249406003590708,Financial Services,9.0
2020-01-14,38.54999923706055,41.75,36.54999923706055,41.75,314975429.0,,,3.231159602530096,-0.0843230253141869,0.0830091005517605,0.0830091005517605,-0.0518806754755334,Financial Services,9.0
2020-01-15,39.75,41.09999847412109,36.650001525878906,38.45000076293945,400694734.0,,,3.425137971597326,0.0311284250762271,-0.0327043833222778,0.0339622257640526,-0.0779873829967571,Financial Services,9.0
2020-01-16,39.95000076293945,40.900001525878906,39.75,40.150001525878906,126354618.0,,,3.45746780254857,0.0050314657343258,0.0050062768240293,0.0237797432990476,-0.0050062768240292,Financial Services,9.0
2020-01-17,39.25,39.54999923706055,37.0,37.59999847412109,125635833.0,,,3.344313702539333,-0.017521921140708,-0.0420382554364052,0.0076432926639629,-0.0573248407643312,Financial Services,9.0
2020-01-20,38.650001525878906,40.20000076293945,38.45000076293945,39.5,89703186.0,,,3.247324826325836,-0.0152865853279259,0.0219921976859938,0.0401034715619017,-0.0051746637786168,Financial Services,9.0
2020-01-21,38.34999847412109,39.20000076293945,38.09999847412109,38.59999847412109,67215936.0,,,3.1988297715788514,-0.0077620450171765,0.0065189050833653,0.0221643369658006,-0.0065189050833652,Financial Services,9.0
2020-01-22,38.45000076293945,39.0,38.0,38.70000076293945,62400795.0,,,3.2149949953745915,0.0026076217157046,0.0065019504561614,0.0143042711611769,-0.0117035306634686,Financial Services,9.0
2020-01-23,40.95000076293945,41.400001525878906,38.34999847412109,38.54999923706055,178774952.0,,,3.619116340664556,0.0650195045616139,-0.0586080947781313,0.0109890294152743,-0.063492118202142,Financial Services,9.0
2020-01-24,42.79999923706055,45.0,41.09999847412109,41.20000076293945,289854100.0,,,3.918165889523035,0.0451770070733522,-0.0373831425850973,0.0514018879008406,-0.0397196447019424,Financial Services,9.0
2020-01-27,42.400001525878906,43.45000076293945,41.84999847412109,42.29999923706055,134241973.0,,,3.8535068442607834,-0.0093457410820531,-0.0023585444627242,0.0247641320583367,-0.0129717696218033,Financial Services,9.0
2020-01-28,41.650001525878906,43.29999923706055,41.25,42.5,106167368.0,,,3.732270440673793,-0.0176886786087079,0.0204081258818911,0.0396157899335591,-0.0096038778205174,Financial Services,9.0
2020-01-29,41.20000076293945,42.34999847412109,41.0,41.84999847412109,141475654.0,,,3.659528475193552,-0.0108043396507404,0.0157766431831314,0.0279125652884961,-0.0048543873600934,Financial Services,9.0
2020-01-30,39.04999923706055,40.84999847412109,38.54999923706055,40.79999923706055,150556233.0,,,3.3119838715880885,-0.0521845020889633,0.0448143414645487,0.0460947316831763,-0.0128040975612996,Financial Services,9.0
2020-01-31,39.25,40.20000076293945,38.70000076293945,39.29999923706055,117636393.0,,,3.344313702539333,0.0051216585620222,0.0012738659123705,0.0242038410939988,-0.0140127194155553,Financial Services,9.0
2020-02-03,36.0,38.400001525878906,35.70000076293945,37.95000076293945,148030362.0,,,2.81895595366238,-0.0828025477707006,0.0541666878594293,0.0666667090521917,-0.0083333121405707,Financial Services,9.0
2020-02-04,34.95000076293945,36.400001525878906,34.45000076293945,36.150001525878906,138230643.0,,,2.649225111968642,-0.029166645473904,0.0343347850284432,0.0414878606948991,-0.0143061513329119,Financial Services,9.0
2020-02-05,37.59999847412109,39.70000076293945,34.04999923706055,35.099998474121094,281100614.0,,,3.077593367991862,0.0758225365760697,-0.0664893644003914,0.0558511269691599,-0.0944148771576121,Financial Services,9.0
2020-02-06,38.54999923706055,39.5,37.79999923706055,37.900001525878906,135268292.0,39.71000003814697,,3.231159602530096,0.0252659787630924,-0.0168611601568271,0.0246433406417854,-0.019455253303325,Financial Services,9.0
2020-02-07,38.70000076293945,39.95000076293945,38.150001525878906,38.79999923706055,127163152.0,39.40750007629394,,3.2554071299035883,0.0038910902424791,0.0025839398488296,0.0322997409653036,-0.0142118663105362,Financial Services,9.0
2020-02-10,37.54999923706055,40.75,37.09999847412109,40.0,142245961.0,39.18000011444092,,3.06951106441411,-0.0297158011164741,0.0652463598593469,0.0852197291067096,-0.0119840418663795,Financial Services,9.0
2020-02-11,36.84999847412109,38.09999847412109,36.70000076293945,37.75,96791648.0,39.09500007629394,,2.956356964404873,-0.0186418316155004,0.024423380275333,0.0339213039826269,-0.0040704943661525,Financial Services,9.0
2020-02-12,35.20000076293945,36.75,35.04999923706055,36.75,101372754.0,38.86750011444092,,2.689637246497638,-0.0447760591453048,0.0440340682802617,0.0440340682802617,-0.0042614068928327,Financial Services,9.0
2020-02-13,37.20000076293945,38.0,36.0,36.95000076293945,168339964.0,38.73000011444092,,3.0129343227296097,0.0568181805866809,-0.0067204299696967,0.0215053553939048,-0.032258084363669,Financial Services,9.0
2020-02-14,38.900001525878906,40.20000076293945,37.5,37.5,187898337.0,38.71250019073487,,3.287736960854833,0.0456989443030625,-0.0359897550376066,0.0334190022125242,-0.0359897550376066,Financial Services,9.0
2020-02-17,37.150001525878906,40.09999847412109,36.59999847412109,39.5,116075992.0,38.63750019073486,,3.004852019151857,-0.0449871447649116,0.063257022277215,0.0794077207826546,-0.014804926760896,Financial Services,9.0
2020-02-18,35.04999923706055,37.5,33.650001525878906,37.34999847412109,229070225.0,38.47250022888184,,2.665389719124146,-0.0565276501363125,0.065620521743938,0.0699001659420555,-0.0399428742269796,Financial Services,9.0
2020-02-19,35.29999923706055,36.20000076293945,33.599998474121094,34.0,127701131.0,38.31500015258789,,2.7058018536531425,0.007132667772947,-0.0368271746503526,0.0254957944852876,-0.0481586628804985,Financial Services,9.0
2020-02-20,35.45000076293945,36.5,34.650001525878906,35.29999923706055,119436898.0,38.04000015258789,,2.730049381026635,0.0042493351025748,-0.0042313546586921,0.0296191597873884,-0.0225669737614474,Financial Services,9.0
2020-02-24,34.95000076293945,35.900001525878906,34.150001525878906,35.5,105851722.0,37.64750022888184,,2.649225111968642,-0.014104372051882,0.0157367446367486,0.0271817093619872,-0.0228898203032045,Financial Services,9.0
2020-02-25,35.150001525878906,36.0,34.75,35.25,88184594.0,37.28500022888184,,2.6815549429198864,0.0057224823626193,0.0028449066793772,0.0241820323534065,-0.0113798437699755,Financial Services,9.0
2020-02-26,36.54999923706055,37.04999923706055,34.45000076293945,34.900001525878906,149229469.0,37.03000011444092,,2.9078625262981244,0.039829236142448,-0.0451435771716404,0.0136798908464275,-0.0574554998072821,Financial Services,9.0
2020-02-27,36.79999923706055,37.95000076293945,36.0,37.29999923706055,164315370.0,36.810000038146974,,2.9482746608271206,0.0068399454232137,0.0135869568034245,0.0312500421119781,-0.0217391101534285,Financial Services,9.0
