Date_Ticker,Close_VGUARD.NS,High_VGUARD.NS,Low_VGUARD.NS,Open_VGUARD.NS,Volume_VGUARD.NS,MA_20_Unnamed: 6_level_1,MA_50_Unnamed: 7_level_1,Normalised Close_Unnamed: 8_level_1,Return Ratio_Unnamed: 9_level_1,Percentage Change Open_Unnamed: 10_level_1,Percentage Change High_Unnamed: 11_level_1,Percentage Change Low_Unnamed: 12_level_1,Sector_Unnamed: 13_level_1,Sector Encoded_Unnamed: 14_level_1
Date,,,,,,,,,,,,,,
2020-01-10,211.7519073486328,213.5124342744669,208.23085349696467,208.4264792075045,211223.0,,,-0.6358583081647875,,-0.015704359799004,0.0083141018556942,-0.0166282037113885,Consumer Durables,5.0
2020-01-13,212.4365692138672,213.708061811304,211.7519239457543,213.708061811304,135158.0,,,-0.6273844015879142,0.0032333208886148,0.0059852811695371,0.0059852811695371,-0.0032228220905961,Consumer Durables,5.0
2020-01-14,219.96771240234372,220.99468783844333,211.40960864176117,213.6102638944824,558085.0,,,-0.5341731289338436,0.0354512559506395,-0.0289017348884045,0.0046687553590645,-0.0389061815805447,Consumer Durables,5.0
2020-01-15,218.7451019287109,220.75014614399709,217.13129422507524,218.30497391173276,776477.0,,,-0.5493051049639744,-0.0055581360567887,-0.0020120588442782,0.0091661216530443,-0.0073775718377531,Consumer Durables,5.0
2020-01-16,218.25607299804688,220.70124529210588,217.22911257385996,219.28304834638112,152563.0,,,-0.5553577065214118,-0.0022356108838653,0.0047053689467941,0.0112032268356669,-0.0047053005677241,Consumer Durables,5.0
2020-01-17,224.8091583251953,226.32515328668643,217.32692176348505,219.67429624180804,419825.0,,,-0.4742516369822158,0.0300247559535586,-0.0228409826434183,0.0067434751003256,-0.0332826145404937,Consumer Durables,5.0
2020-01-20,224.7602386474609,228.819218656914,221.53260825755453,225.8361054946649,185534.0,,,-0.474857104878036,-0.0002176053595806,0.0047867312015605,0.018059155097355,-0.014360326405281,Consumer Durables,5.0
2020-01-21,222.55958557128903,224.61352134732832,221.48370379040136,224.2712061800621,88745.0,,,-0.5020940951684264,-0.0097911138082729,0.0076906173435733,0.009228700578171,-0.0048341291529907,Consumer Durables,5.0
2020-01-22,220.2122344970703,224.4668407155874,219.08746109059516,222.36399828638636,96512.0,,,-0.5311467337278175,-0.0105470679602198,0.0097713180842577,0.0193204806637286,-0.0051076790035938,Consumer Durables,5.0
2020-01-23,224.1733856201172,224.66242006297264,219.08743039924968,219.08743039924968,156275.0,,,-0.4821204533724988,0.017987879429558,-0.0226875960623003,0.0021815009016465,-0.0226875960623003,Consumer Durables,5.0
