,Close,High,Low,Open,MA_5,MA_15,MA_10,MA_20,MA_25,MA_30,Return_Ratio,Percentage_Change_Open,Percentage_Change_High,Percentage_Change_Low,Sector_Encoded
0,999.6819458007812,1009.1518500723942,945.047882695322,945.0964344506208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0546028780248056,0.0094729171726986,-0.0546514452271071,1.0
1,1039.309814453125,1056.0156480546668,993.6114122418248,1003.3241337691154,0.0,0.0,0.0,0.0,0.0,0.0,0.0396404764723448,-0.0346245943063137,0.0160739688678224,-0.0439699515734355,1.0
2,1018.184814453125,1062.6690153076418,995.5541221057064,1047.2743728394908,0.0,0.0,0.0,0.0,0.0,0.0,-0.0203259891383935,0.0285700179117187,0.0436897115563539,-0.0222265074337939,1.0
3,1052.1307373046875,1077.820842661842,1011.9200396714544,1017.310648455772,0.0,0.0,0.0,0.0,0.0,0.0,0.0333396475469879,-0.0330948309124741,0.0244172177907915,-0.0382183470242903,1.0
4,1080.637451171875,1087.8248893319476,1054.8502447994745,1059.6093838394986,1037.9889526367188,0.0,0.0,0.0,0.0,0.0,0.0270942696154044,-0.0194589474106907,0.0066511096318921,-0.0238629582423189,1.0
5,1076.703857421875,1092.146990733036,1060.7263584055163,1082.9685157602892,1053.3933349609374,0.0,0.0,0.0,0.0,0.0,-0.0036400679485375,0.0058183671352443,0.0143429720295966,-0.0148392697827016,1.0
6,1096.712158203125,1107.2504391082505,1080.054814288048,1082.5800985943638,1064.8738037109374,0.0,0.0,0.0,0.0,0.0,0.0185829191967038,-0.0128858420170298,0.0096089760893975,-0.015188437358412,1.0
7,1051.64501953125,1114.0492610504214,1036.4445852383926,1101.034189301037,1071.5658447265623,0.0,0.0,0.0,0.0,0.0,-0.0410929507207377,0.0469637271631842,0.0593396444239204,-0.0144539592833641,1.0
8,965.7359008789062,1097.5375453996169,957.674353773471,1097.0519093175817,1054.2868774414062,0.0,0.0,0.0,0.0,0.0,-0.0816902253677158,0.1359750717760064,0.1364779381203074,-0.0083475690383867,1.0
9,975.0115356445312,990.9889745581368,964.7646261966833,974.1859780199254,1033.1616943359377,1035.5753234863282,0.0,0.0,0.0,0.0,0.0096047322639484,-0.000846715750968,0.0163869229537307,-0.0105095263730128,1.0
10,990.5519409179688,994.5827443073052,975.1573000825532,981.9562055612164,1015.9313110351562,1034.6623229980469,0.0,0.0,0.0,0.0,0.0159386886260422,-0.008677722996319,0.004069249902838,-0.0155414776343267,1.0
11,969.2325439453124,988.6579877820218,963.6962805955004,988.6579877820218,990.4353881835938,1027.6545959472655,0.0,0.0,0.0,0.0,-0.0215227451403497,0.0200420878952711,0.0200420878952711,-0.005712007282872,1.0
12,965.9302368164062,981.956228679122,961.5595117629384,973.1176750614768,973.292431640625,1022.4291381835938,0.0,0.0,0.0,0.0,-0.0034071360372032,0.0074409496370664,0.0165912518853694,-0.004524886877828,1.0
13,960.8795776367188,980.9849240756088,952.818030216012,975.1572908632784,972.3211669921876,1013.3040222167969,0.0,0.0,0.0,0.0,-0.0052288032687887,0.0148590037283085,0.0209238981729,-0.0083897583092921,1.0
14,947.6217651367188,965.3960349060123,942.2311568904254,965.3960349060123,966.843212890625,1000.0024536132812,1012.664619954427,0.0,0.0,0.0,-0.0137975796432343,0.0187567133039934,0.0187567133039934,-0.0056885652531584,1.0
15,956.2660522460938,970.980850090278,933.3926033238016,946.9904144024,959.98603515625,987.9586730957031,1009.7702270507812,0.0,0.0,0.0,0.009122085865269,-0.0096998506031944,0.0153877655801142,-0.0239195450560717,1.0
16,958.451416015625,964.473315643364,922.7086101321206,931.450060122846,957.8298095703124,974.1325988769532,1004.379667154948,0.0,0.0,0.0,0.0022853093701258,-0.0281718566445718,0.0062829471865903,-0.037292245893997,1.0
17,971.077880859375,995.5539508237824,961.559425673702,964.4732421151376,958.8593383789064,966.0758850097656,1001.2392049153646,0.0,0.0,0.0,0.013173818341507,-0.006801348145622,0.0252050535254151,-0.0098019483022818,1.0
18,981.3734130859376,990.6976020988748,974.2830789004196,978.8480699036955,962.95810546875,967.6396362304688,996.522049967448,0.0,0.0,0.0,0.0106021694340841,-0.0025732745034339,0.0095011632561119,-0.007224909591979,1.0
19,1026.6346435546875,1032.4622763468617,982.8788458631288,984.8213901271868,978.7606811523438,972.8019470214844,992.9218627929688,1004.1886352539062,0.0,0.0,0.0461202941359758,-0.0407284652724396,0.0056764427625355,-0.0426206128599515,1.0
20,1027.848876953125,1045.1860632131263,1021.3414001870938,1031.4911479557936,993.07724609375,976.531640625,989.664864095052,1005.5969818115234,0.0,0.0,0.0011827317595997,0.0035435861091424,0.0168674468092957,-0.0063311610412237,1.0
21,1008.6661987304688,1034.3563014797626,1003.3728125659992,1034.3563014797626,1003.1202026367188,980.4750061035156,983.7951334635416,1004.0648010253906,0.0,0.0,-0.01866293640318,0.0254693800403225,0.0254693800403225,-0.005247906761555,1.0
22,1012.5999145507812,1026.343321805223,1006.2380339953892,1011.0943951633204,1011.424609375,985.1419738769532,981.1921264648438,1003.7855560302736,0.0,0.0,0.0038999183528342,-0.0014867860107696,0.0135723962217977,-0.0062827188349255,1.0
23,1035.0362548828125,1044.0690153028045,1014.0081878117552,1022.8467412150384,1022.157177734375,992.5576416015624,985.8121500651042,1002.9308319091796,0.0,0.0,0.0221571619843407,-0.0117768953602056,0.00872699905668,-0.0203162613597898,1.0
