,Close,High,Low,Open,MA_5,MA_15,MA_10,MA_20,MA_25,MA_30,Return_Ratio,Percentage_Change_Open,Percentage_Change_High,Percentage_Change_Low,Sector_Encoded
0,543.5687866210938,557.46843227173,542.1140068138604,543.0128234181894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0010228019279037,0.0255710886878521,-0.002676349052852,11.0
1,547.5903930664062,549.7772568782214,540.3625892896795,543.5502433345176,0.0,0.0,0.0,0.0,0.0,0.0,0.0073985235066778,-0.0073780507895043,0.0039936124510313,-0.0131992888630722,11.0
2,546.3116455078125,550.203557424289,543.3834785095456,547.6089683325714,0.0,0.0,0.0,0.0,0.0,0.0,-0.0023352264298009,0.0023746937035415,0.0071239775840012,-0.0053598839093847,11.0
3,540.9093627929688,546.0707716862997,537.4530021020863,546.0058998818679,0.0,0.0,0.0,0.0,0.0,0.0,-0.009888646451646,0.0094221646720686,0.0095420956788032,-0.0063899073091203,11.0
4,544.3935546875,546.9974195788418,541.4653873289683,542.6421856259371,544.5547485351562,0.0,0.0,0.0,0.0,0.0,0.0064413599286592,-0.0032171010227485,0.0047830560610448,-0.0053787693357475,11.0
5,562.351806640625,565.0668637169783,544.8660585713025,545.6815088978697,548.3113525390625,0.0,0.0,0.0,0.0,0.0,0.032987627789667,-0.0296438947041716,0.0048280401063749,-0.0310939662020094,11.0
6,567.0313110351562,570.8120299266974,561.9254995753635,563.9548498012134,552.1995361328125,0.0,0.0,0.0,0.0,0.0,0.0083213112135011,-0.0054255579437518,0.0066675663547381,-0.0090044612359619,11.0
7,567.1889038085938,570.7750074730151,562.6297798078839,566.2807552652442,556.3749877929688,0.0,0.0,0.0,0.0,0.0,0.0002779260516492,-0.001601139474435,0.0063225913630204,-0.0080381050653424,11.0
8,567.4854125976562,575.4545763021874,564.770355404864,567.207431010268,561.6901977539062,0.0,0.0,0.0,0.0,0.0,0.000522769022933,-0.0004898479876614,0.0140429401842285,-0.0047843647299481,11.0
9,563.0560913085938,570.5711524739841,560.4336757791775,566.2344700155751,565.422705078125,554.9887268066407,0.0,0.0,0.0,0.0,-0.0078051720638727,0.0056448704774589,0.0133469138890311,-0.0046574676482434,11.0
10,561.8050537109375,564.7053937955087,560.6559690694868,564.1401552314167,565.3133544921875,556.812353515625,0.0,0.0,0.0,0.0,-0.0022218702842708,0.0041564266911715,0.0051625382602262,-0.0020453440812975,11.0
11,590.9666137695312,594.7195068652877,555.5225165893124,561.3603565780229,570.1004150390625,561.1499755859375,0.0,0.0,0.0,0.0,0.0519069023426729,-0.0500980199247843,0.0063504316628282,-0.0599764798118384,11.0
12,591.0407104492188,602.3086642516733,585.2213653606917,591.1982239203492,574.8707763671875,565.6228820800782,0.0,0.0,0.0,0.0,0.0001253821755088,0.0002665018980008,0.0190645984333133,-0.0098459293677148,11.0
13,583.4608154296875,593.3944017162094,574.370449427992,591.0407487446454,578.0658569335938,569.87802734375,0.0,0.0,0.0,0.0,-0.0128246580743485,0.0129913322617487,0.0170252843444274,-0.0155800796922428,11.0
14,584.6838989257812,587.4916543268537,577.9565183421988,584.2113585105053,582.3914184570312,573.9070617675782,564.1229573567708,0.0,0.0,0.0,0.002096256447304,-0.0008081980983983,0.0048021767081853,-0.0115060130712379,11.0
15,577.2058715820312,591.541009763227,574.9077587842859,584.757977106362,585.47158203125,575.3924682617187,566.3654296875,0.0,0.0,0.0,-0.0127898636468168,0.0130839028085969,0.0248353990958292,-0.0039814439022365,11.0
16,582.700927734375,588.0476193319269,577.6970329609916,578.9665293337492,583.8184448242188,576.9594299316407,568.706131998698,0.0,0.0,0.0,0.0095200974606905,-0.0064087737343162,0.0091757046249103,-0.0085874151476629,11.0
17,600.8075561523438,607.433076652974,584.1650264376802,584.5264308048719,585.7718139648438,580.3212951660156,572.3391927083334,0.0,0.0,0.0,0.0310736220866678,-0.027098735994165,0.0110276917005855,-0.027700266989391,11.0
18,580.6993408203125,602.3179373940392,578.5403033971154,599.5380084522205,585.2195190429687,581.6426879882813,574.9918579101562,0.0,0.0,0.0,-0.0334686458685824,0.0324413449570926,0.0372285536663217,-0.003717995305707,11.0
19,585.4437866210938,588.7519090650133,581.3017193748013,587.0469175416267,585.3714965820312,583.8814575195313,577.7285400390625,569.435092163086,0.0,0.0,0.0081702276329074,0.0027383174220456,0.0056506235432309,-0.0070750896003157,11.0
20,586.8800659179688,590.2715542011034,581.3758045788052,585.6105130539394,587.3063354492188,586.3889587402343,579.3637573242188,571.6006561279297,0.0,0.0,0.002453317175274,-0.0021632236938284,0.0057788438900712,-0.0093788521008191,11.0
21,583.6182861328125,588.0939875446219,576.9278944337265,586.8337101128996,587.4898071289062,585.6541259765625,580.4695556640625,573.40205078125,0.0,0.0,-0.0055578302528547,0.0055094640735011,0.0076688848141932,-0.0114636430318489,11.0
22,591.4205932617188,594.1542013030623,581.0051354490097,585.6197992875735,585.6124145507813,585.6921142578125,582.0850016276041,575.6574981689453,0.0,0.0,0.0133688530916433,-0.0098082380631244,0.0046221049325787,-0.0176109150262543,11.0
23,592.254638671875,595.5719799915174,586.3889724666471,587.8901296478444,587.9234741210937,586.5714965820313,583.7362833658855,578.2247619628906,0.0,0.0,0.0014102407316533,-0.00736931167617,0.0056012078302696,-0.0099039599223428,11.0
24,616.1434326171875,618.4229947021053,592.5140366965339,597.267719694607,594.0634033203125,589.7174499511718,587.275439453125,581.812255859375,574.3607543945312,0.0,0.0403353429175039,-0.0306352578366408,0.0036997263368285,-0.0383504792387109,11.0
