Date_Ticker,Close_ASTRAL.NS,High_ASTRAL.NS,Low_ASTRAL.NS,Open_ASTRAL.NS,Volume_ASTRAL.NS,MA_20_Unnamed: 6_level_1,MA_50_Unnamed: 7_level_1,Normalised Close_Unnamed: 8_level_1,Return Ratio_Unnamed: 9_level_1,Percentage Change Open_Unnamed: 10_level_1,Percentage Change High_Unnamed: 11_level_1,Percentage Change Low_Unnamed: 12_level_1,Sector_Unnamed: 13_level_1,Sector Encoded_Unnamed: 14_level_1
Date,,,,,,,,,,,,,,
2020-01-10,629.029296875,635.6424562627442,622.890521615482,633.4659450652927,96307.0,,,-1.6593999573648004,,0.0070531662234714,0.0105132772362084,-0.0097591245590868,Capital Goods,1.0
2020-01-13,625.6249389648438,633.3542380268137,617.839869197024,633.2984067664516,128542.0,,,-1.6662778465004455,-0.0054120816424115,0.0122652843959583,0.0123545251804682,-0.0124436691745392,Capital Goods,1.0
2020-01-14,628.6943359375,635.0284591348008,622.2486713267518,629.0571180265139,105779.0,,,-1.6600766853275166,0.0049061295058583,0.0005770404921381,0.0100750441593455,-0.010252461716768,Capital Goods,1.0
2020-01-15,632.9077758789062,636.3120294864299,627.8293716525915,633.4100755636052,128812.0,,,-1.6515641923518996,0.0067018894565404,0.0007936380367605,0.0053787514346719,-0.0080239245271753,Capital Goods,1.0
2020-01-16,630.1174926757812,635.0843560312278,620.0164538274255,633.577517367232,218984.0,,,-1.6572014546593947,-0.0044086726525838,0.0054910786189379,0.0078824400420227,-0.0160304053859255,Capital Goods,1.0
2020-01-17,624.6483154296875,628.5827237565989,619.5699112566244,625.039013142972,387946.0,,,-1.6682509376322645,-0.0086796150077805,0.0006254682893296,0.0062985975143547,-0.0081300214018342,Capital Goods,1.0
2020-01-20,615.1611328125,629.4477592202528,613.8776193409672,629.4477592202528,157032.0,,,-1.6874180733955075,-0.0151880384255281,0.0232242019947435,0.0232242019947435,-0.0020864671109253,Capital Goods,1.0
2020-01-21,610.6965942382812,619.0676505439335,604.1671824307758,618.8723622295113,205386.0,,,-1.696437865722184,-0.0072575108147795,0.0133876102607508,0.0137073898636908,-0.0106917442623853,Capital Goods,1.0
2020-01-22,607.180908203125,617.1982619390807,600.5119170369413,613.8777544517229,126392.0,,,-1.703540673189461,-0.0057568456551511,0.0110294084647957,0.0164981368824668,-0.0109835323806865,Capital Goods,1.0
2020-01-23,613.5427856445312,618.6212507583203,608.9107889837978,614.4357225506426,140801.0,,,-1.6906876510069178,0.010477729710299,0.001455378381107,0.0082772794866361,-0.0075495902960825,Capital Goods,1.0
2020-01-24,616.974853515625,621.7463674659091,609.2456149389253,616.6679632444212,254741.0,,,-1.6837537789093424,0.0055938525419842,-0.0004974113117496,0.007733725164154,-0.0125276395507162,Capital Goods,1.0
2020-01-27,640.8882446289062,650.1522380664106,618.0073568070031,622.1928850671073,435576.0,,,-1.6354410993159911,0.0387591017316488,-0.029171013384126,0.0144549280083432,-0.0357018372760945,Capital Goods,1.0
2020-01-28,686.0640258789062,697.588216547906,644.571525896695,644.571525896695,754604.0,,,-1.5441716079012664,0.0704893273181475,-0.0604790492098107,0.0167975440109051,-0.0604790492098107,Capital Goods,1.0
2020-01-29,662.9041137695312,694.7978755694904,656.3189310580532,681.9622555214289,249358.0,,,-1.5909620195099727,-0.0337576541485398,0.0287494697287751,0.0481121796312271,-0.0099338389590496,Capital Goods,1.0
2020-01-30,671.3030395507812,673.0330820073011,661.8716740414013,667.6198112547424,141020.0,,,-1.5739935097626243,0.0126698953993367,-0.0054866849679445,0.0025771408061514,-0.0140493412865986,Capital Goods,1.0
2020-01-31,682.715576171875,694.7978367884832,666.8943165023411,671.4146504559874,249279.0,,,-1.5509365446291403,0.0170005734351072,-0.0165529044748827,0.0176973560268771,-0.0231740130469073,Capital Goods,1.0
2020-02-03,651.0452270507812,665.6945784952761,626.1553176911373,639.3536615326519,80520.0,,,-1.6149207542482933,-0.046388789455597,-0.0179581464272333,0.022501280764865,-0.0382306917023178,Capital Goods,1.0
2020-02-04,661.732177734375,677.3023181259999,652.3007513670066,658.0488887653054,117553.0,,,-1.5933297042060577,0.0164150664801051,-0.0055661324822987,0.0235293687016002,-0.014252633746268,Capital Goods,1.0
2020-02-05,666.6431884765625,674.8747268565853,655.732900072138,668.5685192409871,78218.0,,,-1.5834078956535669,0.0074214476905169,0.0028880978576026,0.0123477424240001,-0.0163660089730416,Capital Goods,1.0
2020-02-06,668.2894897460938,675.0700209257102,661.3136097034784,675.0700209257102,34890.0,641.3081756591797,,-1.580081841838271,0.0024695388747516,0.0101460987845141,0.0101460987845141,-0.0104384105236575,Capital Goods,1.0
2020-02-07,669.5731201171875,675.3770285791308,664.1040175927492,669.6847220963558,147459.0,643.3353668212891,,-1.5774884989476214,0.0019207699519282,0.0001666763133334,0.0086680726683405,-0.0081680437283401,Capital Goods,1.0
2020-02-10,668.7081909179688,673.7029100257795,660.1976153776981,671.9170964495463,117407.0,645.4895294189453,,-1.5792359318848757,-0.0012917621290821,0.0047986634157606,0.0074692058145036,-0.0127268899287562,Capital Goods,1.0
2020-02-11,679.674072265625,686.426748075712,669.6846366998053,670.2427070790021,189029.0,648.0385162353516,,-1.5570813529086729,0.0163986047974122,-0.0138763056757253,0.0099351675834531,-0.0146973909605244,Capital Goods,1.0
2020-02-12,675.6560668945312,705.9593045986159,670.2707112457279,693.6817546345279,272069.0,650.1759307861328,,-1.565199005699046,-0.0059116649215411,0.0266787921003164,0.0448500933964304,-0.007970557673752,Capital Goods,1.0
2020-02-13,668.7918090820312,680.790324194069,659.0814071201443,680.790324194069,115656.0,652.1096466064453,,-1.5790669965151745,-0.0101593963983031,0.0179405832265,0.0179405832265,-0.0145193195102303,Capital Goods,1.0
2020-02-14,668.3731689453125,675.7676017114983,661.313602639401,665.9176834183468,118321.0,654.2958892822265,,-1.5799127831580808,-0.0006259648085304,-0.0036738242063792,0.011063329753129,-0.010562312543233,Capital Goods,1.0
2020-02-17,669.0153198242188,677.9209926058229,661.6451099561625,670.0203622118784,181166.0,656.9885986328125,,-1.5786154335050675,0.0009607669917683,0.0015022711108074,0.0133116126308499,-0.0110165038821423,Capital Goods,1.0
2020-02-18,658.7696533203125,668.2337380294192,649.4731463792733,666.6703452944278,139283.0,659.3922515869141,,-1.5993149487130398,-0.0153145469173983,0.0119931024968962,0.0143663033981698,-0.014111923483699,Capital Goods,1.0
2020-02-19,667.5913696289062,669.4618664598147,655.3076689921127,657.4852704559122,119583.0,662.4127746582031,,-1.5814922672095442,0.0133912001928607,-0.0151381513194391,0.0028018589155043,-0.0184000291130511,Capital Goods,1.0
2020-02-20,667.144775390625,674.4871156996375,661.9521678273171,668.9873428735074,135790.0,665.0928741455078,,-1.5823945300563362,-0.0006689634686702,0.0027618705127436,0.0110056176408086,-0.00778332942841,Capital Goods,1.0
2020-02-24,669.0153198242188,671.1091328881478,658.8533592042572,667.1448225864947,127925.0,667.6948974609375,,-1.5786154335050675,0.0028038058643245,-0.0027958959717327,0.0031296937482376,-0.0151894288797923,Capital Goods,1.0
2020-02-25,660.7237548828125,668.7640329006091,658.8812479687117,664.4368195035048,123205.0,668.6866729736328,,-1.5953670401025584,-0.0123936847120105,0.0056196929401317,0.0121688950312111,-0.0027886191475401,Capital Goods,1.0
2020-02-26,656.2290649414062,666.0839199505332,653.9118756806442,658.8532982885945,127676.0,667.1949249267578,,-1.6044477478107184,-0.0068026764713544,0.0039989593381124,0.0150174009894044,-0.0035310677087564,Capital Goods,1.0
2020-02-27,652.3206176757812,659.3558538444223,649.4172089943103,656.6199623259891,126881.0,666.6657501220703,,-1.6123440582736364,-0.0059559191666921,0.0065908458719676,0.0107849360851226,-0.0044508920963065,Capital Goods,1.0
2020-02-28,638.9761352539062,647.0163540113566,628.1441654577752,647.0163540113566,300159.0,665.0494049072265,,-1.6393041703101552,-0.0204569379846085,0.0125829719043504,0.0125829719043504,-0.0169520725399655,Capital Goods,1.0
2020-03-02,642.1586303710938,659.9700358816176,633.755448791674,639.3110810569987,130556.0,663.0215576171875,,-1.6328745148014183,0.0049806165545179,-0.0044343393974936,0.0277367688731846,-0.0130858345305796,Capital Goods,1.0
2020-03-03,640.6511840820312,653.2699229754605,627.3624370581709,642.3820939551133,61777.0,662.50185546875,,-1.635920037254619,-0.0023474671487189,0.0027017976647654,0.0196967385793727,-0.0207425621836652,Capital Goods,1.0
2020-03-04,627.7811279296875,652.7114981355343,620.3271898805351,652.7114981355343,50616.0,660.8043029785156,,-1.661921656861438,-0.0200890226571341,0.0397118822097484,0.0397118822097484,-0.0118734662727664,Capital Goods,1.0
