Date_Ticker,Close_ASTRAZEN.NS,High_ASTRAZEN.NS,Low_ASTRAZEN.NS,Open_ASTRAZEN.NS,Volume_ASTRAZEN.NS,MA_20_Unnamed: 6_level_1,MA_50_Unnamed: 7_level_1,Normalised Close_Unnamed: 8_level_1,Return Ratio_Unnamed: 9_level_1,Percentage Change Open_Unnamed: 10_level_1,Percentage Change High_Unnamed: 11_level_1,Percentage Change Low_Unnamed: 12_level_1,Sector_Unnamed: 13_level_1,Sector Encoded_Unnamed: 14_level_1
Date,,,,,,,,,,,,,,
2020-01-10,2501.8388671875,2594.7558381537683,2495.9079967002917,2575.035742049347,23297.0,,,-1.1054671000458365,,0.0292572298807287,0.0371394705649941,-0.0023706045041486,Healthcare,11.0
2020-01-13,2483.2060546875,2526.5509314789083,2473.173094898368,2526.5509314789083,12700.0,,,-1.119149186297242,-0.0074476469065917,0.0174552074362039,0.0174552074362039,-0.0040403251152649,Healthcare,11.0
2020-01-14,2495.710205078125,2519.6313330621306,2482.069155480192,2485.0345905524505,12028.0,,,-1.109967380590504,0.0050354864297391,-0.004277585796601,0.0095848980924677,-0.0054657987013785,Healthcare,11.0
2020-01-15,2506.5341796875,2519.6315188892586,2475.841876160472,2495.957508748609,20502.0,,,-1.1020193290449578,0.004337031834606,-0.0042196396221533,0.005225278517204,-0.0122449172150743,Healthcare,11.0
2020-01-16,2511.377685546875,2560.159193742528,2485.9243653774274,2506.53423765738,18105.0,,,-1.0984627395645905,0.0019323518101711,-0.0019286019452069,0.0194242022919901,-0.0101352020112039,Healthcare,11.0
2020-01-17,2497.835205078125,2533.1238323084845,2490.9653291224763,2533.1238323084845,7356.0,,,-1.1084069917182262,-0.0053924507439433,0.0141276843078428,0.0141276843078428,-0.0027503319441098,Healthcare,11.0
2020-01-20,2462.4970703125,2518.445038115065,2458.345509755776,2518.445038115065,18871.0,,,-1.134355806897206,-0.0141475044845961,0.0227200139553731,0.0227200139553731,-0.0016859149222041,Healthcare,11.0
2020-01-21,2519.087646484375,2540.3894035618887,2456.764037170356,2471.1959178617594,11564.0,,,-1.0928013102692629,0.0229809719792655,-0.0190115372481989,0.0084561397088513,-0.0247405481905313,Healthcare,11.0
2020-01-22,2500.10888671875,2548.494854072413,2492.9424186239744,2548.494854072413,27591.0,,,-1.106737425821222,-0.0075339815159316,0.0193535440039043,0.0193535440039043,-0.0028664623900366,Healthcare,11.0
2020-01-23,2505.29833984375,2520.6197540349426,2483.6012886578947,2500.1583007677323,61138.0,,,-1.102926807040301,0.0020756908439339,-0.0020516674578319,0.0061156046557506,-0.0086604660374335,Healthcare,11.0
2020-01-24,2490.96533203125,2529.318338583623,2471.195765904018,2505.7925066266744,15045.0,,,-1.1134515439329575,-0.0057210782382883,0.0059523809523811,0.0153968447730654,-0.0079365079365077,Healthcare,11.0
2020-01-27,2519.532470703125,2589.7144363642456,2466.2535820351422,2490.965541774973,34218.0,,,-1.0924746755581771,0.0114683003832012,-0.0113381864533699,0.0278551542705598,-0.0211463393655387,Healthcare,11.0
2020-01-28,2603.948486328125,2665.629436957615,2520.619715696612,2520.619715696612,68544.0,,,-1.0304879407707548,0.0335046349299249,-0.0320009290003339,0.023687469607537,-0.0320009290003339,Healthcare,11.0
2020-01-29,2671.1650390625,2693.603448884915,2610.8678609406725,2623.421487464428,26048.0,,,-0.9811307826909488,0.0258133189221259,-0.0178736809219504,0.0084002334166106,-0.0225733630232709,Healthcare,11.0
2020-01-30,2699.48486328125,2729.386332943562,2672.845420393098,2703.488248807368,24794.0,,,-0.9603355174788084,0.0106020495943183,0.0014830183271528,0.0110767317383535,-0.0098683431237216,Healthcare,11.0
2020-01-31,2641.7080078125,2728.199850912068,2610.570944296656,2718.3150688435453,27902.0,,,-1.0027610997605192,-0.0214029188511624,0.0289990645463049,0.0327408793264734,-0.0117867165575303,Healthcare,11.0
2020-02-03,2583.38818359375,2683.669264551693,2508.758067710326,2560.1589422260618,130945.0,,,-1.0455853843459926,-0.022076559576712,-0.0089917734838339,0.0388176587610005,-0.0288884637459346,Healthcare,11.0
2020-02-04,2511.7236328125,2599.747683243318,2501.937793111857,2520.619938477716,36950.0,,,-1.098208710264037,-0.0277405274346178,0.0035419126328217,0.0350452769886364,-0.0038960654638922,Healthcare,11.0
2020-02-05,2458.938720703125,2550.323491461825,2449.3997602917457,2550.2740192811807,20867.0,,,-1.1369687053132729,-0.0210154140446849,0.0371441946922284,0.037164314014531,-0.0038792997690693,Healthcare,11.0
