Date_Ticker,Close_INDIGO.NS,High_INDIGO.NS,Low_INDIGO.NS,Open_INDIGO.NS,Volume_INDIGO.NS,MA_20_Unnamed: 6_level_1,MA_50_Unnamed: 7_level_1,Normalised Close_Unnamed: 8_level_1,Return Ratio_Unnamed: 9_level_1,Percentage Change Open_Unnamed: 10_level_1,Percentage Change High_Unnamed: 11_level_1,Percentage Change Low_Unnamed: 12_level_1,Sector_Unnamed: 13_level_1,Sector Encoded_Unnamed: 14_level_1
Date,,,,,,,,,,,,,,
2020-01-10,1416.300048828125,1430.9000244140625,1406.3499755859375,1418.0,1336205.0,,,-0.8346886123513162,,0.0012002761514282,0.0103085328550385,-0.0070253992086072,Services,18.0
2020-01-13,1424.1500244140625,1436.0,1407.6500244140625,1421.300048828125,1243383.0,,,-0.8270066803550685,0.0055425935997338,-0.0020011765172773,0.0083207354441559,-0.0115858580326104,Services,18.0
2020-01-14,1423.25,1436.4000244140625,1418.0,1430.0,810440.0,,,-0.8278874380425416,-0.0006319730355885,0.004742666432461,0.0092394339814245,-0.0036887405585807,Services,18.0
2020-01-15,1445.5999755859375,1453.699951171875,1416.0999755859375,1425.949951171875,808672.0,,,-0.8060159059989851,0.0157034783670736,-0.013592988894523,0.0056031929459976,-0.0204067518664995,Services,18.0
2020-01-16,1457.449951171875,1509.699951171875,1443.0,1492.050048828125,2437625.0,,,-0.7944196015758935,0.008197271573095,0.023740161800019,0.0358502876602986,-0.0099145436591193,Services,18.0
2020-01-17,1472.949951171875,1480.0,1448.550048828125,1458.0,631678.0,,,-0.7792514084218737,0.0106350135642991,-0.0101496667690446,0.0047863464895843,-0.0165653302234318,Services,18.0
2020-01-20,1472.3499755859375,1485.0,1458.050048828125,1475.0,528466.0,,,-0.779838540394467,-0.0004073292412007,0.0017998603986852,0.0085917238590154,-0.0097123150031782,Services,18.0
2020-01-21,1438.800048828125,1462.800048828125,1426.0999755859375,1460.0,1294690.0,,,-0.8126702674503198,-0.0227866521643136,0.0147344665362931,0.0166805665731992,-0.0088268507167006,Services,18.0
2020-01-22,1468.0999755859375,1474.949951171875,1428.75,1440.0,804058.0,,,-0.7839975610979886,0.0203641407863981,-0.0191403692209193,0.0046658781417141,-0.0268033350863808,Services,18.0
2020-01-23,1465.9000244140625,1485.0,1451.300048828125,1485.0,976622.0,,,-0.7861504181498862,-0.0014985022876231,0.0130295212960187,0.0130295212960187,-0.009959734867849,Services,18.0
2020-01-24,1501.5,1513.3499755859375,1460.199951171875,1465.0,1782660.0,,,-0.7513125274424094,0.0242854048659745,-0.0243090243090242,0.0078920916323259,-0.0275058600253912,Services,18.0
2020-01-27,1495.75,1513.4000244140625,1480.25,1499.0,1412469.0,,,-0.7569394378059974,-0.0038295038295038,0.0021728229984956,0.0118001166064265,-0.0103626943005181,Services,18.0
2020-01-28,1453.75,1541.0,1443.699951171875,1515.0,6189322.0,,,-0.7980403482878575,-0.028079558749791,0.0421324161650902,0.060017196904557,-0.0069131892196904,Services,18.0
2020-01-29,1462.0999755859375,1480.3499755859375,1436.550048828125,1475.0,1904809.0,,,-0.7898691197382544,0.0057437493282459,0.0088229427737271,0.0124820465800816,-0.0174748151182845,Services,18.0
2020-01-30,1419.199951171875,1456.949951171875,1405.0,1451.0,1822998.0,,,-0.8318507879075876,-0.0293413755081079,0.0224070250297476,0.0265994935870936,-0.0100056029174392,Services,18.0
2020-01-31,1378.25,1426.949951171875,1371.0,1417.0,1809304.0,,,-0.8719241278445345,-0.0288542506910752,0.0281153636858335,0.0353346280949573,-0.0052602938508978,Services,18.0
2020-02-03,1391.800048828125,1401.699951171875,1349.300048828125,1366.550048828125,1155885.0,,,-0.8586641434657346,0.0098313432455106,-0.0181419737851425,0.0071130205463676,-0.0305359954799429,Services,18.0
2020-02-04,1413.0,1419.949951171875,1395.0,1400.0,597879.0,,,-0.8379180173863289,0.0152320379566914,-0.0092002830856333,0.0049185783240446,-0.0127388535031847,Services,18.0
