Date_Ticker,Close_KIRLOSENG.NS,High_KIRLOSENG.NS,Low_KIRLOSENG.NS,Open_KIRLOSENG.NS,Volume_KIRLOSENG.NS,MA_20_Unnamed: 6_level_1,MA_50_Unnamed: 7_level_1,Normalised Close_Unnamed: 8_level_1,Return Ratio_Unnamed: 9_level_1,Percentage Change Open_Unnamed: 10_level_1,Percentage Change High_Unnamed: 11_level_1,Percentage Change Low_Unnamed: 12_level_1,Sector_Unnamed: 13_level_1,Sector Encoded_Unnamed: 14_level_1
Date,,,,,,,,,,,,,,
2020-01-10,135.0379180908203,139.18046734100952,134.18239549866223,135.26305633830128,78928.0,,,-0.7149807217429089,,0.0016672224414,0.0306769336254364,-0.0063354249254842,Capital Goods,1.0
2020-01-13,137.60450744628906,138.55009088783711,135.0379257822799,135.0379257822799,34048.0,,,-0.7081564690338102,0.0190064345759728,-0.0186518720326873,0.0068717475836839,-0.0186518720326873,Capital Goods,1.0
2020-01-14,140.1710662841797,140.48626532471667,137.91968382705284,137.91968382705284,48394.0,,,-0.7013322974672849,0.0186517061506319,-0.0160616774688896,0.0022486740587244,-0.0160616774688896,Capital Goods,1.0
2020-01-15,134.0923614501953,142.96281566685215,130.62523999221918,140.48629445057597,244934.0,,,-0.7174948432375073,-0.0433663308350708,0.0476830516759561,0.0661518234202438,-0.0258562189559462,Capital Goods,1.0
2020-01-16,134.587646484375,136.65892118470282,133.77715426054388,134.137369973058,54487.0,,,-0.7161779398423168,0.0036936110962863,-0.0033456006036131,0.0153897831965452,-0.0060220402466523,Capital Goods,1.0
2020-01-17,137.24427795410156,138.9103065765183,134.9028482922727,135.98350919322053,48636.0,,,-0.7091142759703658,0.0197390439547881,-0.0091863120246271,0.0121391481470281,-0.0170603080633492,Capital Goods,1.0
2020-01-20,135.30809020996094,138.68516400887844,134.36250679799434,138.14482670451224,43951.0,,,-0.7142623665404922,-0.0141076026848138,0.0209650176138727,0.0249584026622298,-0.0069883730566243,Capital Goods,1.0
2020-01-21,133.82217407226562,137.9647094038255,133.32686720073468,137.9647094038255,23074.0,,,-0.7182132390112108,-0.0109817242663729,0.0309555225826989,0.0309555225826989,-0.0037012316902239,Capital Goods,1.0
2020-01-22,135.53321838378906,137.19924683056067,132.0660840448741,137.19924683056067,27122.0,,,-0.7136637777764316,0.0127859551183158,0.0122923993589079,0.0122923993589079,-0.0255814359037582,Capital Goods,1.0
