Date_Ticker,Close_AMBUJACEM.NS,High_AMBUJACEM.NS,Low_AMBUJACEM.NS,Open_AMBUJACEM.NS,Volume_AMBUJACEM.NS,MA_20_Unnamed: 6_level_1,MA_50_Unnamed: 7_level_1,Normalised Close_Unnamed: 8_level_1,Return Ratio_Unnamed: 9_level_1,Percentage Change Open_Unnamed: 10_level_1,Percentage Change High_Unnamed: 11_level_1,Percentage Change Low_Unnamed: 12_level_1,Sector_Unnamed: 13_level_1,Sector Encoded_Unnamed: 14_level_1
Date,,,,,,,,,,,,,,
2020-01-10,189.9496154785156,191.96797030650455,185.50923759450887,187.0790691273892,5362463.0,,,-1.420018297998025,,-0.0151121461546266,0.0106257378984651,-0.0233766089645439,Construction Materials,4.0
2020-01-13,189.72537231445312,192.6856290881344,188.9628771633465,190.71212913496225,2628821.0,,,-1.4215700380917724,-0.0011805402369338,0.0052009744847074,0.0156028513085475,-0.0040189413877806,Construction Materials,4.0
2020-01-14,187.7518768310547,190.57756845765755,187.30335348157192,190.35330678291615,3725008.0,,,-1.4352264279274305,-0.0104018532646626,0.0138556801442915,0.015050137843072,-0.0023889153975614,Construction Materials,4.0
2020-01-15,190.2187347412109,190.9812161404026,185.3746748764424,187.48273986682935,3359831.0,,,-1.4181560198248195,0.0131389254360211,-0.0143834143261641,0.0040084453312603,-0.0254657348623352,Construction Materials,4.0
2020-01-16,188.1555328369141,192.3267942399244,187.57245799575196,191.51945773864676,3126006.0,,,-1.4324331690515462,-0.0108464705493064,0.0178784266984506,0.0221692200070768,-0.0030988981953962,Construction Materials,4.0
2020-01-17,188.7386016845703,190.5326949085219,187.12392873328992,188.0658167255885,1968147.0,,,-1.428398391393525,0.0030988663413986,-0.0035646388866769,0.0095057036978052,-0.0085550753098134,Construction Materials,4.0
2020-01-20,185.7334899902344,189.949606016672,185.37466315931465,189.63563425059772,1743715.0,,,-1.4491934614318287,-0.0159220830689327,0.0210093734876168,0.0226998158848965,-0.001931944696342,Construction Materials,4.0
2020-01-21,186.2268829345703,188.29007920084865,184.52248615166616,184.79160287400316,3142796.0,,,-1.4457792319863112,0.002656456540831,-0.0077071582681833,0.0110789389467642,-0.0091522596310812,Construction Materials,4.0
2020-01-22,188.6937713623047,190.35329947900652,186.85482296241705,187.3930427484369,3780055.0,,,-1.4287086127051356,0.0132466826961878,-0.0068933309482182,0.0087948219208331,-0.0097456762171377,Construction Materials,4.0
2020-01-23,191.65402221679688,192.82018566580783,187.8864288097084,188.37980723288763,4656562.0,,,-1.4082239751570074,0.0156881217282382,-0.017083987834106,0.0060847324544632,-0.0196583059594054,Construction Materials,4.0
2020-01-24,193.7172088623047,194.56940038738855,190.71211099091997,192.05768087931915,3540793.0,,,-1.3939469315195632,0.0107651622524987,-0.0085667555956019,0.0043991524041089,-0.0155128080206895,Construction Materials,4.0
2020-01-27,193.3583984375,196.36349635142156,192.23709018129532,192.50620690035345,2903622.0,,,-1.3964298634945544,-0.0018522382544739,-0.0044073158654238,0.0155415949770234,-0.0057991184518788,Construction Materials,4.0
2020-01-28,193.8966064453125,197.5745027780668,192.0128169016787,193.5826483652956,5093967.0,,,-1.3927055183267087,0.0027834736539073,-0.001619203583666,0.018968337817669,-0.0097154332825578,Construction Materials,4.0
