Date_Ticker,Close_SIEMENS.NS,High_SIEMENS.NS,Low_SIEMENS.NS,Open_SIEMENS.NS,Volume_SIEMENS.NS,MA_20_Unnamed: 6_level_1,MA_50_Unnamed: 7_level_1,Normalised Close_Unnamed: 8_level_1,Return Ratio_Unnamed: 9_level_1,Percentage Change Open_Unnamed: 10_level_1,Percentage Change High_Unnamed: 11_level_1,Percentage Change Low_Unnamed: 12_level_1,Sector_Unnamed: 13_level_1,Sector Encoded_Unnamed: 14_level_1
Date,,,,,,,,,,,,,,
2020-01-10,1471.0948486328125,1492.2809522300736,1463.8866792600038,1472.7994776578794,718067.0,,,-0.8983442372220658,,0.0011587485515642,0.0144015891408706,-0.0048998671836202,Capital Goods,1.0
2020-01-13,1462.864013671875,1478.8387281387745,1450.931610166186,1472.7995184164574,336600.0,,,-0.9027377478496617,-0.0055950402984464,0.0067918170463732,0.0109201636772797,-0.0081568781473664,Capital Goods,1.0
2020-01-14,1471.825439453125,1477.669881965844,1461.6464163056671,1464.032849436166,301320.0,,,-0.8979542575239307,0.0061259458825269,-0.0052945069490404,0.0039708802117801,-0.0069159173870781,Capital Goods,1.0
2020-01-15,1469.146728515625,1482.5402425332545,1461.1593713545788,1468.708442891788,464602.0,,,-0.8993841179242444,-0.0018199922801275,-0.0002983266513343,0.0091165257749046,-0.0054367320880988,Capital Goods,1.0
2020-01-16,1495.6414794921875,1506.6973115875408,1470.851350322131,1470.851350322131,703432.0,,,-0.8852415709598753,0.0180341081406701,-0.0165749141822899,0.0073920336169781,-0.0165749141822899,Capital Goods,1.0
2020-01-17,1546.8292236328125,1556.2776921091777,1497.1514588939754,1497.1514588939754,1040955.0,,,-0.8579182314746586,0.0342246085325239,-0.0321158690176321,0.0061082815943795,-0.0321158690176321,Capital Goods,1.0
2020-01-20,1550.481689453125,1567.2844594503397,1539.572112437412,1553.5500451467542,456685.0,,,-0.8559685936220433,0.0023612599015516,0.0019789693193419,0.0108371289461284,-0.0070362501472435,Capital Goods,1.0
2020-01-21,1542.0562744140625,1569.2329583680162,1534.2636836834952,1550.433285668323,581928.0,,,-0.8604659685167781,-0.0054340629085624,0.0054323641706548,0.0176236654944905,-0.0050533763649632,Capital Goods,1.0
2020-01-22,1536.7474365234375,1553.6475918765464,1524.91241697977,1546.8290757993452,234346.0,,,-0.8632997558303785,-0.0034427004894112,0.0065603748776801,0.0109973538601384,-0.0077013432802215,Capital Goods,1.0
2020-01-23,1541.6666259765625,1553.453014618254,1528.4679967281827,1537.4294285345034,352940.0,,,-0.8606739576891168,0.0032010396348886,-0.0027484524673906,0.0076452252666658,-0.0085612732519387,Capital Goods,1.0
2020-01-24,1582.821044921875,1585.6946337412894,1541.9586998998618,1541.9586998998618,675803.0,,,-0.838706274232108,0.0266947589393675,-0.0258161496861005,0.0018154856031473,-0.0258161496861005,Capital Goods,1.0
2020-01-27,1516.7303466796875,1596.507017651551,1510.3502343953976,1586.7662792888204,981767.0,,,-0.8739846131236461,-0.0417550034820579,0.0461755992173891,0.0525977944243711,-0.0042064908230107,Capital Goods,1.0
2020-01-28,1467.734375,1534.6044428558369,1462.1334509339213,1518.191323938947,683385.0,,,-0.9001380135144573,-0.032303679943469,0.0343774389960356,0.0455600611356104,-0.0038160338556346,Capital Goods,1.0
2020-01-29,1488.5794677734375,1499.489165194311,1451.6621675102997,1473.7735942303443,627013.0,,,-0.88901117922997,0.0142022242774258,-0.0099463104682205,0.0073289318152371,-0.0248003556829635,Capital Goods,1.0
2020-01-30,1470.65673828125,1494.6189310796235,1464.5200254974782,1490.33298238187,355752.0,,,-0.8985780947219166,-0.0120401563236631,0.013379222757049,0.0162935321170716,-0.0041727703168475,Capital Goods,1.0
2020-01-31,1461.354248046875,1484.7807709735307,1443.8696705449563,1475.7218368878623,334263.0,,,-0.903543640732959,-0.0063253987094546,0.0098316947175471,0.0160306941030661,-0.0119646400079153,Capital Goods,1.0
2020-02-03,1406.5504150390625,1428.4229963133805,1385.2649939034914,1389.326374012743,440274.0,,,-0.9327972005352784,-0.037502086219723,-0.0122455909451644,0.0155505135403983,-0.0151330666202817,Capital Goods,1.0
2020-02-04,1452.9190673828125,1465.113619710879,1422.481846043045,1422.6293845080256,292288.0,,,-0.9080462283889054,0.0329662213653836,-0.0208474673880828,0.0083931394403358,-0.0209490136257864,Capital Goods,1.0
2020-02-05,1472.83349609375,1483.651222660656,1455.4759380927917,1462.3599459080956,273458.0,,,-0.8974161702478738,0.0137064955357836,-0.0071111569728908,0.007344840129992,-0.0117851461465223,Capital Goods,1.0
2020-02-06,1486.1099853515625,1495.7967449963612,1468.9982826024425,1477.1115785565644,269039.0,1494.7321472167969,,-0.8903293562213275,0.009014249942729,-0.0060550072899681,0.0065181983435143,-0.011514425525559,Capital Goods,1.0
2020-02-07,1482.1270751953125,1489.8961948744725,1460.934234352878,1484.9790457164706,206234.0,1495.283758544922,,-0.8924553808814368,-0.0026800911073266,0.0019242415639577,0.0052418715029114,-0.0142989364387947,Capital Goods,1.0
2020-02-10,1451.4930419921875,1481.045152990882,1446.1826175613542,1481.045152990882,233901.0,1494.7152099609375,,-0.9088074218448144,-0.0206689653780787,0.0203598020408928,0.0203598020408928,-0.0036585944797535,Capital Goods,1.0
2020-02-11,1469.9815673828125,1496.7800271327249,1435.9057037279963,1457.9345533667968,1401399.0,1494.623016357422,,-0.8989384920001765,0.0127375914701246,-0.0081953503930423,0.018230473323298,-0.0231811503020991,Capital Goods,1.0
2020-02-12,1400.10888671875,1465.3103271470768,1385.8983748537034,1465.3103271470768,1666879.0,1491.171124267578,,-0.9362356029898974,-0.0475330318518655,0.0465688355004523,0.0465688355004523,-0.0101495762221393,Capital Goods,1.0
2020-02-13,1396.765380859375,1425.9731976473254,1388.455327092812,1406.304601817707,720405.0,1486.2273193359374,,-0.938020322109684,-0.0023880327388041,0.0068295084407539,0.020911040027338,-0.0059494986634406,Capital Goods,1.0
2020-02-14,1374.7364501953125,1413.139309308162,1369.917620485597,1403.7476273699897,521198.0,1477.6226806640625,,-0.949779073372035,-0.0157713893585399,0.0211030828276617,0.0279347063994654,-0.0035052752904245,Capital Goods,1.0
2020-02-17,1359.8375244140625,1383.2432011302956,1351.527590815811,1383.2432011302956,542961.0,1468.0904724121094,,-0.9577319225143566,-0.0108376596686101,0.0172121126943589,0.0172121126943589,-0.0061109753548183,Capital Goods,1.0
2020-02-18,1370.9993896484375,1375.719900464655,1339.529637667192,1356.788877788437,280577.0,1459.537628173828,,-0.951773866768645,0.008208234464764,-0.0103650752635596,0.0034431166431283,-0.0229538774552738,Capital Goods,1.0
2020-02-19,1398.3387451171875,1401.3873532445557,1376.7032912425343,1379.260184509115,301671.0,1452.6171936035155,,-0.9371804811189964,0.0199411871917467,-0.0136437330902057,0.0021801642398979,-0.0154722551672126,Capital Goods,1.0
2020-02-20,1389.291259765625,1406.55050113896,1385.4067599926657,1391.9956917727093,269766.0,1444.9984252929687,,-0.9420099089029036,-0.0064701671058998,0.0019466270935444,0.0124230547424928,-0.0027960298070359,Capital Goods,1.0
2020-02-24,1351.0357666015625,1395.7325983391045,1345.4793648005275,1381.7187251481007,288865.0,1433.409161376953,,-0.9624301841942796,-0.0275359777117695,0.0227106930142337,0.0330833815376878,-0.0041126977822443,Capital Goods,1.0
2020-02-25,1359.8375244140625,1381.6696174487222,1342.3816458688812,1359.0999520811674,492866.0,1425.564520263672,,-0.9577319225143566,0.0065148222053663,-0.0005423973964925,0.0160549276238475,-0.0128367383836557,Capital Goods,1.0
2020-02-26,1324.0899658203125,1374.4907453195722,1317.7959908099117,1353.3470036759804,554695.0,1418.3822998046876,,-0.9768134955671046,-0.0262881101248865,0.0220959591952971,0.0380644675213099,-0.004753434564774,Capital Goods,1.0
2020-02-27,1329.9903564453125,1340.4146873040468,1296.8487033733754,1325.6632417357705,680060.0,1410.4528442382812,,-0.9736639452431176,0.004456185589583,-0.003253493296829,0.0078378995819154,-0.024918716824771,Capital Goods,1.0
2020-02-28,1282.1466064453125,1322.6638663346564,1265.133222823975,1312.7804688370124,815803.0,1401.0273376464845,,-0.9992023049704872,-0.0359730051937164,0.023892636175695,0.0316011130752635,-0.0132694526006711,Capital Goods,1.0
2020-03-02,1288.9322509765625,1333.2356900492744,1275.5084106178306,1298.1272953088176,417758.0,1392.4062377929688,,-0.995580217842678,0.0052924092277269,0.0071338461158749,0.0343722015172986,-0.0104146981725077,Capital Goods,1.0
2020-03-03,1333.9732666015625,1340.1689221860113,1279.589672222562,1297.2914081237532,556071.0,1388.7773803710938,,-0.9715379205830084,0.0349444399353608,-0.0274981961004812,0.0046445125547627,-0.0407681291226685,Capital Goods,1.0
2020-03-04,1311.7476806640625,1346.3152586108831,1288.932159654769,1346.3152586108831,486589.0,1381.7188110351562,,-0.983401643824256,-0.0166611929143992,0.0263523072740032,0.0263523072740032,-0.0173932238231542,Capital Goods,1.0
2020-03-05,1313.2720947265625,1330.5804340872887,1298.1272527680865,1313.9604475233944,461450.0,1373.740740966797,,-0.9825879317991412,0.0011621244580575,0.000524150935359,0.0131795531407601,-0.0115321432773072,Capital Goods,1.0
2020-03-06,1316.8123779296875,1320.5002393316563,1269.1652566352782,1279.4420490564028,381404.0,1365.275860595703,,-0.980698175540943,0.0026957728084994,-0.0283793876026886,0.0028005974607916,-0.0361836827273152,Capital Goods,1.0
2020-03-09,1265.28076171875,1298.0781216700896,1247.1856293170367,1293.0135542179491,576565.0,1354.433544921875,,-1.0082050693803195,-0.0391336055725389,0.0219182914482372,0.0259210136940577,-0.0143012783796167,Capital Goods,1.0
2020-03-11,1264.29736328125,1273.5908471874448,1239.613298599885,1253.8730311105542,800870.0,1345.073760986328,,-1.0087299944343175,-0.0007772175688217,-0.0082451585152731,0.0073507105022154,-0.0195239390654917,Capital Goods,1.0
2020-03-12,1160.6929931640625,1237.1546582507017,1130.9934619468695,1234.2043689225998,782047.0,1329.609332275391,,-1.064032634243703,-0.0819462043710203,0.0633340393984325,0.0658758737555602,-0.0255877578240838,Capital Goods,1.0
2020-03-13,1193.5394287109375,1268.6242591066923,986.6258046114646,1064.2675281090842,578139.0,1319.280859375,,-1.0464996422278603,0.0282989866746203,-0.1083097026308308,0.0629093841305679,-0.1733613646286881,Capital Goods,1.0
2020-03-16,1129.22314453125,1164.4299755454608,1120.5689152173168,1145.695591882348,677424.0,1305.9037475585938,,-1.0808308224072696,-0.0538870209333186,0.0145874156324841,0.0311779219056171,-0.0076638787965381,Capital Goods,1.0
2020-03-17,1117.1270751953125,1187.7866050138753,1106.4077860112895,1133.894601933309,466437.0,1293.0232788085937,,-1.087287543922376,-0.0107118503499666,0.0150095070742648,0.0632511120601109,-0.0095954072030246,Capital Goods,1.0
