Date_Ticker,Close_COCHINSHIP.NS,High_COCHINSHIP.NS,Low_COCHINSHIP.NS,Open_COCHINSHIP.NS,Volume_COCHINSHIP.NS,MA_20_Unnamed: 6_level_1,MA_50_Unnamed: 7_level_1,Normalised Close_Unnamed: 8_level_1,Return Ratio_Unnamed: 9_level_1,Percentage Change Open_Unnamed: 10_level_1,Percentage Change High_Unnamed: 11_level_1,Percentage Change Low_Unnamed: 12_level_1,Sector_Unnamed: 13_level_1,Sector Encoded_Unnamed: 14_level_1
Date,,,,,,,,,,,,,,
2020-01-10,167.20484924316406,170.25901784000752,166.8073976039932,168.8365217102474,184598.0,,,-0.5271549381861231,,0.0097585235982624,0.0182660288303111,-0.0023770341647978,Capital Goods,1.0
2020-01-13,169.3804473876953,169.86157985093612,167.35131019796663,167.35131019796663,73558.0,,,-0.5235425604950288,0.0130115732550752,-0.0119797604801703,0.002840543112627,-0.0119797604801703,Capital Goods,1.0
2020-01-14,169.52688598632812,170.94936960004782,168.02072160855175,169.44320522227144,129318.0,,,-0.5232994128677217,0.0008645543266137,-0.0004936135266675,0.0083909027493986,-0.0088845162760663,Capital Goods,1.0
2020-01-15,169.96617126464844,171.26314644818467,167.76968535907451,168.7737906480443,113570.0,,,-0.5225700206573913,0.0025912425381053,-0.0070153996394231,0.0076307842548077,-0.0129230769230769,Capital Goods,1.0
2020-01-16,178.41738891601562,181.9526770535816,172.79019700564925,174.79840726320805,1287978.0,,,-0.5085375624191262,0.049722939503109,-0.0202837945045317,0.019814706173231,-0.0315394813507511,Capital Goods,1.0
2020-01-17,178.04083251953125,181.53429293747948,177.22500271493263,179.4424020007307,370782.0,,,-0.5091627991750585,-0.0021105364156047,0.0078721800014369,0.0196216809846976,-0.0045822623555139,Capital Goods,1.0
2020-01-20,184.02365112304688,205.7165630282832,180.5301906507352,188.73040580397569,6132766.0,,,-0.4992288872035254,0.0336036319244873,0.0255769008614095,0.1178811080687198,-0.0189837580712696,Capital Goods,1.0
2020-01-21,179.14955139160156,183.584350123145,177.91533058725028,182.83127446591035,333144.0,,,-0.5073218749541818,-0.0264862679427344,0.0205511152314354,0.0247547297612231,-0.0068893323749017,Capital Goods,1.0
2020-01-22,178.12452697753906,180.61388249107523,176.24182498952044,179.06587797154836,872214.0,,,-0.5090238323379449,-0.0057216130662917,0.0052847915443334,0.0139753663112889,-0.010569583088667,Capital Goods,1.0
2020-01-23,168.87840270996094,179.0659171381021,164.42267625064045,178.8985683672525,5698774.0,,,-0.5243761588313479,-0.05190820390919,0.0593336122115071,0.0603245546183761,-0.0263842290536875,Capital Goods,1.0
2020-01-24,165.94972229003906,168.81561571763396,164.4226443049074,167.10026242194365,574316.0,,,-0.5292389593627164,-0.0173419476553891,0.0069330645211547,0.0172696488312649,-0.00920205206769,Capital Goods,1.0
2020-01-27,163.69049072265625,165.63594703645273,163.16751790884584,165.63594703645273,310228.0,,,-0.5329902025477431,-0.0136139520826328,0.0118849684255191,0.0118849684255191,-0.0031948881789137,Capital Goods,1.0
2020-01-28,163.0419921875,165.25939157489336,162.58177360675148,164.5899838908855,188054.0,,,-0.5340669738471646,-0.0039617361539651,0.0094944356519226,0.0136001735359276,-0.0028226996896557,Capital Goods,1.0
2020-01-29,161.03379821777344,167.37222663765823,160.69910069926877,163.7532570512725,405000.0,,,-0.5374013925282366,-0.0123170352789673,0.0168875035153888,0.0393608577207689,-0.002078430256312,Capital Goods,1.0
