Date_Ticker,Close_HONAUT.NS,High_HONAUT.NS,Low_HONAUT.NS,Open_HONAUT.NS,Volume_HONAUT.NS,MA_20_Unnamed: 6_level_1,MA_50_Unnamed: 7_level_1,Normalised Close_Unnamed: 8_level_1,Return Ratio_Unnamed: 9_level_1,Percentage Change Open_Unnamed: 10_level_1,Percentage Change High_Unnamed: 11_level_1,Percentage Change Low_Unnamed: 12_level_1,Sector_Unnamed: 13_level_1,Sector Encoded_Unnamed: 14_level_1
Date,,,,,,,,,,,,,,
2020-01-10,27012.615234375,27154.768934968502,26759.071026990823,26759.071026990823,1726.0,,,-1.8353622468347464,,-0.009386140704419,0.0052624930744435,-0.009386140704419,Capital Goods,1.0
2020-01-13,26712.083984375,27303.10754543969,26551.331696717894,27303.10754543969,2826.0,,,-1.8808495143982684,-0.0111255888181296,0.0221257001666512,0.0221257001666512,-0.0060179612998796,Capital Goods,1.0
2020-01-14,26511.76171875,26877.78230964319,26462.299476737408,26877.78230964319,18974.0,,,-1.911169531020218,-0.0074993125112281,0.0138059701492536,0.0138059701492536,-0.0018656716417909,Capital Goods,1.0
2020-01-15,27037.697265625,27471.28217020825,26521.657248332387,26521.657248332387,949.0,,,-1.8315659259313284,0.0198378196233953,-0.0190859455308973,0.0160363103530456,-0.0190859455308973,Capital Goods,1.0
2020-01-16,27622.833984375,27697.86782325905,26937.23703684584,26937.23703684584,2182.0,,,-1.7430018565141796,0.0216415145491671,-0.0248199351274736,0.0027163700482901,-0.0248199351274736,Capital Goods,1.0
2020-01-17,27674.869140625,27698.858330429037,27209.280623014896,27698.808095334403,2050.0,,,-1.7351260130701005,0.0018837732681387,0.0008650069703224,0.0008668221584766,-0.0168235128861602,Capital Goods,1.0
2020-01-20,27138.400390625,27902.543791529308,27095.418471519784,27858.570695380982,1313.0,,,-1.8163238837431768,-0.0193846896718473,0.0265369474394212,0.0281572749279754,-0.0015838044426547,Capital Goods,1.0
2020-01-21,26979.625,27233.86093060603,26913.44606414824,27132.662340068036,709.0,,,-1.8403555233010005,-0.0058505802972768,0.0056723301405423,0.0094232566466743,-0.0024529227463969,Capital Goods,1.0
2020-01-22,26667.66796875,27104.6186009893,26558.949567657488,27055.89828959317,771.0,,,-1.887572153680672,-0.0115626896685925,0.0145580903923849,0.016385033470168,-0.0040767869623962,Capital Goods,1.0
