Date_Ticker,Close_ADANIENT.NS,High_ADANIENT.NS,Low_ADANIENT.NS,Open_ADANIENT.NS,Volume_ADANIENT.NS,MA_20_Unnamed: 6_level_1,MA_50_Unnamed: 7_level_1,Normalised Close_Unnamed: 8_level_1,Return Ratio_Unnamed: 9_level_1,Percentage Change Open_Unnamed: 10_level_1,Percentage Change High_Unnamed: 11_level_1,Percentage Change Low_Unnamed: 12_level_1,Sector_Unnamed: 13_level_1,Sector Encoded_Unnamed: 14_level_1
Date,,,,,,,,,,,,,,
2020-01-10,207.0649261474609,210.92696308949385,203.8960582757313,205.97562592776865,2769132.0,,,-1.5330513032595174,,-0.0052606698776042,0.0186513332503379,-0.0153037403807968,Metals & Mining,14.0
2020-01-13,211.52114868164065,214.1453515700622,207.5600785947956,208.5998474043658,3527267.0,,,-1.5290605808879087,0.0215208950018227,-0.0138109181776034,0.0124063381121819,-0.0187265912251963,Metals & Mining,14.0
2020-01-14,212.26382446289065,213.4026259353705,209.7881559485592,211.3725747315624,1775182.0,,,-1.5283954855448567,0.0035111183249472,-0.0041987829701241,0.0053650285222246,-0.0116631673842484,Metals & Mining,14.0
2020-01-15,214.49192810058597,215.87829643726303,210.431825655589,212.41236048528867,1982079.0,,,-1.526400131191475,0.0104968599493261,-0.0096953187642663,0.0064634988782747,-0.0189289288457183,Metals & Mining,14.0
2020-01-16,217.85882568359372,220.3344941572709,214.88802351518112,215.58120766575448,4280379.0,,,-1.5233849421149943,0.015697082929055,-0.0104545593261718,0.0113636363636362,-0.0136363636363635,Metals & Mining,14.0
2020-01-17,226.1770782470703,227.01881161888676,211.620149837076,213.89776798115392,10810744.0,,,-1.5159356201066922,0.0381818479805704,-0.0542906927664118,0.0037215679782409,-0.0643607589363796,Metals & Mining,14.0
2020-01-20,224.3450927734375,229.9896141900607,221.9684418383505,227.31589510958463,4546367.0,,,-1.5175762350800273,-0.0080997839738277,0.0132421097311334,0.0251599950185827,-0.0105937281966186,Metals & Mining,14.0
2020-01-21,222.06744384765625,224.79067894500767,218.35394144217705,222.16647662258103,2813526.0,,,-1.519615959185605,-0.0101524347942007,0.0004459580981746,0.0122630992196208,-0.0167224080267558,Metals & Mining,14.0
2020-01-22,223.70140075683597,225.78096835155492,218.9976305828452,222.61211567744903,2939366.0,,,-1.5181526865726032,0.0073579309099474,-0.0048693708474849,0.0092961760082115,-0.0210270036668377,Metals & Mining,14.0
2020-01-23,227.36541748046875,228.9498363685596,223.55288167141688,223.80044853927004,2650092.0,,,-1.5148714156313974,0.0163790513212548,-0.0156794686751556,0.0069686010548501,-0.0167683188204265,Metals & Mining,14.0
2020-01-24,227.513916015625,230.13811836081177,216.8685423609222,223.3052799195797,7154795.0,,,-1.5147384293584154,0.0006531271853117,-0.0184983677910772,0.0115342498214769,-0.0467899891186072,Metals & Mining,14.0
2020-01-27,228.30615234375,234.1487239660785,223.8499490388373,227.26636855054744,5293975.0,,,-1.514028950598322,0.0034821444859249,-0.0045543397868533,0.0255909512833962,-0.0195185423571204,Metals & Mining,14.0
2020-01-28,227.6624755859375,232.21771179750664,226.8702737319966,229.98961008516383,2161711.0,,,-1.5146053884260526,-0.0028193579156962,0.0102218624006305,0.0200087265143071,-0.0034797208099489,Metals & Mining,14.0
2020-01-29,230.0391387939453,236.03026007437435,228.7517880469493,229.44497226139865,3738186.0,,,-1.5124769931403084,0.0104394156388353,-0.0025828932227002,0.026043921533698,-0.0055962248587149,Metals & Mining,14.0
2020-01-30,229.24691772460935,230.484752053576,225.97903207408115,230.0391347172045,2192123.0,,,-1.5131864582355563,-0.0034438533959456,0.0034557367246559,0.0053995680345573,-0.0142548727937702,Metals & Mining,14.0
2020-01-31,227.21685791015625,232.26722782768053,224.9392398079339,228.75177544275925,2720308.0,,,-1.51500445656376,-0.0088553418061297,0.0067552977658458,0.0222270916162445,-0.0100239837975532,Metals & Mining,14.0
