Date_Ticker,Close_BAJAJHLDNG.NS,High_BAJAJHLDNG.NS,Low_BAJAJHLDNG.NS,Open_BAJAJHLDNG.NS,Volume_BAJAJHLDNG.NS,MA_20_Unnamed: 6_level_1,MA_50_Unnamed: 7_level_1,Normalised Close_Unnamed: 8_level_1,Return Ratio_Unnamed: 9_level_1,Percentage Change Open_Unnamed: 10_level_1,Percentage Change High_Unnamed: 11_level_1,Percentage Change Low_Unnamed: 12_level_1,Sector_Unnamed: 13_level_1,Sector Encoded_Unnamed: 14_level_1
Date,,,,,,,,,,,,,,
2020-01-10,3102.076904296875,3146.550021379292,3091.588448953453,3140.0919918914137,20996.0,,,-0.9713164268484172,,0.0122547211972345,0.0143365617470072,-0.0033811074538139,Financial Services,9.0
2020-01-13,3110.779052734375,3132.763680994241,3077.8479563812907,3114.4890034810683,86638.0,,,-0.9678592481334408,0.0028052652161673,0.0011926114596381,0.0070672419632444,-0.0105861251457695,Financial Services,9.0
2020-01-14,3123.51171875,3134.458186030042,3105.3285110218226,3116.0918178078127,16111.0,,,-0.9628008304047302,0.0040930795147385,-0.0023754996332002,0.0035045385661054,-0.0058213989142497,Financial Services,9.0
2020-01-15,3123.78662109375,3138.305725654988,3089.7563376048665,3122.733280431364,46709.0,,,-0.9626916175432932,8.801066507924399e-05,-0.0003371999403778,0.0046479181590688,-0.010893920621559,Financial Services,9.0
2020-01-16,3110.779052734375,3133.679707171736,3097.5425191974214,3132.809527030957,7275.0,,,-0.9678592481334408,-0.0041640386931488,0.0070819797623418,0.0073617103783798,-0.0042550542203627,Financial Services,9.0
2020-01-17,3102.030517578125,3132.7632361974024,3092.458090110264,3129.6946831219984,45682.0,,,-0.971334855306386,-0.0028123293258516,0.0089180829740747,0.0099072908680704,-0.0030858585734788,Financial Services,9.0
2020-01-20,3092.275390625,3119.069156506888,3080.64190281609,3116.779091046897,21918.0,,,-0.9752103600172578,-0.003144755313607,0.0079241650003702,0.0086647411686291,-0.0037621124703769,Financial Services,9.0
2020-01-21,3087.237060546875,3098.9163936889186,3079.679844984376,3098.9163936889186,44703.0,,,-0.9772119815283388,-0.0016293277414424,0.0037831021437577,0.0037831021437577,-0.0024478896224316,Financial Services,9.0
2020-01-22,3071.619140625,3105.2831049163387,3057.0544128770875,3091.588557367842,25284.0,,,-0.9834166493427184,-0.0050588664283229,0.0065012671912112,0.0109596804649709,-0.0047417101799114,Financial Services,9.0
2020-01-23,3065.39013671875,3089.6648322105093,3053.1613205319054,3071.619159912404,41158.0,,,-0.9858913002722972,-0.0020279219594205,0.0020320490755938,0.0079189579169662,-0.0039893180448262,Financial Services,9.0
2020-01-24,3058.56591796875,3077.756623901589,3048.535474881107,3065.252954573589,13340.0,,,-0.988602417415183,-0.0022262154067295,0.0021863307132121,0.006274413057471,-0.0032794595103264,Financial Services,9.0
2020-01-27,3025.26806640625,3089.527211669605,3013.7260474073087,3050.3670935763944,20718.0,,,-1.0018309464966046,-0.0108867529605553,0.0082964638568243,0.0212408103522836,-0.003815205378693,Financial Services,9.0
