Date_Ticker,Close_TATAPOWER.NS,High_TATAPOWER.NS,Low_TATAPOWER.NS,Open_TATAPOWER.NS,Volume_TATAPOWER.NS,MA_20_Unnamed: 6_level_1,MA_50_Unnamed: 7_level_1,Normalised Close_Unnamed: 8_level_1,Return Ratio_Unnamed: 9_level_1,Percentage Change Open_Unnamed: 10_level_1,Percentage Change High_Unnamed: 11_level_1,Percentage Change Low_Unnamed: 12_level_1,Sector_Unnamed: 13_level_1,Sector Encoded_Unnamed: 14_level_1
Date,,,,,,,,,,,,,,
2020-01-10,55.187042236328125,55.70193334290621,53.68917297850867,54.06364118576191,10571670.0,,,-1.2365965465715043,,-0.0203562467753836,0.0093299275647562,-0.0271416839374197,Power,16.0
2020-01-13,55.60831832885742,56.0295905999358,55.09342364875095,55.42108422438175,5570014.0,,,-1.2332864383958764,0.0076336051989389,-0.0033670161246093,0.0075757060047572,-0.0092593103977983,Power,16.0
2020-01-14,56.35725402832031,56.49767693539002,55.421087029747525,55.701936415080624,5841008.0,,,-1.2274017983088306,0.0134680515787911,-0.0116279195027916,0.0024916563003432,-0.0166112954705414,Power,16.0
2020-01-15,57.0125732421875,57.1998037902036,56.07640621733183,56.45087088455782,5808570.0,,,-1.2222527344859957,0.0116279479042374,-0.0098522540851399,0.0032840220563408,-0.0164203608365275,Power,16.0
2020-01-16,57.1061897277832,57.43384676495688,56.49767972023912,57.19980500377744,14551255.0,,,-1.221517158221785,0.0016420322794065,0.0016393192478867,0.0057376799036246,-0.0106557627193262,Power,16.0
2020-01-17,57.62107849121094,58.13596963014843,56.9189532368797,57.199802624373454,6414265.0,,,-1.217471503755308,0.0090163389622409,-0.0073111416493486,0.0089358122482214,-0.0121852154231777,Power,16.0
2020-01-20,56.40406036376953,57.76150319464669,56.07640335029977,57.62107671962045,8384043.0,,,-1.2270340251634062,-0.0211210577675501,0.0215767508225817,0.0240664027043893,-0.0058091033049143,Power,16.0
2020-01-21,55.74874496459961,56.45087022503838,55.56151084757719,55.79555260105678,6250007.0,,,-1.2321830590128795,-0.0116182309384034,0.0008396177615637,0.0125944585996442,-0.0033585351049841,Power,16.0
2020-01-22,55.3742790222168,56.17001953718275,55.1402372741452,56.07640426643158,8871316.0,,,-1.235125364069722,-0.0067170291029977,0.0126796277371499,0.0143702189720014,-0.00422654257905,Power,16.0
2020-01-23,56.31044387817383,56.40405914537339,55.140235182211725,55.233850449411285,8476777.0,,,-1.2277696014276167,0.0169061317363866,-0.0191188943758234,0.0016624849806208,-0.0207813793564444,Power,16.0
2020-01-24,57.293418884277344,57.99554410694939,55.93597607287269,56.170017813763366,6085340.0,,,-1.220046035666725,0.0174563533583602,-0.0196078553591477,0.0122549018080106,-0.0236928226284847,Power,16.0
2020-01-27,56.82533645629883,58.042352817260735,56.49767587025941,56.918951725913736,7343803.0,,,-1.223723916987778,-0.0081699161455866,0.0016474212992456,0.0214167911156644,-0.0057661002375481,Power,16.0
2020-01-28,56.87214660644531,57.85512126565129,56.40406309528115,56.82533896956765,7799785.0,,,-1.223356113868992,0.0008237549140159,-0.0008230327088155,0.0172839380586098,-0.008230452674897,Power,16.0
2020-01-29,57.0125732421875,58.042355541051215,56.54448972975967,57.43384554641752,5292349.0,,,-1.2222527344859957,0.0024691636261584,0.0073891122654727,0.0180623718646979,-0.0082101804182637,Power,16.0
