Date_Ticker,Close_CYIENT.NS,High_CYIENT.NS,Low_CYIENT.NS,Open_CYIENT.NS,Volume_CYIENT.NS,MA_20_Unnamed: 6_level_1,MA_50_Unnamed: 7_level_1,Normalised Close_Unnamed: 8_level_1,Return Ratio_Unnamed: 9_level_1,Percentage Change Open_Unnamed: 10_level_1,Percentage Change High_Unnamed: 11_level_1,Percentage Change Low_Unnamed: 12_level_1,Sector_Unnamed: 13_level_1,Sector Encoded_Unnamed: 14_level_1
Date,,,,,,,,,,,,,,
2020-01-10,378.1363830566406,380.6365362411719,368.7498791953636,371.0745727007954,83431.0,,,-1.133730684465509,,-0.0186752998977816,0.0066117763234561,-0.0248230645922029,Information Technology,12.0
2020-01-13,391.82135009765625,399.146348887562,379.890816512894,381.4259947778461,179603.0,,,-1.1104231414561825,0.0361905588941061,-0.0265308547306551,0.0186947413357645,-0.0304489114281004,Information Technology,12.0
2020-01-14,394.2337951660156,403.3571354401564,391.82137204311664,395.6373921554341,152780.0,,,-1.1063143871552112,0.0061570025925287,0.0035603162555541,0.0231419538000259,-0.0061192702210703,Information Technology,12.0
2020-01-15,398.7516479492188,402.65539835863694,393.0057047160552,398.18144413370766,92091.0,,,-1.0986198090288104,0.0114598312945256,-0.0014299723109451,0.0097899292190897,-0.0144098294332197,Information Technology,12.0
2020-01-16,395.5496520996094,407.91880841884495,386.0754195158548,402.6553399231179,240587.0,,,-1.1040732862463134,-0.0080300504488878,0.0179640856357499,0.0312708057094199,-0.0239520690600145,Information Technology,12.0
2020-01-17,399.1463928222656,404.4098617386032,388.7071848258069,399.1463928222656,1177943.0,,,-1.0979474995465388,0.0090930195578847,0.0,0.0131868131868131,-0.026153832739526,Information Technology,12.0
2020-01-20,405.681884765625,406.9100221806845,399.6288739853538,402.65537937548936,146841.0,,,-1.0868165805534264,0.0163736715673378,-0.0074602921742097,0.0030273410304455,-0.0149205843484192,Information Technology,12.0
2020-01-21,403.7957763671875,405.2871032565565,397.874373884543,403.9273845061337,178309.0,,,-1.0900289048860374,-0.0046492300229948,0.0003259274778211,0.0036932701544973,-0.0146643497262832,Information Technology,12.0
2020-01-22,425.1128234863281,442.4822593295992,404.4098414339156,405.8134384287443,1080343.0,,,-1.053722789491525,0.0527916545114037,-0.0453982660398493,0.0408584142459529,-0.0486999707104304,Information Technology,12.0
2020-01-23,431.82373046875,437.61355120361367,426.6918432998621,426.8673029593431,453642.0,,,-1.0422931124849533,0.0157861786604931,-0.0114778951680739,0.0134078336282694,-0.0118842175795136,Information Technology,12.0
2020-01-24,431.3851013183594,435.90290637951614,426.64798507198736,432.2184945307312,300245.0,,,-1.043040163446584,-0.0010157597173144,0.0019319007768809,0.0104727888083058,-0.01098117721705,Information Technology,12.0
2020-01-27,431.209716796875,437.7452019636049,426.6480594123926,431.16586526074514,605950.0,,,-1.0433388694840495,-0.0004065613785649,-0.0001016942207509,0.0151561639549242,-0.0105787444178377,Information Technology,12.0
