Date_Ticker,Close_AWL.NS,High_AWL.NS,Low_AWL.NS,Open_AWL.NS,Volume_AWL.NS,MA_20_Unnamed: 6_level_1,MA_50_Unnamed: 7_level_1,Normalised Close_Unnamed: 8_level_1,Return Ratio_Unnamed: 9_level_1,Percentage Change Open_Unnamed: 10_level_1,Percentage Change High_Unnamed: 11_level_1,Percentage Change Low_Unnamed: 12_level_1,Sector_Unnamed: 13_level_1,Sector Encoded_Unnamed: 14_level_1
Date,,,,,,,,,,,,,,
2020-01-10,,,,,,,,,,,,,Fast Moving Consumer Goods,8.0
2020-01-13,,,,,,,,,,,,,Fast Moving Consumer Goods,8.0
2020-01-14,,,,,,,,,,,,,Fast Moving Consumer Goods,8.0
2020-01-15,,,,,,,,,,,,,Fast Moving Consumer Goods,8.0
2020-01-16,,,,,,,,,,,,,Fast Moving Consumer Goods,8.0
2020-01-17,,,,,,,,,,,,,Fast Moving Consumer Goods,8.0
2020-01-20,,,,,,,,,,,,,Fast Moving Consumer Goods,8.0
2020-01-21,,,,,,,,,,,,,Fast Moving Consumer Goods,8.0
2020-01-22,,,,,,,,,,,,,Fast Moving Consumer Goods,8.0
2020-01-23,,,,,,,,,,,,,Fast Moving Consumer Goods,8.0
2020-01-24,,,,,,,,,,,,,Fast Moving Consumer Goods,8.0
2020-01-27,,,,,,,,,,,,,Fast Moving Consumer Goods,8.0
2020-01-28,,,,,,,,,,,,,Fast Moving Consumer Goods,8.0
2020-01-29,,,,,,,,,,,,,Fast Moving Consumer Goods,8.0
2020-01-30,,,,,,,,,,,,,Fast Moving Consumer Goods,8.0
2020-01-31,,,,,,,,,,,,,Fast Moving Consumer Goods,8.0
2020-02-03,,,,,,,,,,,,,Fast Moving Consumer Goods,8.0
2020-02-04,,,,,,,,,,,,,Fast Moving Consumer Goods,8.0
2020-02-05,,,,,,,,,,,,,Fast Moving Consumer Goods,8.0
2020-02-06,,,,,,,,,,,,,Fast Moving Consumer Goods,8.0
2020-02-07,,,,,,,,,,,,,Fast Moving Consumer Goods,8.0
2020-02-10,,,,,,,,,,,,,Fast Moving Consumer Goods,8.0
2020-02-11,,,,,,,,,,,,,Fast Moving Consumer Goods,8.0
2020-02-12,,,,,,,,,,,,,Fast Moving Consumer Goods,8.0
2020-02-13,,,,,,,,,,,,,Fast Moving Consumer Goods,8.0
2020-02-14,,,,,,,,,,,,,Fast Moving Consumer Goods,8.0
2020-02-17,,,,,,,,,,,,,Fast Moving Consumer Goods,8.0
2020-02-18,,,,,,,,,,,,,Fast Moving Consumer Goods,8.0
2020-02-19,,,,,,,,,,,,,Fast Moving Consumer Goods,8.0
2020-02-20,,,,,,,,,,,,,Fast Moving Consumer Goods,8.0
2020-02-24,,,,,,,,,,,,,Fast Moving Consumer Goods,8.0
2020-02-25,,,,,,,,,,,,,Fast Moving Consumer Goods,8.0
2020-02-26,,,,,,,,,,,,,Fast Moving Consumer Goods,8.0
2020-02-27,,,,,,,,,,,,,Fast Moving Consumer Goods,8.0
2020-02-28,,,,,,,,,,,,,Fast Moving Consumer Goods,8.0
2020-03-02,,,,,,,,,,,,,Fast Moving Consumer Goods,8.0
2020-03-03,,,,,,,,,,,,,Fast Moving Consumer Goods,8.0
2020-03-04,,,,,,,,,,,,,Fast Moving Consumer Goods,8.0
2020-03-05,,,,,,,,,,,,,Fast Moving Consumer Goods,8.0
2020-03-06,,,,,,,,,,,,,Fast Moving Consumer Goods,8.0
2020-03-09,,,,,,,,,,,,,Fast Moving Consumer Goods,8.0
2020-03-11,,,,,,,,,,,,,Fast Moving Consumer Goods,8.0
2020-03-12,,,,,,,,,,,,,Fast Moving Consumer Goods,8.0
2020-03-13,,,,,,,,,,,,,Fast Moving Consumer Goods,8.0
2020-03-16,,,,,,,,,,,,,Fast Moving Consumer Goods,8.0
2020-03-17,,,,,,,,,,,,,Fast Moving Consumer Goods,8.0
2020-03-18,,,,,,,,,,,,,Fast Moving Consumer Goods,8.0
2020-03-19,,,,,,,,,,,,,Fast Moving Consumer Goods,8.0
2020-03-20,,,,,,,,,,,,,Fast Moving Consumer Goods,8.0
2020-03-23,,,,,,,,,,,,,Fast Moving Consumer Goods,8.0
2020-03-24,,,,,,,,,,,,,Fast Moving Consumer Goods,8.0
2020-03-25,,,,,,,,,,,,,Fast Moving Consumer Goods,8.0
2020-03-26,,,,,,,,,,,,,Fast Moving Consumer Goods,8.0
2020-03-27,,,,,,,,,,,,,Fast Moving Consumer Goods,8.0
2020-03-30,,,,,,,,,,,,,Fast Moving Consumer Goods,8.0
2020-03-31,,,,,,,,,,,,,Fast Moving Consumer Goods,8.0
2020-04-01,,,,,,,,,,,,,Fast Moving Consumer Goods,8.0
2020-04-03,,,,,,,,,,,,,Fast Moving Consumer Goods,8.0
2020-04-07,,,,,,,,,,,,,Fast Moving Consumer Goods,8.0
2020-04-08,,,,,,,,,,,,,Fast Moving Consumer Goods,8.0
2020-04-09,,,,,,,,,,,,,Fast Moving Consumer Goods,8.0
2020-04-13,,,,,,,,,,,,,Fast Moving Consumer Goods,8.0
2020-04-15,,,,,,,,,,,,,Fast Moving Consumer Goods,8.0
2020-04-16,,,,,,,,,,,,,Fast Moving Consumer Goods,8.0
2020-04-17,,,,,,,,,,,,,Fast Moving Consumer Goods,8.0
2020-04-20,,,,,,,,,,,,,Fast Moving Consumer Goods,8.0
