Date_Ticker,Close_NESTLEIND.NS,High_NESTLEIND.NS,Low_NESTLEIND.NS,Open_NESTLEIND.NS,Volume_NESTLEIND.NS,MA_20_Unnamed: 6_level_1,MA_50_Unnamed: 7_level_1,Normalised Close_Unnamed: 8_level_1,Return Ratio_Unnamed: 9_level_1,Percentage Change Open_Unnamed: 10_level_1,Percentage Change High_Unnamed: 11_level_1,Percentage Change Low_Unnamed: 12_level_1,Sector_Unnamed: 13_level_1,Sector Encoded_Unnamed: 14_level_1
Date,,,,,,,,,,,,,,
2020-01-10,1394.537109375,1397.675518231807,1383.5600390026725,1390.5109046388104,392740.0,,,-1.619605306574001,,-0.002887126279482,0.0022505022173369,-0.0078714795745,Fast Moving Consumer Goods,8.0
2020-01-13,1391.9161376953125,1400.4291941150725,1386.479822875042,1400.4291941150725,269900.0,,,-1.6271719679503,-0.0018794563888387,0.0061160699191658,0.0061160699191658,-0.0039056338762418,Fast Moving Consumer Goods,8.0
2020-01-14,1411.8907470703125,1414.3976490590546,1387.0497327413063,1391.8831723827996,503780.0,,,-1.5695059098101771,0.0143504402557421,-0.014170766915945,0.0017755637211618,-0.0175941476920586,Fast Moving Consumer Goods,8.0
2020-01-15,1411.0928955078125,1419.6200933077782,1397.6705919075564,1408.0352800496062,414680.0,,,-1.5718092817423412,-0.0005650944056086,-0.0021668420753446,0.0060429740856267,-0.009511991480494,Fast Moving Consumer Goods,8.0
2020-01-16,1458.0684814453125,1462.161220980378,1409.9439013848987,1410.21920036518,2032080.0,,,-1.4361922682137245,0.0332902150432802,-0.0328168955635758,0.0028069597465054,-0.0330057062976288,Fast Moving Consumer Goods,8.0
2020-01-17,1466.0972900390625,1481.3428276429856,1458.4247355843945,1462.2563182391218,963990.0,,,-1.413013354700523,0.0055064687947931,-0.002619861468974,0.0103987216315752,-0.0052333187618561,Fast Moving Consumer Goods,8.0
2020-01-20,1463.9891357421875,1469.890734655112,1446.2225561145528,1446.2225561145528,687700.0,,,-1.4190995287012071,-0.0014379361528039,-0.0121357318807067,0.0040311767135707,-0.0121357318807067,Fast Moving Consumer Goods,8.0
2020-01-21,1451.02734375,1471.9988669784573,1443.3595425463673,1458.652488100376,632580.0,,,-1.45651980744554,-0.0088537487579211,0.0052549970083057,0.0144528794159446,-0.0052843946991489,Fast Moving Consumer Goods,8.0
2020-01-22,1476.471435546875,1479.9184108806323,1452.950352491264,1459.407534047651,556270.0,,,-1.383063528559925,0.0175352255810134,-0.0115572174905661,0.0023346034679503,-0.0159306048795307,Fast Moving Consumer Goods,8.0
2020-01-23,1476.485595703125,1483.7166277870792,1467.5737908767558,1471.8468947647823,428610.0,,,-1.3830226486419124,9.590538569921724e-06,-0.0031417177057752,0.004897461990146,-0.0060358223963067,Fast Moving Consumer Goods,8.0
2020-01-24,1496.10888671875,1505.082359784754,1471.8613602201076,1481.342890387518,506320.0,,,-1.326370835364208,0.013290540099228,-0.009869600042024,0.0059978743162769,-0.016207060003381,Fast Moving Consumer Goods,8.0
2020-01-27,1487.61474609375,1504.607475766011,1477.5397298250666,1490.838584381595,313620.0,,,-1.3508931475624475,-0.0056774882499556,0.0021671190718632,0.0114228026556482,-0.0067725977408726,Fast Moving Consumer Goods,8.0
2020-01-28,1463.9322509765625,1491.7881044268418,1459.1986151724868,1487.420065687341,531070.0,,,-1.4192637531994303,-0.0159197770655165,0.0160443317613299,0.0190281028590613,-0.0032335074255779,Fast Moving Consumer Goods,8.0
2020-01-29,1506.672607421875,1509.8251572369977,1466.1492960247397,1479.9181851389617,642510.0,,,-1.2958737117005608,0.0291955836185733,-0.0177572899056642,0.0020923920695132,-0.0268958970897309,Fast Moving Consumer Goods,8.0
2020-01-30,1473.8221435546875,1501.3646798160698,1469.1170225812152,1500.524293349669,472520.0,,,-1.3907119497722495,-0.021803319251552,0.0181176201699473,0.0186878290449299,-0.0031924618544026,Fast Moving Consumer Goods,8.0
2020-01-31,1458.5006103515625,1484.8799345473733,1453.8335098475684,1477.544462247886,596490.0,,,-1.4349447258881645,-0.0103957816552893,0.0130571435905899,0.0180866048382744,-0.0031999304428601,Fast Moving Consumer Goods,8.0
