Date_Ticker,Close_NLCINDIA.NS,High_NLCINDIA.NS,Low_NLCINDIA.NS,Open_NLCINDIA.NS,Volume_NLCINDIA.NS,MA_20_Unnamed: 6_level_1,MA_50_Unnamed: 7_level_1,Normalised Close_Unnamed: 8_level_1,Return Ratio_Unnamed: 9_level_1,Percentage Change Open_Unnamed: 10_level_1,Percentage Change High_Unnamed: 11_level_1,Percentage Change Low_Unnamed: 12_level_1,Sector_Unnamed: 13_level_1,Sector Encoded_Unnamed: 14_level_1
Date,,,,,,,,,,,,,,
2020-01-10,44.183380126953125,44.68415197115756,43.759651687421496,43.87521532497803,333172.0,,,-0.7740544060552107,,-0.0069746769280584,0.0113339414677093,-0.0095902223486324,Power,16.0
2020-01-13,45.30047607421875,45.64716398339257,44.3759759627235,44.60710319477594,434975.0,,,-0.7598488532346308,0.0252831708225094,-0.0153060837220962,0.0076530742989504,-0.0204081765052662,Power,16.0
2020-01-14,45.95533752441406,46.186461847021214,45.45456570967757,45.801253663040896,270688.0,,,-0.751521306309336,0.0144559507304605,-0.0033529045737354,0.0050293248849355,-0.0108969238768066,Power,16.0
2020-01-15,45.80125045776367,46.57166677180879,45.30047867807234,46.18645861478623,334220.0,,,-0.7534807547968435,-0.0033529743213947,0.0084104288239419,0.0168208576478838,-0.0109335831377165,Power,16.0
2020-01-16,45.57012939453125,47.11096213228169,45.3004819020818,46.07089827095702,398142.0,,,-0.7564198062540914,-0.005046173650773,0.010988972010377,0.0338123406324002,-0.0059171983058229,Power,16.0
2020-01-17,46.22498321533203,46.533150945663024,45.300482963244335,45.68569115670543,436123.0,,,-0.7480923563480073,0.0143702427335957,-0.0116666793823242,0.0066666920979816,-0.0200000127156575,Power,16.0
2020-01-20,47.03392028808594,47.61173258385826,45.91681592847839,46.76427572562098,726876.0,,,-0.737805506464021,0.0174999971116397,-0.005732980810729,0.0122850124385376,-0.0237510365448002,Power,16.0
2020-01-21,46.995399475097656,47.14948333984624,46.64871151413965,46.84131561034907,391426.0,,,-0.7382953564584965,-0.0008190006861503,-0.0032787010317942,0.0032787010317942,-0.007377061687532,Power,16.0
2020-01-22,44.14485168457031,47.457641057890754,43.14331112132062,47.457641057890754,2122581.0,,,-0.7745443530688969,-0.0606558902012912,0.0750436177018201,0.0750436177018201,-0.0226875960623003,Power,16.0
2020-01-23,42.52698516845703,44.87675456203579,41.64100514746417,44.1833786378757,4362961.0,,,-0.7951179558176588,-0.0366490418333144,0.0389492333598866,0.0552536086033585,-0.0208333606881215,Power,16.0
2020-01-24,44.530067443847656,45.26196361346345,42.75811030718675,42.75811030718675,1040422.0,,,-0.7696457561049309,0.0471014408253031,-0.0397923748688533,0.0164359995757634,-0.0397923748688533,Power,16.0
2020-01-27,45.45456314086914,45.53160359774928,43.91373049202612,43.91373049202612,529816.0,,,-0.7578894047471233,0.020761156452037,-0.0338983050847457,0.0016948893918828,-0.0338983050847457,Power,16.0
2020-01-28,45.53160095214844,46.37906062311372,44.99231190751265,45.45456049974472,412266.0,,,-0.7569097532677775,0.0016948311886872,-0.0016920216024182,0.0186125603590334,-0.0118442803099007,Power,16.0
2020-01-29,45.45456314086914,46.18645923685059,45.10787520709845,46.07089561262534,558824.0,,,-0.7578894047471233,-0.0016919635960145,0.0135593091027212,0.0161017078464313,-0.0076271315752449,Power,16.0
2020-01-30,45.83977890014648,46.379071004399904,45.03084221321912,45.68569502194472,660038.0,,,-0.7529908077831573,0.0084747434065863,-0.0033613573603269,0.0117647187048648,-0.0176470460010176,Power,16.0
