Date_Ticker,Close_GLAND.NS,High_GLAND.NS,Low_GLAND.NS,Open_GLAND.NS,Volume_GLAND.NS,MA_20_Unnamed: 6_level_1,MA_50_Unnamed: 7_level_1,Normalised Close_Unnamed: 8_level_1,Return Ratio_Unnamed: 9_level_1,Percentage Change Open_Unnamed: 10_level_1,Percentage Change High_Unnamed: 11_level_1,Percentage Change Low_Unnamed: 12_level_1,Sector_Unnamed: 13_level_1,Sector Encoded_Unnamed: 14_level_1
Date,,,,,,,,,,,,,,
2020-11-20,1800.9666748046875,1831.1056354478949,1682.6376109521198,1692.535479251838,11310647.0,,,-0.5528832721066074,,-0.0602072193060477,0.0167348796981354,-0.0657030835206322,Healthcare,11.0
2020-11-23,2067.714111328125,2161.149886260211,1821.2076666032856,1825.1668137045972,3893237.0,,,-0.2293827526340314,0.1481134771982196,-0.1173021436061756,0.045187956313782,-0.1192168894985701,Healthcare,11.0
2020-11-24,2027.5782470703125,2152.5883674548986,1940.1800248495888,2088.450134888142,1961368.0,,,-0.2780579080773427,-0.0194107415710543,0.0300219672931412,0.0616548932526848,-0.0431047346000121,Healthcare,11.0
2020-11-25,2032.0323486328125,2199.306321803268,2015.3049271510492,2055.787232396664,2771893.0,,,-0.2726561535636653,0.0021967593945811,0.0116902094495858,0.0823185582075012,-0.0082318677126461,Healthcare,11.0
2020-11-26,2085.183837890625,2133.881300930644,2048.85871005626,2053.213675389781,1211725.0,,,-0.20819617370503,0.0261568125593934,-0.0153320594184083,0.0233540382172159,-0.0174205876596049,Healthcare,11.0
2020-11-27,2091.41943359375,2129.0313306484413,2070.63391153721,2103.296874768916,780377.0,,,-0.2006338950362164,0.0029904297116713,0.0056791292001892,0.0179839091339328,-0.0099384761003312,Healthcare,11.0
2020-12-01,2168.67236328125,2197.3266421090507,2088.450096779323,2098.347964536571,990336.0,,,-0.1069446614660606,0.0369380376057584,-0.0324273965654621,0.0132128205776764,-0.036991418279776,Healthcare,11.0
2020-12-02,2162.436767578125,2190.299170064386,2119.2326692925917,2182.4799507997554,649329.0,,,-0.1145069401348742,-0.0028753055596145,0.0092687950566425,0.0128847247253691,-0.0199793579786017,Healthcare,11.0
2020-12-03,2179.90625,2216.132541849434,2151.7964028497854,2175.551284941964,399313.0,,,-0.0933206572897642,0.0080786095962659,-0.0019977763071401,0.0166182797308067,-0.012894979841548,Healthcare,11.0
