Date_Ticker,Close_LODHA.NS,High_LODHA.NS,Low_LODHA.NS,Open_LODHA.NS,Volume_LODHA.NS,MA_20_Unnamed: 6_level_1,MA_50_Unnamed: 7_level_1,Normalised Close_Unnamed: 8_level_1,Return Ratio_Unnamed: 9_level_1,Percentage Change Open_Unnamed: 10_level_1,Percentage Change High_Unnamed: 11_level_1,Percentage Change Low_Unnamed: 12_level_1,Sector_Unnamed: 13_level_1,Sector Encoded_Unnamed: 14_level_1
Date,,,,,,,,,,,,,,
2021-04-19,231.90484619140625,238.2601106490966,210.64586655759945,217.3251218472931,22102730.0,,,-1.520073618375981,,-0.062869425040301,0.0274046211714131,-0.0916711314271561,Realty,17.0
2021-04-20,250.7712554931641,256.1296003767168,227.9670718326064,233.27558367521289,11705072.0,,,-1.4646033774254017,0.0813540967841014,-0.0697674531458734,0.0213674604492251,-0.0909361944841373,Realty,17.0
2021-04-22,261.0643005371094,270.53489091458925,245.03906775647357,248.22915831499853,4728296.0,,,-1.434340189578119,0.0410455537406116,-0.0491646778042959,0.0362768496420049,-0.0613842365565333,Realty,17.0
2021-04-23,264.5285339355469,267.61894302125205,258.0486566752076,260.59075020040774,2300838.0,,,-1.424154792969424,0.0132696557564946,-0.0148860452842436,0.0116827059815716,-0.0244959481834882,Realty,17.0
2021-04-26,289.1520690917969,292.09294883462934,265.1765337543051,265.1765337543051,4139576.0,,,-1.351757687281433,0.0930846090208536,-0.0829166998970367,0.0101707027449933,-0.0829166998970367,Realty,17.0
2021-04-27,301.26446533203125,305.42652825198513,284.6410693267155,287.1084133384634,4373976.0,,,-1.3161453178480986,0.0418893638848182,-0.0469887876685559,0.0138153131182157,-0.0551787479714697,Realty,17.0
2021-04-28,306.8720397949219,309.0402942059977,297.17714060980705,301.4638163924563,1970340.0,,,-1.2996581579635793,0.018613461287943,-0.0176237085857668,0.0070656629796734,-0.0315926442552204,Realty,17.0
2021-04-29,299.8937072753906,308.54183872800974,289.67543959538386,308.4172257075219,3749610.0,,,-1.320175564328531,-0.0227402031289483,0.028421798208337,0.0288373221672089,-0.0340729646275084,Realty,17.0
2021-04-30,295.9309997558594,309.9873542008111,293.13964991271365,295.08362515306334,689580.0,,,-1.3318265540536711,-0.0132137068014312,-0.002863419525143,0.0474987563200479,-0.0094324347413706,Realty,17.0
2021-05-03,298.72235107421875,301.5635342584646,284.21740647168923,294.0867524173456,848474.0,,,-1.3236195376717734,0.0094324397263626,-0.015518084402467,0.009511116841538,-0.0485566096757377,Realty,17.0
2021-05-04,297.9248352050781,303.05888590469834,290.44805348045566,299.6943341286182,587900.0,,,-1.3259643610409464,-0.0026697562678946,0.0059394139542681,0.017232704672258,-0.0250962015955326,Realty,17.0
2021-05-05,302.0619812011719,305.052693886332,292.84061708859485,294.5851994882716,582008.0,,,-1.3138004944789257,0.0138865428699353,-0.0247524752475246,0.0099009900990099,-0.0305280528052804,Realty,17.0
2021-05-06,300.04327392578125,305.1773249202599,296.85316803748736,302.061999022748,281584.0,,,-1.3197358146123743,-0.006683089567787,0.0067281131503253,0.0171110351093841,-0.0106321526443649,Realty,17.0
2021-05-07,314.8971252441406,318.0124509786493,300.56662686540056,300.56662686540056,2697842.0,,,-1.2760631316712323,0.0495056967083808,-0.0455085081123861,0.0098931539374751,-0.0455085081123861,Realty,17.0
