Date_Ticker,Close_BANKBARODA.NS,High_BANKBARODA.NS,Low_BANKBARODA.NS,Open_BANKBARODA.NS,Volume_BANKBARODA.NS,MA_20_Unnamed: 6_level_1,MA_50_Unnamed: 7_level_1,Normalised Close_Unnamed: 8_level_1,Return Ratio_Unnamed: 9_level_1,Percentage Change Open_Unnamed: 10_level_1,Percentage Change High_Unnamed: 11_level_1,Percentage Change Low_Unnamed: 12_level_1,Sector_Unnamed: 13_level_1,Sector Encoded_Unnamed: 14_level_1
Date,,,,,,,,,,,,,,
2020-01-10,89.00141143798828,90.74383424265824,88.63458300665289,89.64335594532244,22583687.0,,,-0.6110300009245027,,0.0072127452470958,0.0195774738458387,-0.0041216024039234,Financial Services,9.0
2020-01-13,89.45994567871094,89.96432865225172,88.95555570849973,89.32238414168329,15182504.0,,,-0.6049584308570779,0.0051519884158482,-0.0015376885821246,0.00563808718767,-0.00563816539776,Financial Services,9.0
2020-01-14,89.689208984375,90.5145641801589,88.4511621973589,89.7809143398321,14721468.0,,,-0.6019226963347551,0.0025627480983215,0.0010224792535864,0.0092023912924428,-0.0138037429589973,Financial Services,9.0
2020-01-15,89.87262725830078,90.14775034449448,88.31361509432507,89.50579880893275,17552783.0,,,-0.5994940076941176,0.0020450428318275,-0.0040816482232541,0.0030612556301816,-0.0173469076351243,Financial Services,9.0
2020-01-16,89.55165100097656,90.78969084037486,89.27652792703454,89.87262325612865,15395112.0,,,-0.6037441370481488,-0.0035714573737975,0.0035842137086739,0.0138248689505993,-0.0030722278245771,Financial Services,9.0
2020-01-17,89.27652740478516,90.10188962511262,87.21312535230166,88.03848757262912,16846301.0,,,-0.6073871194977154,-0.0030722336564002,-0.0138674729869665,0.0092450081149015,-0.023112481101868,Financial Services,9.0
2020-01-20,86.84629821777344,89.73506253370512,86.47947677808155,89.73506253370512,20296585.0,,,-0.6395664105482328,-0.0272213677845343,0.0332629527707433,0.0332629527707433,-0.0042238005213769,Financial Services,9.0
2020-01-21,86.89215850830078,87.76336996380539,86.29606314558514,86.84630232783388,16440135.0,,,-0.6389591626209888,0.0005280626977599,-0.0005277366940138,0.0100263530157485,-0.0068601744156084,Financial Services,9.0
2020-01-22,86.4794692993164,87.80921439487899,85.7458124900385,87.5799475165634,16534303.0,,,-0.6444236868067285,-0.0047494413312905,0.0127253118707064,0.0153764252525667,-0.0084835951841774,Financial Services,9.0
