Date_Ticker,Close_SUNTV.NS,High_SUNTV.NS,Low_SUNTV.NS,Open_SUNTV.NS,Volume_SUNTV.NS,MA_20_Unnamed: 6_level_1,MA_50_Unnamed: 7_level_1,Normalised Close_Unnamed: 8_level_1,Return Ratio_Unnamed: 9_level_1,Percentage Change Open_Unnamed: 10_level_1,Percentage Change High_Unnamed: 11_level_1,Percentage Change Low_Unnamed: 12_level_1,Sector_Unnamed: 13_level_1,Sector Encoded_Unnamed: 14_level_1
Date,,,,,,,,,,,,,,
2020-01-10,392.0492858886719,398.2675955177488,367.1760731910844,368.10670895508224,11874641.0,,,-0.8531187069252281,,-0.0610703240520338,0.0158610405704007,-0.0634440964258015,Media Entertainment & Publication,13.0
2020-01-13,386.7615661621094,390.31489290558346,375.9324216980159,390.187993911613,6260490.0,,,-0.8935251847717469,-0.0134873851755057,0.0088592767464064,0.009187383272682,-0.0279995361782005,Media Entertainment & Publication,13.0
2020-01-14,392.3030700683594,397.548426521044,384.6042125353212,387.4807016634021,4594297.0,,,-0.8511793974752913,0.0143279591124814,-0.0122924564523978,0.0133706739836896,-0.0196247700322523,Media Entertainment & Publication,13.0
2020-01-15,392.8106689453125,395.13724522788885,383.8850866250976,388.3267322554706,2595325.0,,,-0.8473005453732231,0.0012938947351716,-0.0114150073924446,0.005922894835884,-0.0227223520791324,Media Entertainment & Publication,13.0
2020-01-16,408.2084045410156,409.81585216199295,390.3149221274693,392.8106885914628,5309590.0,,,-0.7296376785028565,0.0391988731799105,-0.0377202325534327,0.0039378111844237,-0.0438341842414183,Media Entertainment & Publication,13.0
2020-01-17,410.6618347167969,413.5383236931316,402.75147066783927,405.5010606546785,2823409.0,,,-0.7108896212736334,0.0060102392515407,-0.0125669678208041,0.0070045198583366,-0.0192624767636681,Media Entertainment & Publication,13.0
2020-01-20,403.1744995117188,414.0459608740432,400.21340249265,411.1694717906912,1812624.0,,,-0.7681046136972441,-0.01823236193897,0.0198300544519931,0.0269646551939439,-0.0073444551246543,Media Entertainment & Publication,13.0
2020-01-21,406.7701110839844,409.0543962197301,400.5518280942524,401.8631607122478,1520871.0,,,-0.7406284979323325,0.008918251468335,-0.0120632028706835,0.0056156661305779,-0.0152869712407364,Media Entertainment & Publication,13.0
2020-01-22,412.4807739257813,415.1034648267515,401.7785292263229,405.2472477844632,1946491.0,,,-0.6969900708714468,0.0140390424128724,-0.0175366383079459,0.0063583349013065,-0.0259460449455615,Media Entertainment & Publication,13.0
