Date_Ticker,Close_ADANIPORTS.NS,High_ADANIPORTS.NS,Low_ADANIPORTS.NS,Open_ADANIPORTS.NS,Volume_ADANIPORTS.NS,MA_20_Unnamed: 6_level_1,MA_50_Unnamed: 7_level_1,Normalised Close_Unnamed: 8_level_1,Return Ratio_Unnamed: 9_level_1,Percentage Change Open_Unnamed: 10_level_1,Percentage Change High_Unnamed: 11_level_1,Percentage Change Low_Unnamed: 12_level_1,Sector_Unnamed: 13_level_1,Sector Encoded_Unnamed: 14_level_1
Date,,,,,,,,,,,,,,
2020-01-10,378.2411193847656,380.4118694041869,376.2633366996988,377.9999249381633,2405154.0,,,-1.2082396050452051,,-0.0006376737859561,0.005739064073605,-0.005228893908425,Services,18.0
2020-01-13,376.6009826660156,380.02593173833577,375.5879484111516,378.09637633022777,1516112.0,,,-1.213109319950277,-0.0043362200318616,0.0039707641058874,0.0090943710451163,-0.0026899405511175,Services,18.0
2020-01-14,375.4914855957031,378.7717238258297,372.4041852363615,377.2280736461589,1963128.0,,,-1.2164035175367758,-0.0029460811877287,0.0046248400218735,0.008735852491895,-0.0082220249400429,Services,18.0
2020-01-15,377.03515625,377.6140288243508,372.40423454055815,375.58798953546415,1536571.0,,,-1.211820219139871,0.0041110669975589,-0.0038382805702508,0.0015353278461038,-0.0122824665887952,Services,18.0
2020-01-16,377.1799011230469,380.70133428327057,376.070383074086,378.1929060586309,1340762.0,,,-1.211390458463428,0.0003839028553371,0.0026857341352701,0.0093362163512389,-0.0029416149844073,Services,18.0
2020-01-17,373.9478454589844,378.5787666796892,372.4041952378564,377.131600117884,1644832.0,,,-1.220986725324219,-0.0085690028934179,0.0085139002605882,0.0123838692398956,-0.0041279826582053,Services,18.0
2020-01-20,366.6637573242188,375.4914969348725,365.4577851853512,373.99607381706926,1760945.0,,,-1.242613844669952,-0.0194788878267907,0.0199973854693442,0.0240758445150823,-0.0032890410213115,Services,18.0
2020-01-21,366.56732177734375,368.54510440874776,362.0810816381189,365.4578037989321,2005178.0,,,-1.242900170568657,-0.0002630081237882,-0.0030267782000644,0.0053954144679742,-0.0122385162907396,Services,18.0
2020-01-22,370.0887756347656,371.4394586869088,365.65079179828166,366.5673424993872,1817459.0,,,-1.2324446541833651,0.0096065678750296,-0.0095151038540375,0.0036496190672807,-0.0119916736974042,Services,18.0
2020-01-23,372.2594909667969,373.1277850304974,367.3391186822544,370.9088080407428,1202104.0,,,-1.2259996031786435,0.0058653908871137,-0.0036283371111539,0.0023324967791835,-0.0132175872044625,Services,18.0
2020-01-24,371.1982116699219,373.7548666284955,366.90493922506334,369.5098507331516,1572385.0,,,-1.2291506378157897,-0.0028509126634185,-0.0045484080571799,0.0068875734801412,-0.0115659836440058,Services,18.0
2020-01-27,367.821533203125,372.645422163166,366.4225936276404,370.1852505706177,1076027.0,,,-1.2391763029151772,-0.0090966991775259,0.0064262615266392,0.0131147540983604,-0.0038033107069672,Services,18.0
2020-01-28,359.8138732910156,368.0627112684528,357.1607344810858,367.29090084627256,2220618.0,,,-1.2629517725958173,-0.0217705033263706,0.0207802647709738,0.0229252916292237,-0.0073736423380873,Services,18.0
2020-01-29,369.8475646972656,374.0925810045255,360.5856921997199,364.2036088438642,3588224.0,,,-1.2331608313679754,0.027885782486588,-0.015260221756553,0.0114777457321764,-0.0250424049841371,Services,18.0
2020-01-30,364.6859436035156,370.1851878634964,363.5764552191831,367.5802764892578,1526892.0,,,-1.2484861532678009,-0.0139560770069555,0.0079365079365079,0.0150793973730984,-0.0030423118954613,Services,18.0
2020-01-31,356.3888854980469,368.110928960748,355.27939700354386,366.6637623741756,2912256.0,,,-1.2731208724729424,-0.0227512418589109,0.0288305199579099,0.0328911588988523,-0.0031131399986071,Services,18.0
2020-02-03,354.4111022949219,356.9677573713429,342.97848039327675,351.1790910355914,2857926.0,,,-1.2789930904613298,-0.0055495086508129,-0.0091193849131762,0.0072138120388043,-0.0322580805951487,Services,18.0
2020-02-04,359.37969970703125,362.75642171770136,353.4463226339611,357.0642390739648,3061868.0,,,-1.2642408734062232,0.0140193052078113,-0.0064429366348573,0.0093959731543624,-0.0165100507288171,Services,18.0
2020-02-05,353.6875,359.37968236912303,348.3812228106573,358.8972935337282,3441871.0,,,-1.2811415314056986,-0.015838957269071,0.0147299340059465,0.0160938183258469,-0.015002727518905,Services,18.0
2020-02-06,357.16070556640625,360.0550385792858,354.7005048398519,356.9677382551431,4172547.0,367.4235427856445,,-1.2708292685792208,0.0098199839304647,-0.0005402814706537,0.0081037274475352,-0.006888217791632,Services,18.0
2020-02-07,356.5335998535156,360.5374510041064,354.2663957325631,357.16072893481385,2197903.0,366.33816680908205,,-1.272691202405961,-0.0017558082485477,0.0017589620769427,0.0112299406065397,-0.0063590195198545,Services,18.0
2020-02-10,355.2793884277344,360.29624425049286,353.25334936690194,357.01597651263137,1537598.0,365.272087097168,,-1.2764150700594412,-0.0035177930671795,0.0048879505579599,0.0141208749681771,-0.0057026642322216,Services,18.0
