Date_Ticker,Close_INDHOTEL.NS,High_INDHOTEL.NS,Low_INDHOTEL.NS,Open_INDHOTEL.NS,Volume_INDHOTEL.NS,MA_20_Unnamed: 6_level_1,MA_50_Unnamed: 7_level_1,Normalised Close_Unnamed: 8_level_1,Return Ratio_Unnamed: 9_level_1,Percentage Change Open_Unnamed: 10_level_1,Percentage Change High_Unnamed: 11_level_1,Percentage Change Low_Unnamed: 12_level_1,Sector_Unnamed: 13_level_1,Sector Encoded_Unnamed: 14_level_1
Date,,,,,,,,,,,,,,
2020-01-10,131.6843719482422,134.7833873575208,130.15870720975508,133.68682098470651,976133.0,,,-0.8496829528695776,,0.0152064288786779,0.0235336613102172,-0.0115857691836565,Consumer Services,6.0
2020-01-13,131.5890350341797,133.35309969154915,131.11226566894976,133.35309969154915,627375.0,,,-0.8501550088504349,-0.0007239804743114,0.0134058636185854,0.0134058636185854,-0.003623169400901,Consumer Services,6.0
2020-01-14,133.49612426757812,134.11592142636587,130.3494225252313,132.0181302681448,2132904.0,,,-0.8407121515112085,0.0144927670675833,-0.011071437523316,0.0046428101354121,-0.0235714838884731,Consumer Services,6.0
2020-01-15,131.44601440429688,134.9264429645651,130.49247562176123,133.49613479076163,918938.0,,,-0.8508631683748549,-0.015357074031393,0.01559667210722,0.0264780075382373,-0.007254223620678,Consumer Services,6.0
2020-01-16,134.68804931640625,135.26017554890248,130.92155036872134,132.01813189976224,936756.0,,,-0.8348103940066172,0.0246643835250694,-0.0198229718983596,0.004247787650055,-0.0279646113133372,Consumer Services,6.0
2020-01-17,138.7406005859375,139.2173698826395,132.8286252948006,134.44964690559272,1178646.0,,,-0.814744388269753,0.0300884249946413,-0.0309278874548832,0.0034364079057498,-0.0426117175950594,Consumer Services,6.0
2020-01-20,136.7381591796875,139.122020801508,135.8799773986401,138.2638390204606,1805201.0,,,-0.8246593771429708,-0.0144329878766069,0.0111576742726819,0.0174337700326057,-0.0062760957599236,Consumer Services,6.0
2020-01-21,137.40565490722656,137.7870674000901,134.97412213081708,134.97412213081708,1289680.0,,,-0.8213543052987642,0.0048815614569003,-0.017696016790948,0.0027758136528011,-0.017696016790948,Consumer Services,6.0
2020-01-22,137.50100708007812,138.97900107128336,136.83352398662865,136.97655179093493,259383.0,,,-0.820882173764773,0.0006939464967139,-0.0038141923486986,0.0107489684809689,-0.0048543869432224,Consumer Services,6.0
2020-01-23,137.50100708007812,139.31274261800812,135.21250219111712,137.73939175559363,892967.0,,,-0.820882173764773,0.0,0.0017336940330674,0.0131761619525803,-0.0166435500187152,Consumer Services,6.0
2020-01-24,138.35919189453125,138.74061938759334,137.11959755712584,137.31029629864142,369939.0,,,-0.816632914405718,0.0062412983924789,-0.0075809606974965,0.0027567918534305,-0.008959248174493,Consumer Services,6.0
2020-01-27,136.5951385498047,140.88609269519864,136.1660401342623,138.2638462741279,552588.0,,,-0.8253675366673906,-0.0127498095397324,0.0122164503220205,0.0314136666278896,-0.003141388632846,Consumer Services,6.0
