Date_Ticker,Close_ASTERDM.NS,High_ASTERDM.NS,Low_ASTERDM.NS,Open_ASTERDM.NS,Volume_ASTERDM.NS,MA_20_Unnamed: 6_level_1,MA_50_Unnamed: 7_level_1,Normalised Close_Unnamed: 8_level_1,Return Ratio_Unnamed: 9_level_1,Percentage Change Open_Unnamed: 10_level_1,Percentage Change High_Unnamed: 11_level_1,Percentage Change Low_Unnamed: 12_level_1,Sector_Unnamed: 13_level_1,Sector Encoded_Unnamed: 14_level_1
Date,,,,,,,,,,,,,,
2020-01-10,122.6076202392578,128.50810962471732,120.46198454651604,127.43529762473337,275055.0,,,-0.7287693735503967,,0.0393750190734865,0.0481249809265136,-0.0175000190734863,Healthcare,11.0
2020-01-13,122.33941650390624,124.02528070684626,121.5348133166909,123.29728857704292,112871.0,,,-0.7312599033886509,-0.0021874964608903,0.0078296276090714,0.0137802210531727,-0.0065768107304129,Healthcare,11.0
2020-01-14,122.41604614257812,125.44291943634376,121.91795736120456,124.90651343499364,149104.0,,,-0.730548323434864,0.0006263691691665,0.0203442879499218,0.0247261154819542,-0.0040688193833137,Healthcare,11.0
2020-01-15,122.79920196533205,125.67281823597162,121.64975545707618,122.95245916121122,2975180.0,,,-0.7269903528196578,0.0031299477056107,0.0012480308782663,0.0234009360374414,-0.0093603744149767,Healthcare,11.0
2020-01-16,123.3739242553711,124.90651958773594,122.79920100573426,123.3739242553711,230355.0,,,-0.7216535031662563,0.0046801793565508,0.0,0.0124223602484472,-0.0046583850931677,Healthcare,11.0
2020-01-17,123.3739242553711,125.09809400428156,122.68426103291668,122.99077542227988,1530649.0,,,-0.7216535031662563,0.0,-0.0031055900621118,0.0139751552795031,-0.0055900242017663,Healthcare,11.0
2020-01-20,124.75325775146484,125.4812381686979,123.94864289335504,125.32798097971842,120466.0,,,-0.7088450639980926,0.0111801055564924,0.0046068795205216,0.0058353619805531,-0.006449650074171,Healthcare,11.0
2020-01-21,125.40460968017578,126.86058227652394,124.29348039136704,124.86820364689996,258075.0,,,-0.7027966343909041,0.005221121599955,-0.0042774028374542,0.0116101999763915,-0.0088603544290956,Healthcare,11.0
2020-01-22,126.05596160888672,127.1670908468236,124.79157518171266,126.32417045963226,362453.0,,,-0.6967482047837158,0.0051940030782927,0.0021276966779064,0.0088145711139342,-0.0100303580333397,Healthcare,11.0
