Date_Ticker,Close_GICRE.NS,High_GICRE.NS,Low_GICRE.NS,Open_GICRE.NS,Volume_GICRE.NS,MA_20_Unnamed: 6_level_1,MA_50_Unnamed: 7_level_1,Normalised Close_Unnamed: 8_level_1,Return Ratio_Unnamed: 9_level_1,Percentage Change Open_Unnamed: 10_level_1,Percentage Change High_Unnamed: 11_level_1,Percentage Change Low_Unnamed: 12_level_1,Sector_Unnamed: 13_level_1,Sector Encoded_Unnamed: 14_level_1
Date,,,,,,,,,,,,,,
2020-01-10,225.93528747558597,231.8663147222805,224.4525235935701,227.1863562441452,222285.0,,,0.2959400254666657,,0.0055372880550783,0.0262510000671563,-0.0065627813104496,Financial Services,9.0
2020-01-13,239.0020904541016,241.87494022802636,227.7424006170018,229.827529412071,1014280.0,,,0.4279725156249931,0.0578342724791389,-0.0383869489367184,0.012020186804502,-0.0471112608919297,Financial Services,9.0
2020-01-14,237.1486358642578,243.12601621864744,234.92450420263677,239.55812361491752,351098.0,,,0.4092444284796667,-0.0077549722946866,0.010160242928991,0.0252052065684704,-0.0093786399129621,Financial Services,9.0
2020-01-15,245.5818328857422,247.38895579876976,234.46114611355765,238.16804170428583,757678.0,,,0.4944570091371627,0.0355608076375842,-0.030188679245283,0.0073585366303066,-0.0452830188679245,Financial Services,9.0
2020-01-16,241.87493896484372,248.91804629212453,240.02149115668405,247.2962794599848,322462.0,,,0.4570009890277521,-0.0150943328231574,0.0224138164885656,0.0291187973314774,-0.007662835249042,Financial Services,9.0
2020-01-17,238.90940856933597,244.7941109527236,237.4266729639771,241.31889635009728,151130.0,,,0.4270360187589814,-0.0122605938763207,0.0100853616238476,0.0246315221264288,-0.0062062671128689,Financial Services,9.0
2020-01-20,236.1756134033203,240.9482362732272,235.48057041407063,238.6314263090616,217495.0,,,0.3994125990177247,-0.011442810822673,0.0103982492957368,0.0202079410364719,-0.0029429075222205,Financial Services,9.0
2020-01-21,236.9633026123047,239.65081045446792,233.07106499128304,235.85123674068203,209951.0,,,0.4073717431101279,0.0033351843470783,-0.004692987730012,0.0113414516616534,-0.01642548689233,Financial Services,9.0
2020-01-22,230.7079162597656,238.95576760371588,229.41050843251648,237.5193285638508,157709.0,,,0.3441646802665147,-0.0263981227623818,0.0295239643897431,0.0357501878464525,-0.0056235947525455,Financial Services,9.0
2020-01-23,236.59262084960935,244.28443225423763,228.11308845256048,231.6346421952356,765016.0,,,0.403626218189808,0.0255071637126567,-0.0209557620037749,0.0325107832061997,-0.0358402234465247,Financial Services,9.0
2020-01-24,246.5548858642578,253.92235228883567,233.1174032597304,237.0096408681377,1060502.0,,,0.5042891469615894,0.042107251607737,-0.0387144832383298,0.0298816484562955,-0.0545009787878447,Financial Services,9.0
2020-01-27,240.7628631591797,250.0301023613247,239.4191304436904,245.7671949534337,302458.0,,,0.4457641059043078,-0.0234918188085185,0.0207853143486891,0.038491148844737,-0.0055811461030884,Financial Services,9.0
2020-01-28,240.85552978515625,244.19174139598607,238.44604205059204,241.08721075422267,231494.0,,,0.4467004485890772,0.0003848875393847,0.0009619084489074,0.0138515051483589,-0.0100038713527295,Financial Services,9.0
2020-01-29,236.59262084960935,244.42343518669543,235.3878769191304,241.8749443932797,124433.0,,,0.403626218189808,-0.017699028705504,0.0223266622800886,0.0330983033577523,-0.0050920604630554,Financial Services,9.0
2020-01-30,229.2251739501953,237.84369534487763,227.97409096545223,236.31460648857856,151288.0,,,0.3291824264039928,-0.0311398000197867,0.0309278096127592,0.0375984942934535,-0.0054578777853381,Financial Services,9.0
2020-01-31,231.6809844970703,235.01719633010217,228.57645364853556,230.4762405495485,209376.0,,,0.3539969722721838,0.0107135289922763,-0.0052000122070312,0.0144000244140625,-0.0134000244140625,Financial Services,9.0
2020-02-03,217.45574951171875,221.9503659183216,214.99993692296707,218.70683238715617,378393.0,,,0.2102591963761639,-0.0614000972770013,0.0057532756813587,0.0206691081596839,-0.0112933900081558,Financial Services,9.0
2020-02-04,225.5182647705078,231.68097299592569,217.87279266164228,217.87279266164228,157759.0,,,0.29172625211334,0.0370765789218857,-0.0339017866984996,0.0273268696515076,-0.0339017866984996,Financial Services,9.0
2020-02-05,236.4072723388672,239.51180305741727,227.1400333469976,227.83507627138783,260366.0,,,0.4017533786390269,0.0482843710217452,-0.0362602892147578,0.0131321286686143,-0.0392003126646032,Financial Services,9.0
2020-02-06,236.8706512451172,246.5085748303296,235.3878872439989,238.21438402630957,303030.0,235.54078216552733,,0.4064355546066009,0.0019600873596891,0.0056728546746041,0.0406885510490655,-0.0062598046373584,Financial Services,9.0
2020-02-07,252.0688934326172,254.6637089642292,234.136780835457,237.24131146599265,548001.0,236.8474624633789,,0.5600050057833205,0.0641626225436119,-0.0588235294117647,0.0102940727682674,-0.0711397283217486,Financial Services,9.0
2020-02-10,246.7865447998047,253.922329608653,234.92449107953848,253.3662896539665,393736.0,237.23668518066407,,0.5066299265828917,-0.0209559718411846,0.0266616839240541,0.0289148049567975,-0.0480660472388753,Financial Services,9.0
2020-02-11,218.52151489257807,237.2413362531675,217.78013288864983,227.0473725860392,1441326.0,236.3053291320801,,0.221028139429087,-0.1145322972537072,0.039016101904896,0.0856658044394016,-0.003392718581018,Financial Services,9.0
2020-02-12,220.46762084960935,225.1939186251773,217.8264660908857,218.70685101046024,423228.0,235.04961853027345,,0.2406924150779405,0.0089057864988164,-0.0079865235192528,0.0214376050204303,-0.0119797852788792,Financial Services,9.0
