Date_Ticker,Close_ABB.NS,High_ABB.NS,Low_ABB.NS,Open_ABB.NS,Volume_ABB.NS,MA_20_Unnamed: 6_level_1,MA_50_Unnamed: 7_level_1,Normalised Close_Unnamed: 8_level_1,Return Ratio_Unnamed: 9_level_1,Percentage Change Open_Unnamed: 10_level_1,Percentage Change High_Unnamed: 11_level_1,Percentage Change Low_Unnamed: 12_level_1,Sector_Unnamed: 13_level_1,Sector Encoded_Unnamed: 14_level_1
Date,,,,,,,,,,,,,,
2020-01-10,1334.05810546875,1366.525004696224,1294.3007401869,1300.0359305483282,147240.0,,,-0.8506839494954042,,-0.025502768418372,0.0243369453657087,-0.0298018243125028,Capital Goods,1.0
2020-01-13,1338.3837890625,1371.5797362479725,1331.822369346218,1340.862595085958,37463.0,,,-0.8487606411156866,0.0032425001399995,0.0018520890970998,0.0248030105092091,-0.0049024949120746,Capital Goods,1.0
2020-01-14,1330.947509765625,1371.5797569755805,1323.948709426464,1333.669331375263,96552.0,,,-0.8520669990532539,-0.005556163603927,0.0020450255097719,0.0305288126780525,-0.005258509661582,Capital Goods,1.0
2020-01-15,1289.97509765625,1335.4190022540338,1278.2617015205506,1335.4190022540338,89843.0,,,-0.8702843702130537,-0.0307843936810025,0.0352285130777723,0.0352285130777723,-0.00908032733111,Capital Goods,1.0
2020-01-16,1269.8533935546875,1307.4236202017655,1258.917694129208,1294.7868119767672,68577.0,,,-0.8792309890015033,-0.0155985213498474,0.0196348795448613,0.0295862710118908,-0.008611781077237,Capital Goods,1.0
2020-01-17,1266.35400390625,1278.018750056221,1255.952986053166,1270.6311012265596,35098.0,,,-0.8807869061851967,-0.0027557430378964,0.0033774894753886,0.0092112838226825,-0.0082133572610824,Capital Goods,1.0
2020-01-20,1254.54345703125,1279.2338607503646,1244.239621398531,1266.5970520955357,38416.0,,,-0.8860381741712683,-0.0093264180778587,0.00960795339271,0.0196807879238729,-0.0082132153931933,Capital Goods,1.0
2020-01-21,1273.54736328125,1282.587470887566,1250.072036530436,1253.9602854776535,37591.0,,,-0.8775885565915633,0.0151480653328429,-0.0153799366779191,0.0070983678086573,-0.0184330221455845,Capital Goods,1.0
2020-01-22,1266.8887939453125,1278.6020730102991,1258.8206297040808,1278.261874950476,14625.0,,,-0.8805491250018933,-0.0052283641173595,0.0089771738920712,0.0092457042172655,-0.006368486547352,Capital Goods,1.0
2020-01-23,1279.62255859375,1283.1219583846323,1265.6248407702967,1272.429275398094,13495.0,,,-0.8748873710333236,0.0100512094741815,-0.00562141011609,0.0027347124879764,-0.0109389426823142,Capital Goods,1.0
2020-01-24,1291.91943359375,1326.719192369149,1265.0904194699892,1281.1780978285528,198401.0,,,-0.8694198692571856,0.0096097672844356,-0.0083142458313502,0.0269364775159359,-0.0207667857810065,Capital Goods,1.0
2020-01-27,1302.174560546875,1322.0046540902167,1275.3456662987974,1275.3456662987974,45579.0,,,-0.8648601803255888,0.0079378997532362,-0.0206031472745177,0.0152284448983657,-0.0206031472745177,Capital Goods,1.0
2020-01-28,1292.5997314453125,1314.228115746616,1287.0103737045265,1303.3895983085818,18818.0,,,-0.8691173916186213,-0.0073529535836895,0.0083474153682552,0.0167324685091183,-0.00432412107539,Capital Goods,1.0
2020-01-29,1304.7506103515625,1317.2902376399202,1293.81490957566,1293.81490957566,17111.0,,,-0.8637148033999431,0.0094003415060774,-0.0083814490594151,0.0096107464437045,-0.0083814490594151,Capital Goods,1.0
2020-01-30,1294.543701171875,1309.2218151441857,1286.038157800181,1286.038157800181,22645.0,,,-0.8682530534894024,-0.0078228813220767,-0.0065703022339027,0.0113384460941898,-0.0065703022339027,Capital Goods,1.0
2020-01-31,1274.0819091796875,1311.3119398125443,1258.8205797310932,1311.3119398125443,16129.0,,,-0.8773508839593592,-0.0158061809529215,0.0292210652742312,0.0292210652742312,-0.0119782953816683,Capital Goods,1.0
2020-02-03,1256.1961669921875,1278.261933900482,1246.1838777645764,1246.1838777645764,20304.0,,,-0.8853033375036704,-0.0140381415501109,-0.0079703230201572,0.0175655422999168,-0.0079703230201572,Capital Goods,1.0
2020-02-04,1274.665283203125,1287.0104263849855,1257.6541937305135,1264.6529945066964,21892.0,,,-0.877091501107269,0.014702414078495,-0.0078548375235172,0.0096850077777581,-0.0133455344683616,Capital Goods,1.0
2020-02-05,1301.105224609375,1310.3398152958068,1277.2410506873066,1281.1779499702325,38870.0,,,-0.8653356341410963,0.0207426543694739,-0.0153156518490847,0.0070974971983563,-0.018341463450224,Capital Goods,1.0
2020-02-06,1302.0286865234375,1322.9280241476336,1287.302038892943,1302.2717020772072,25507.0,1289.9119689941406,,-0.8649250396074987,0.0007097519067604,0.0001866437785011,0.0160513649511053,-0.0113105400694482,Capital Goods,1.0
