Date_Ticker,Close_ATUL.NS,High_ATUL.NS,Low_ATUL.NS,Open_ATUL.NS,Volume_ATUL.NS,MA_20_Unnamed: 6_level_1,MA_50_Unnamed: 7_level_1,Normalised Close_Unnamed: 8_level_1,Return Ratio_Unnamed: 9_level_1,Percentage Change Open_Unnamed: 10_level_1,Percentage Change High_Unnamed: 11_level_1,Percentage Change Low_Unnamed: 12_level_1,Sector_Unnamed: 13_level_1,Sector Encoded_Unnamed: 14_level_1
Date,,,,,,,,,,,,,,
2020-01-10,4167.583984375,4239.287852225177,4158.633187751287,4217.550340501944,6500.0,,,-2.03971186497022,,0.0119892859542307,0.017205140464837,-0.0021477183560718,Chemicals,2.0
2020-01-13,4138.814453125,4210.911672372626,4131.093147259987,4167.584566114846,3863.0,,,-2.0590084215627757,-0.0069031677244806,0.006951293254551,0.0174197756541583,-0.0018655839618959,Chemicals,2.0
2020-01-14,4172.30517578125,4204.862216717961,4137.977858650868,4155.879452476931,3930.0,,,-2.0365452253623886,0.0080918637536318,-0.0039368460868262,0.0078031302996945,-0.0082274224161836,Chemicals,2.0
2020-01-15,4239.3369140625,4276.517036011559,4139.305744655125,4139.305744655125,12814.0,,,-1.991585100013057,0.0160658761660928,-0.0235959470632205,0.0087702682525012,-0.0235959470632205,Chemicals,2.0
2020-01-16,4259.00927734375,4297.763249416123,4249.124353767763,4252.075134568991,4482.0,,,-1.978390277057228,0.0046404340301413,-0.0016281116858904,0.0090992927107551,-0.0023209443634159,Chemicals,2.0
2020-01-17,4279.76318359375,4293.386050966457,4229.452467160542,4277.550098000468,8661.0,,,-1.9644700319552255,0.0048729422498332,-0.0005171046850829,0.0031830890608457,-0.0117554907304383,Chemicals,2.0
2020-01-20,4274.74658203125,4315.713637855703,4265.058569720689,4303.2218075861365,4109.0,,,-1.9678348116977904,-0.0011721680259624,0.0066612663484149,0.0095835051361072,-0.002266336056337,Chemicals,2.0
2020-01-21,4290.6318359375,4308.090620880413,4234.615992984385,4268.795867731777,4871.0,,,-1.9571801125188089,0.0037160691520342,-0.0050892197328208,0.0040690475460236,-0.0130553832384164,Chemicals,2.0
2020-01-22,4250.15576171875,4302.9749155885465,4223.54975428018,4268.795047409404,4933.0,,,-1.9843285860208435,-0.0094335929453863,0.0043855535504224,0.0124275807361085,-0.0062600076162409,Chemicals,2.0
2020-01-23,4309.8125,4327.6646287418425,4250.1081731749655,4270.862095300312,113772.0,,,-1.9443150864483956,0.0140363651653851,-0.009037610035167,0.004142205430478,-0.0138531146830713,Chemicals,2.0
2020-01-24,4521.0380859375,4538.299958039121,4320.925816139111,4327.810969954948,132260.0,,,-1.802639977548641,0.0490103887205069,-0.0427395461638726,0.0038181213636117,-0.0442624605222482,Chemicals,2.0
2020-01-27,4836.919921875,4901.541732410643,4434.187335370752,4538.300812660203,99167.0,,,-1.5907688952303198,0.0698693153946296,-0.0617374515265987,0.0133601158545937,-0.0832621984670217,Chemicals,2.0
2020-01-28,4820.93603515625,4946.4916477592815,4686.822967105384,4849.11589251407,42921.0,,,-1.6014897502889978,-0.0033045588880772,0.0058453082870879,0.0260438246198306,-0.0278188856008165,Chemicals,2.0
