Date_Ticker,Close_KPRMILL.NS,High_KPRMILL.NS,Low_KPRMILL.NS,Open_KPRMILL.NS,Volume_KPRMILL.NS,MA_20_Unnamed: 6_level_1,MA_50_Unnamed: 7_level_1,Normalised Close_Unnamed: 8_level_1,Return Ratio_Unnamed: 9_level_1,Percentage Change Open_Unnamed: 10_level_1,Percentage Change High_Unnamed: 11_level_1,Percentage Change Low_Unnamed: 12_level_1,Sector_Unnamed: 13_level_1,Sector Encoded_Unnamed: 14_level_1
Date,,,,,,,,,,,,,,
2020-01-10,137.52955627441406,139.10711992879402,136.5752379168657,139.10711992879402,37160.0,,,-1.3709728676943371,,0.0114707245272589,0.0114707245272589,-0.0069390055737852,Textiles,20.0
2020-01-13,135.68907165527344,138.87339672847818,135.35798375038573,138.27937908312788,48010.0,,,-1.377648805774149,-0.0133824660603738,0.0190900224775307,0.0234678079403087,-0.0024400484198819,Textiles,20.0
2020-01-14,134.4912872314453,138.03591253933052,133.108495393318,134.4912872314453,42790.0,,,-1.3819934955168829,-0.008827419992018,0.0,0.0263557988093703,-0.010281646243356,Textiles,20.0
2020-01-15,136.847900390625,137.11083014301764,134.15047441715245,134.15047441715245,22860.0,,,-1.373445418904268,0.0175224225129484,-0.0197111242903463,0.0019213283626722,-0.0197111242903463,Textiles,20.0
2020-01-16,134.80287170410156,137.76322642159604,133.4103474722855,136.53624609334676,28470.0,,,-1.3808632939251655,-0.0149438075460859,0.0128585865221775,0.0219606205718865,-0.0103300783893737,Textiles,20.0
2020-01-17,130.86878967285156,136.71158111271515,129.62232868773296,136.32206762698573,87950.0,,,-1.3951332789977866,-0.029183963082667,0.0416698127014576,0.0446461792339449,-0.0095245091532865,Textiles,20.0
2020-01-20,128.83355712890625,132.63136570694945,128.3563904679778,131.258306121431,120005.0,,,-1.40251562074631,-0.0155517029616689,0.0188207874296184,0.0294784112360046,-0.003703745138784,Textiles,20.0
2020-01-21,129.2912139892578,129.90469685940576,128.31741561742123,128.54138508242815,58795.0,,,-1.400855574892227,0.0035523109859774,-0.0057995348925408,0.0047449695243708,-0.0075318217053595,Textiles,20.0
2020-01-22,129.96315002441406,131.462793126571,128.22977508181197,128.78484734065935,59100.0,,,-1.3984182802157887,0.0051970742204654,-0.0090664367825291,0.0115389870272859,-0.0133374340517021,Textiles,20.0
2020-01-23,132.37815856933594,135.1632226233748,130.48898727169623,131.85229910556788,83895.0,,,-1.3896583876633355,0.0185822561585203,-0.0039724035252585,0.0210386976532848,-0.0142710196157488,Textiles,20.0
2020-01-24,133.86805725097656,134.5497131083323,130.5960942766857,132.49499804324216,38355.0,,,-1.384254120091423,0.0112548678554117,-0.0102568098464309,0.0050919978324459,-0.0244417005929694,Textiles,20.0
2020-01-27,135.32876586914062,136.13702033038493,132.8163641948954,133.86806825799698,33885.0,,,-1.3789557328155408,0.0109115546169876,-0.0107936963864437,0.005972525176398,-0.0185651709605823,Textiles,20.0
2020-01-28,135.38719177246094,137.30557582914722,134.02387994186464,135.73775979446918,78845.0,,,-1.3787438061801498,0.0004317330683175,0.0025893736136977,0.0141696125872115,-0.0100697253022837,Textiles,20.0
2020-01-29,135.4748077392578,136.88682708846542,132.4073491963892,133.01109935631052,58265.0,,,-1.3784259992487276,0.0006471510757393,-0.018185730794238,0.0104227448096863,-0.0226422800966245,Textiles,20.0
2020-01-30,133.4785614013672,136.1370270238419,131.9983835887833,136.1370270238419,28395.0,,,-1.3856669274288456,-0.014735184874613,0.0199167985822139,0.0199167985822139,-0.0110892550612156,Textiles,20.0
2020-01-31,132.6118927001953,134.7542616121437,132.05683519772734,132.46582884664798,102990.0,,,-1.3888105704262186,-0.0064929430769471,-0.0011014385706532,0.0161551793608114,-0.0041855786171669,Textiles,20.0
2020-02-03,121.0041961669922,135.24113202644818,117.86856400322684,132.43658776594128,425270.0,,,-1.430914841496462,-0.0875313389836417,0.0944792987440847,0.1176565467184977,-0.0259134167499283,Textiles,20.0
