Date_Ticker,Close_GNFC.NS,High_GNFC.NS,Low_GNFC.NS,Open_GNFC.NS,Volume_GNFC.NS,MA_20_Unnamed: 6_level_1,MA_50_Unnamed: 7_level_1,Normalised Close_Unnamed: 8_level_1,Return Ratio_Unnamed: 9_level_1,Percentage Change Open_Unnamed: 10_level_1,Percentage Change High_Unnamed: 11_level_1,Percentage Change Low_Unnamed: 12_level_1,Sector_Unnamed: 13_level_1,Sector Encoded_Unnamed: 14_level_1
Date,,,,,,,,,,,,,,
2020-01-10,165.05792236328125,168.37478153762683,162.78847978408209,167.41464299934563,641220.0,,,-1.47416227168614,,0.0142781431046816,0.0200951225294439,-0.0137493708069599,Chemicals,2.0
2020-01-13,168.89849853515625,170.90608025127082,164.0977660186531,165.3197653317001,1073505.0,,,-1.455089650625095,0.0232680510991902,-0.0211886620336725,0.0118863206809187,-0.0284237726098192,Chemicals,2.0
2020-01-14,170.86244201660156,173.00094756709905,168.72393646610408,169.33493614927562,757557.0,,,-1.4453365437654466,0.011627951097721,-0.0089399744572158,0.0125159486500239,-0.0125159486500239,Chemicals,2.0
2020-01-15,174.79031372070312,185.0027788248955,166.8909235954094,170.2077961325199,2093941.0,,,-1.425830405822567,0.02298850266766,-0.0262172284644195,0.0584269510523955,-0.0451935233545958,Chemicals,2.0
2020-01-16,179.50375366210938,180.6384749579446,171.9971614719572,173.87380618979674,1323193.0,,,-1.4024230706016785,0.0269662536846168,-0.0313639539979215,0.0063214349153453,-0.0418185805979426,Chemicals,2.0
2020-01-17,172.38995361328125,176.14325653292423,171.42980170867676,175.00853518715388,892029.0,,,-1.43775079398572,-0.0396303693025765,0.0151898734177216,0.0217721673506723,-0.0055696511570412,Chemicals,2.0
2020-01-20,169.33493041992188,174.2665867257681,167.80742460427825,171.8662204440424,325626.0,,,-1.452922293545173,-0.0177215848680639,0.0149484221468267,0.0291236798787855,-0.0090206185567009,Chemicals,2.0
2020-01-21,169.37857055664062,171.25521516970406,167.58920399604915,169.29127918537537,442233.0,,,-1.4527055729924645,0.0002577149121597,-0.0005153625454411,0.0110795870274267,-0.0105643031152699,Chemicals,2.0
2020-01-22,176.9724578857422,178.19445719960595,169.81500479283957,170.25143502190429,803254.0,,,-1.414993696199375,0.0448338140069622,-0.0379777901269652,0.0069050253834002,-0.0404438813723412,Chemicals,2.0
