Date_Ticker,Close_POLYCAB.NS,High_POLYCAB.NS,Low_POLYCAB.NS,Open_POLYCAB.NS,Volume_POLYCAB.NS,MA_20_Unnamed: 6_level_1,MA_50_Unnamed: 7_level_1,Normalised Close_Unnamed: 8_level_1,Return Ratio_Unnamed: 9_level_1,Percentage Change Open_Unnamed: 10_level_1,Percentage Change High_Unnamed: 11_level_1,Percentage Change Low_Unnamed: 12_level_1,Sector_Unnamed: 13_level_1,Sector Encoded_Unnamed: 14_level_1
Date,,,,,,,,,,,,,,
2020-01-10,999.681884765625,1009.151788459057,945.0478249958252,945.0963767481596,519892.0,,,-1.0440719812270949,,-0.0546028780248056,0.0094729171726986,-0.054651445227107,Capital Goods,1.0
2020-01-13,1039.3099365234375,1056.0157720871337,993.6115289447116,1003.3242516127928,514090.0,,,-1.0241829039332138,0.0396406620563133,-0.0346245943063137,0.0160739688678224,-0.0439699515734355,Capital Goods,1.0
2020-01-14,1018.1847534179688,1062.6689516058773,995.5540624271486,1047.274310060559,363992.0,,,-1.0347855043890697,-0.0203261629308904,0.0285700179117185,0.0436897115563541,-0.0222265074337939,Capital Goods,1.0
2020-01-15,1052.130615234375,1077.8207176109122,1011.9199222664676,1017.310530425356,533931.0,,,-1.017748283543591,0.0333395896004655,-0.033094830912474,0.0244172177907915,-0.0382183470242903,Capital Goods,1.0
2020-01-16,1080.6373291015625,1087.824766449732,1054.8501256421207,1059.609264144546,328565.0,,,-1.0034409378541256,0.0270942727589361,-0.0194589474106906,0.0066511096318921,-0.0238629582423191,Capital Goods,1.0
2020-01-17,1076.703857421875,1092.146990733036,1060.7263584055163,1082.9685157602892,211634.0,,,-1.0054151232808712,-0.0036399553983182,0.0058183671352443,0.0143429720295966,-0.0148392697827016,Capital Goods,1.0
2020-01-20,1096.7120361328125,1107.2503158649672,1080.0546940717927,1082.57997809703,280318.0,,,-0.9953731405126124,0.0185828058226208,-0.0128858420170299,0.0096089760893975,-0.0151884373584121,Capital Goods,1.0
2020-01-21,1051.6448974609375,1114.0491317365,1036.4444649324796,1101.0340614978477,528861.0,,,-1.0179920623293346,-0.0410929552946178,0.0469637271631842,0.0593396444239204,-0.014453959283364,Capital Goods,1.0
2020-01-22,965.7359619140624,1097.5376147647255,957.6744142991322,1097.0519786519978,2027984.0,,,-1.061109232705746,-0.0816900607365577,0.1359750717760064,0.1364779381203074,-0.0083475690383866,Capital Goods,1.0
2020-01-23,975.0115356445312,990.9889745581368,964.7646261966833,974.1859780199254,962524.0,,,-1.05645387886706,0.0096046684562567,-0.000846715750968,0.0163869229537307,-0.0105095263730128,Capital Goods,1.0
2020-01-24,990.5519409179688,994.5827443073052,975.1573000825532,981.9562055612164,278553.0,,,-1.0486542443164992,0.0159386886260422,-0.008677722996319,0.004069249902838,-0.0155414776343267,Capital Goods,1.0
2020-01-27,969.2325439453124,988.6579877820218,963.6962805955004,988.6579877820218,206113.0,,,-1.0593543195268458,-0.0215227451403497,0.0200420878952711,0.0200420878952711,-0.005712007282872,Capital Goods,1.0
2020-01-28,965.93017578125,981.956166631316,961.5594510039592,973.117613572161,284758.0,,,-1.0610117579512552,-0.0034071990098681,0.0074409496370664,0.0165912518853694,-0.0045248868778281,Capital Goods,1.0
2020-01-29,960.8795776367188,980.9849240756088,952.818030216012,975.1572908632784,323100.0,,,-1.0635466223319427,-0.0052287404112272,0.0148590037283085,0.0209238981729,-0.0083897583092921,Capital Goods,1.0
2020-01-30,947.6217041015624,965.3959727260371,942.2310962024716,965.3959727260371,147813.0,,,-1.070200668135273,-0.0137976431633232,0.0187567133039934,0.0187567133039934,-0.0056885652531584,Capital Goods,1.0
2020-01-31,956.2660522460938,970.980850090278,933.3926033238016,946.9904144024,205571.0,,,-1.0658621225652676,0.0091221508615897,-0.0096998506031944,0.0153877655801142,-0.0239195450560717,Capital Goods,1.0
2020-02-03,958.451416015625,964.473315643364,922.7086101321206,931.450060122846,176090.0,,,-1.0647653018284549,0.0022853093701258,-0.0281718566445718,0.0062829471865903,-0.037292245893997,Capital Goods,1.0
2020-02-04,971.0780029296876,995.5540759708836,961.5595465474876,964.4733633552072,439600.0,,,-1.058428094926978,0.0131739457035312,-0.0068013481456221,0.0252050535254151,-0.0098019483022818,Capital Goods,1.0
2020-02-05,981.3734741210938,990.697663713936,974.2831394946026,978.8481307817916,260430.0,,,-1.05326086077794,0.0106021052483378,-0.0025732745034339,0.0095011632561119,-0.0072249095919789,Capital Goods,1.0
2020-02-06,1026.634765625,1032.462399110099,982.8789627307298,984.821507225763,575947.0,1004.188623046875,,-1.0305444948398996,0.0461203534611955,-0.0407284652724396,0.0056764427625355,-0.0426206128599515,Capital Goods,1.0
2020-02-07,1027.8487548828125,1045.1859390837994,1021.341278889628,1031.4910254529143,274183.0,1005.5969665527344,,-1.029935201041402,0.0011824938122696,0.0035435861091424,0.0168674468092959,-0.0063311610412237,Capital Goods,1.0
2020-02-10,1008.6661987304688,1034.3563014797626,1003.3728125659992,1034.3563014797626,172105.0,1004.064779663086,,-1.0395628088869724,-0.0186628198567315,0.0254693800403225,0.0254693800403225,-0.005247906761555,Capital Goods,1.0
2020-02-11,1012.599853515625,1026.3432599416735,1006.2379733436997,1011.0943342189104,133928.0,1003.7855346679688,,-1.0375885315607096,0.0038998578420762,-0.0014867860107697,0.0135723962217979,-0.0062827188349255,Capital Goods,1.0
