Date_Ticker,Close_ALOKINDS.NS,High_ALOKINDS.NS,Low_ALOKINDS.NS,Open_ALOKINDS.NS,Volume_ALOKINDS.NS,MA_20_Unnamed: 6_level_1,MA_50_Unnamed: 7_level_1,Normalised Close_Unnamed: 8_level_1,Return Ratio_Unnamed: 9_level_1,Percentage Change Open_Unnamed: 10_level_1,Percentage Change High_Unnamed: 11_level_1,Percentage Change Low_Unnamed: 12_level_1,Sector_Unnamed: 13_level_1,Sector Encoded_Unnamed: 14_level_1
Date,,,,,,,,,,,,,,
2020-01-10,2.900000095367432,3.049999952316284,2.8499999046325684,3.049999952316284,1450783.0,,,-2.579716955241275,,0.0517240869020894,0.0517240869020894,-0.0172414445139968,Textiles,20.0
2020-01-13,2.799999952316284,2.950000047683716,2.799999952316284,2.950000047683716,2612464.0,,,-2.593577813358872,-0.0344828068146933,0.0535714635435422,0.0535714635435422,0.0,Textiles,20.0
2020-01-14,2.799999952316284,2.8499999046325684,2.75,2.8499999046325684,1891583.0,,,-2.593577813358872,0.0,0.0178571261313493,0.0178571261313493,-0.0178571261313493,Textiles,20.0
2020-01-15,2.8499999046325684,2.900000095367432,2.75,2.799999952316284,905662.0,,,-2.5866474008234803,0.0178571261313493,-0.017543843505051,0.0175439271606956,-0.0350876870101021,Textiles,20.0
2020-01-16,2.900000095367432,2.900000095367432,2.799999952316284,2.900000095367432,987791.0,,,-2.579716955241275,0.0175439271606956,0.0,0.0,-0.0344828068146934,Textiles,20.0
2020-01-17,2.799999952316284,2.900000095367432,2.799999952316284,2.900000095367432,1321940.0,,,-2.593577813358872,-0.0344828068146933,0.0357143374121928,0.0357143374121928,0.0,Textiles,20.0
2020-01-20,2.700000047683716,2.799999952316284,2.700000047683716,2.799999952316284,1614716.0,,,-2.607438638429655,-0.0357142522626987,0.0370370010616691,0.0370370010616691,0.0,Textiles,20.0
2020-01-21,2.799999952316284,2.799999952316284,2.700000047683716,2.700000047683716,2557243.0,,,-2.593577813358872,0.037037001061669,-0.0357142522626987,0.0,-0.0357142522626987,Textiles,20.0
2020-01-22,2.900000095367432,2.900000095367432,2.900000095367432,2.900000095367432,743819.0,,,-2.579716955241275,0.0357143374121927,0.0,0.0,0.0,Textiles,20.0
2020-01-23,3.0,3.0,3.0,3.0,552075.0,,,-2.565856130170492,0.0344827246013929,0.0,0.0,0.0,Textiles,20.0
2020-01-24,3.150000095367432,3.150000095367432,3.150000095367432,3.150000095367432,866086.0,,,-2.5450648595175034,0.0500000317891438,0.0,0.0,0.0,Textiles,20.0
2020-01-27,3.299999952316284,3.299999952316284,3.25,3.299999952316284,2255230.0,,,-2.5242736219113286,0.0476190007643018,0.0,0.0,-0.0151515009208376,Textiles,20.0
2020-01-28,3.25,3.450000047683716,3.150000095367432,3.450000047683716,7757368.0,,,-2.53120403444672,-0.0151515009208375,0.0615384762103741,0.0615384762103741,-0.0307692014254056,Textiles,20.0
