Date_Ticker,Close_VBL.NS,High_VBL.NS,Low_VBL.NS,Open_VBL.NS,Volume_VBL.NS,MA_20_Unnamed: 6_level_1,MA_50_Unnamed: 7_level_1,Normalised Close_Unnamed: 8_level_1,Return Ratio_Unnamed: 9_level_1,Percentage Change Open_Unnamed: 10_level_1,Percentage Change High_Unnamed: 11_level_1,Percentage Change Low_Unnamed: 12_level_1,Sector_Unnamed: 13_level_1,Sector Encoded_Unnamed: 14_level_1
Date,,,,,,,,,,,,,,
2020-01-10,63.63351440429688,64.51244178516782,62.001219104305264,62.001219104305264,3552547.0,,,-0.9527790411759148,,-0.0256515032254982,0.0138123344136968,-0.0256515032254982,Fast Moving Consumer Goods,8.0
2020-01-13,63.68113708496094,64.91509586771903,63.356407568882034,64.20069985123993,1591571.0,,,-0.952540325944541,0.0007483899185811,0.0081588173525515,0.0193771474449615,-0.0050993046126934,Fast Moving Consumer Goods,8.0
2020-01-14,63.74176025390625,64.25266429551046,62.34759573222925,64.07947421728146,1017450.0,,,-0.952236443979066,0.0009519800009919,0.0052981587271825,0.0080152170189384,-0.021872074384572,Fast Moving Consumer Goods,8.0
2020-01-15,64.01885986328125,65.36106448083896,63.32178127070522,63.87165348935083,2232135.0,,,-0.9508474441066704,0.0043472224217093,-0.0022994219866582,0.0209657688441207,-0.0108886442848983,Fast Moving Consumer Goods,8.0
2020-01-16,64.52111053466797,65.11860970608012,63.17457270849449,64.1660789960627,801078.0,,,-0.948329843594565,0.0078453548291757,-0.0055025639773281,0.0092605221215327,-0.0208697248856243,Fast Moving Consumer Goods,8.0
2020-01-17,65.0926284790039,66.15773044638249,64.6336769665959,64.6336769665959,2139345.0,,,-0.9454650313577492,0.0088578441939379,-0.0070507448098526,0.016362866153456,-0.0070507448098526,Fast Moving Consumer Goods,8.0
2020-01-20,65.93690490722656,66.76387968232551,64.55573231693471,65.03200129028093,2075006.0,,,-0.9412329797366268,0.012970384634183,-0.0137237806084291,0.0125419107290902,-0.0209468823602679,Fast Moving Consumer Goods,8.0
2020-01-21,68.24462890625,68.58235026992133,65.96721155348962,66.07112410406268,4740390.0,,,-0.9296651960526386,0.0349989736744606,-0.0318487306183925,0.0049486878173998,-0.0333713786602745,Fast Moving Consumer Goods,8.0
2020-01-22,68.80316925048828,69.6214853439725,67.28778201527331,68.82481986928666,3885120.0,,,-0.9268654358197586,0.0081843853969162,0.0003146747313274,0.0118935813916509,-0.0220249626830121,Fast Moving Consumer Goods,8.0
2020-01-23,72.44876861572266,73.86457625386683,68.50875027113143,68.97202739026464,7197007.0,,,-0.9085913680051664,0.0529859220868449,-0.0479889622955371,0.0195421905050421,-0.0543835101668818,Fast Moving Consumer Goods,8.0
2020-01-24,73.57881164550781,73.94250928964986,72.47907481803654,72.47907481803654,2632050.0,,,-0.9029268720222476,0.0155978224527051,-0.0149463793023683,0.0049429670853382,-0.0149463793023683,Fast Moving Consumer Goods,8.0
2020-01-27,73.46192169189453,75.33668088230735,73.17183462753223,73.42295355255425,2476271.0,,,-0.9035127989783316,-0.0015886360624637,-0.0005304535797977,0.0255201490409646,-0.003948808548447,Fast Moving Consumer Goods,8.0
2020-01-28,72.02879333496094,73.4272910410684,70.14104960679678,72.84710944522836,1459001.0,,,-0.9106965518150716,-0.0195084517791986,0.0113609581998956,0.019415814722925,-0.026208182044442,Fast Moving Consumer Goods,8.0
2020-01-29,69.97651672363281,72.7258777394432,67.86363038602936,72.16301367854182,1885477.0,,,-0.9209838703633896,-0.0284924474825542,0.031246153099395,0.039289766689428,-0.0301942199545048,Fast Moving Consumer Goods,8.0
2020-01-30,65.34374237060547,70.92039301692341,64.94540965069615,70.14104509842036,3479760.0,,,-0.9442062884667792,-0.0662047008044734,0.0734164061281701,0.0853433005824682,-0.0060959581661259,Fast Moving Consumer Goods,8.0
2020-01-31,66.4261703491211,67.50426410984795,64.6250143179668,65.55156861596306,2902140.0,,,-0.9387804694718456,0.0165651359907808,-0.013166523503633,0.0162299550773534,-0.0271151568980692,Fast Moving Consumer Goods,8.0
2020-02-03,68.96769714355469,69.44829180304157,65.8070191175927,65.81135221410194,1763955.0,,,-0.9260407171455236,0.0382609260939761,-0.0457655548927911,0.0069684023012475,-0.0458283828062738,Fast Moving Consumer Goods,8.0
2020-02-04,71.375,71.87291958843336,69.56085967574586,70.05012050400242,4458150.0,,,-0.9139737807540876,0.0349047881276152,-0.018562234619931,0.0069761063178053,-0.0254170273100404,Fast Moving Consumer Goods,8.0
