Date_Ticker,Close_JKLAKSHMI.NS,High_JKLAKSHMI.NS,Low_JKLAKSHMI.NS,Open_JKLAKSHMI.NS,Volume_JKLAKSHMI.NS,MA_20_Unnamed: 6_level_1,MA_50_Unnamed: 7_level_1,Normalised Close_Unnamed: 8_level_1,Return Ratio_Unnamed: 9_level_1,Percentage Change Open_Unnamed: 10_level_1,Percentage Change High_Unnamed: 11_level_1,Percentage Change Low_Unnamed: 12_level_1,Sector_Unnamed: 13_level_1,Sector Encoded_Unnamed: 14_level_1
Date,,,,,,,,,,,,,,
2020-01-10,312.1912841796875,318.81730052829863,302.2522450038614,305.853344030913,261245.0,,,-1.2368258281983,,-0.0203014641021387,0.0212242195230454,-0.0318363762202454,Construction Materials,4.0
2020-01-13,320.4977722167969,325.4432750505148,312.09520890025163,316.8966736525632,279203.0,,,-1.197591162689266,0.026607046570616,-0.0112359550561798,0.0154306933227996,-0.0262172284644195,Construction Materials,4.0
2020-01-14,328.6602783203125,330.14872074377547,319.7775680954392,322.65844708729,180774.0,,,-1.1590365779771536,0.0254682147930631,-0.0182615047479912,0.0045288175105004,-0.027027027027027,Construction Materials,4.0
2020-01-15,331.5411682128906,333.989903714149,323.6187507248201,329.6205821551766,428225.0,,,-1.1454290520529973,0.0087655554461936,-0.005792903692976,0.0073859168514662,-0.0238957277335265,Construction Materials,4.0
2020-01-16,333.2216491699219,340.32781104321833,330.38877328318307,332.2613562328328,157382.0,,,-1.1374915087797313,0.0050686946845532,-0.0028818443804033,0.0213256308256033,-0.0085014761009547,Construction Materials,4.0
2020-01-17,328.8043212890625,334.9982229358022,326.5956590848545,331.3010889802218,118201.0,,,-1.1583562088882453,-0.0132564252408666,0.0075934759049722,0.0188376528096003,-0.0067172541879895,Construction Materials,4.0
2020-01-20,330.4848022460937,334.80612038203054,328.8042896376739,330.72487547586803,281543.0,,,-1.1504186656149793,0.005110884645442,0.0007264274427829,0.0130756939700935,-0.0050849920994807,Construction Materials,4.0
2020-01-21,327.6519775390625,331.3010791523269,326.59564939654405,330.48482425557097,447678.0,,,-1.1637991615995105,-0.0085717245930171,0.0086459014768824,0.0111371267790665,-0.0032239333650672,Construction Materials,4.0
2020-01-22,327.6039733886719,337.8310886736631,322.8505402985981,331.30110755149724,807621.0,,,-1.1640259032471487,-0.0001465095701578,0.0112853764396778,0.0312179219903956,-0.0145096930324293,Construction Materials,4.0
