Date_Ticker,Close_BALRAMCHIN.NS,High_BALRAMCHIN.NS,Low_BALRAMCHIN.NS,Open_BALRAMCHIN.NS,Volume_BALRAMCHIN.NS,MA_20_Unnamed: 6_level_1,MA_50_Unnamed: 7_level_1,Normalised Close_Unnamed: 8_level_1,Return Ratio_Unnamed: 9_level_1,Percentage Change Open_Unnamed: 10_level_1,Percentage Change High_Unnamed: 11_level_1,Percentage Change Low_Unnamed: 12_level_1,Sector_Unnamed: 13_level_1,Sector Encoded_Unnamed: 14_level_1
Date,,,,,,,,,,,,,,
2020-01-10,176.95477294921875,179.97840428249262,175.2749745092488,178.53857704823267,609228.0,,,-1.2184295484930907,,0.0089503327467093,0.0170870289785376,-0.0094928122704663,Fast Moving Consumer Goods,8.0
2020-01-13,183.5299530029297,185.4017252517735,178.10661026841427,178.44256112777288,2671420.0,,,-1.1681979791687158,0.0371574043701993,-0.0277196816754788,0.0101987289715808,-0.0295501777545207,Fast Moving Consumer Goods,8.0
2020-01-14,182.76205444335935,186.79358219677695,181.9941583443077,184.6818239843471,1435832.0,,,-1.1740643964248294,-0.0041840503253332,0.0105042020173977,0.0220588883490968,-0.0042016166943978,Fast Moving Consumer Goods,8.0
2020-01-15,181.2262420654297,183.7699307709036,180.31435449063787,182.37810082551823,843030.0,,,-1.1857973475076926,-0.0084033438046389,0.0063559159366815,0.0140359843943322,-0.005031763415712,Fast Moving Consumer Goods,8.0
2020-01-16,185.2097625732422,187.0815349366248,181.89816306161455,182.3781054443629,1986590.0,,,-1.1553649509940307,0.0219809254024828,-0.015288919382743,0.0101062294847575,-0.0178802643317358,Fast Moving Consumer Goods,8.0
2020-01-17,184.29786682128903,186.9855469751019,183.8179244597753,185.20975437882956,966916.0,,,-1.1623314453419662,-0.0049235836128914,0.0049479007720947,0.0145833492279052,-0.0026041666666666,Fast Moving Consumer Goods,8.0
2020-01-20,179.06649780273438,185.06577731470836,178.538558276345,185.06577731470836,878585.0,,,-1.2022968718961191,-0.028385401897394,0.0335030817354955,0.0335030817354955,-0.0029482875516501,Fast Moving Consumer Goods,8.0
2020-01-21,176.13885498046875,179.88239971811225,175.6589125963258,176.61879736461174,625559.0,,,-1.2246628135406596,-0.0163494727276724,0.0027247956403271,0.0212533727328849,-0.0027247956403269,Fast Moving Consumer Goods,8.0
2020-01-22,177.33871459960938,178.9225186412859,175.8028930799937,177.57868579663185,548056.0,,,-1.215496398150352,0.0068120098729702,0.0013531799729362,0.0089309547847598,-0.0086603848634134,Fast Moving Consumer Goods,8.0
2020-01-23,175.80288696289062,178.1546163292255,174.69902535366816,177.57867961773962,664076.0,,,-1.2272294658038512,-0.0086604193573089,0.0101010437628583,0.0133770804732649,-0.0062789731630258,Fast Moving Consumer Goods,8.0
