Date_Ticker,Close_SJVN.NS,High_SJVN.NS,Low_SJVN.NS,Open_SJVN.NS,Volume_SJVN.NS,MA_20_Unnamed: 6_level_1,MA_50_Unnamed: 7_level_1,Normalised Close_Unnamed: 8_level_1,Return Ratio_Unnamed: 9_level_1,Percentage Change Open_Unnamed: 10_level_1,Percentage Change High_Unnamed: 11_level_1,Percentage Change Low_Unnamed: 12_level_1,Sector_Unnamed: 13_level_1,Sector Encoded_Unnamed: 14_level_1
Date,,,,,,,,,,,,,,
2020-01-10,19.601110458374023,19.751599408890307,19.56348893832945,19.56348893832945,439523.0,,,-0.7308458850355769,,-0.0019193565652553,0.0076775726985403,-0.0019193565652553,Power,16.0
2020-01-13,19.63873672485352,19.82684722713148,19.60111376329638,19.63873672485352,787370.0,,,-0.7299285240819103,0.0019195987165827,0.0,0.0095785439213054,-0.0019157526313555,Power,16.0
2020-01-14,19.676359176635746,19.86446968776069,19.63873764847847,19.676359176635746,1364884.0,,,-0.7290112561338659,0.0019157266737332,0.0,0.0095602295849688,-0.0019120167414885,Power,16.0
2020-01-15,19.601110458374023,19.751599408890307,19.525867418284875,19.676354933632165,1131552.0,,,-0.7308458850355769,-0.0038243212367799,0.0038387863492701,0.0076775726985403,-0.0038387131305105,Power,16.0
2020-01-16,19.75160026550293,19.864466265700564,19.56348978678385,19.789221787179123,1418656.0,,,-0.727176813243399,0.0076776164007898,0.0019047328404018,0.0057142711821056,-0.0095238095238094,Power,16.0
2020-01-17,19.676359176635746,19.826848159603426,19.601114685151902,19.713982139962315,707228.0,,,-0.7290112561338659,-0.0038093667275455,0.0019120896802518,0.0076482128434804,-0.0038241064217402,Power,16.0
2020-01-20,20.353551864624023,20.579285285119397,19.11202307499086,19.826843420472752,6997443.0,,,-0.7125007120859312,0.0344165646657029,-0.0258779621195615,0.011090615632926,-0.0609981391892111,Power,16.0
2020-01-21,20.090200424194336,20.46642139517049,19.713979453218183,20.35355395574236,1177597.0,,,-0.7189214482138095,-0.0129388443934157,0.0131085567086166,0.0187265912251963,-0.0187265912251962,Power,16.0
2020-01-22,19.45062255859375,20.24068594526651,19.33775656552178,20.24068594526651,1792943.0,,,-0.7345149103249439,-0.0318353153326609,0.0406189253990583,0.0406189253990583,-0.0058026930876875,Power,16.0
