Date_Ticker,Close_CONCOR.NS,High_CONCOR.NS,Low_CONCOR.NS,Open_CONCOR.NS,Volume_CONCOR.NS,MA_20_Unnamed: 6_level_1,MA_50_Unnamed: 7_level_1,Normalised Close_Unnamed: 8_level_1,Return Ratio_Unnamed: 9_level_1,Percentage Change Open_Unnamed: 10_level_1,Percentage Change High_Unnamed: 11_level_1,Percentage Change Low_Unnamed: 12_level_1,Sector_Unnamed: 13_level_1,Sector Encoded_Unnamed: 14_level_1
Date,,,,,,,,,,,,,,
2020-01-10,522.8576049804688,524.4348640173946,520.2134182332525,523.0895531733115,627150.0,,,-0.6448339117839169,,0.0004436163701806,0.0030166129781832,-0.0050571832981468,Services,18.0
2020-01-13,521.2340698242188,526.4297443393507,519.1001573572842,522.8577074924498,562622.0,,,-0.6534272682778262,-0.0031051191391022,0.0031149876077336,0.0099680255300351,-0.0040939619845921,Services,18.0
2020-01-14,526.01220703125,529.5841871200976,521.1876725242976,521.2340508446749,581279.0,,,-0.6281366324460336,0.0091669702416855,-0.0090837363139202,0.0067906790775966,-0.0091719059794858,Services,18.0
2020-01-15,516.8734130859375,525.5946891852184,515.8528635251217,525.5946891852184,789912.0,,,-0.6765081838683278,-0.0173737297788025,0.0168731373649331,0.0168731373649331,-0.0019744671228544,Services,18.0
2020-01-16,517.7547607421875,524.2029320281292,514.0899678563951,523.1823825992659,1061246.0,,,-0.6718432189144914,0.0017051518494402,0.0104829974895799,0.0124541033223883,-0.0070782408268713,Services,18.0
2020-01-17,514.3684692382812,520.0743622934318,512.4664482585729,517.615744784917,472663.0,,,-0.6897668283745882,-0.0065403387098789,0.0063131310351207,0.0110930070492079,-0.0036977791086709,Services,18.0
2020-01-20,511.1674499511719,516.1774970499421,509.4974342515818,513.9972066404741,393683.0,,,-0.7067097937129836,-0.0062232027788361,0.0055358702702461,0.0098011856960937,-0.0032670618986979,Services,18.0
2020-01-21,511.7242431640625,514.2292957137063,510.2861752684501,510.7500717914214,327726.0,,,-0.7037626924116419,0.0010892579583144,-0.0019037037733792,0.0048953173180825,-0.0028102399189074,Services,18.0
2020-01-22,510.5643615722656,513.0230351196577,506.8531904081889,511.21382785157465,628321.0,,,-0.7099019348978075,-0.0022666145043767,0.0012720556470275,0.004815599623563,-0.0072687626544248,Services,18.0
