Date_Ticker,Close_MANAPPURAM.NS,High_MANAPPURAM.NS,Low_MANAPPURAM.NS,Open_MANAPPURAM.NS,Volume_MANAPPURAM.NS,MA_20_Unnamed: 6_level_1,MA_50_Unnamed: 7_level_1,Normalised Close_Unnamed: 8_level_1,Return Ratio_Unnamed: 9_level_1,Percentage Change Open_Unnamed: 10_level_1,Percentage Change High_Unnamed: 11_level_1,Percentage Change Low_Unnamed: 12_level_1,Sector_Unnamed: 13_level_1,Sector Encoded_Unnamed: 14_level_1
Date,,,,,,,,,,,,,,
2020-01-10,154.81320190429688,157.79036774522584,154.27189151534887,156.66264923999668,2426271.0,,,0.3781793732238042,,0.0119463153849315,0.0192306974102207,-0.0034965389404104,Financial Services,9.0
2020-01-13,159.5045166015625,160.45180294946925,155.2191860541664,155.2191860541664,3820056.0,,,0.522536995258312,0.0303030661439695,-0.026866515373359,0.0059389311857107,-0.026866515373359,Financial Services,9.0
2020-01-14,159.09854125976562,160.76755648263523,158.3767986222104,159.14363898965996,3052632.0,,,0.510044626119102,-0.0025452278747127,0.0002834578465473,0.0104904495644906,-0.0045364503774852,Financial Services,9.0
2020-01-15,159.3692169189453,159.95563896052644,157.5197690811476,157.5197690811476,2342749.0,,,0.5183736547652887,0.001701308239764,-0.0116047996818502,0.0036796443687074,-0.0116047996818502,Financial Services,9.0
2020-01-16,165.68438720703125,166.36101826902473,159.27895474648287,160.09090651443736,5370585.0,,,0.7126993447605522,0.0396260357563143,-0.0337598538213774,0.0040838552949953,-0.0386604469408723,Financial Services,9.0
2020-01-17,164.24093627929688,165.81974228682577,163.02299470990766,165.09799964445054,2976866.0,,,0.6682825539678368,-0.0087120515823298,0.0052183297573036,0.0096127435905752,-0.0074155785821755,Financial Services,9.0
2020-01-20,162.57191467285156,166.9023569579529,161.80507426540538,164.78224043069702,3395156.0,,,0.6169246712039516,-0.0101620317337152,0.0135959877343718,0.026637087308811,-0.0047169304057795,Financial Services,9.0
2020-01-21,161.62460327148438,163.88004017879558,160.767539999925,161.7599377455797,2038351.0,,,0.5877747143043961,-0.0058270298610525,0.0008373383219879,0.0139547869671965,-0.0053028020128825,Financial Services,9.0
2020-01-22,161.3990478515625,164.15068343173422,159.73003292109948,162.39144552509768,1961654.0,,,0.5808340918652545,-0.0013955512672968,0.0061487207436805,0.017048648159947,-0.0103409217878286,Financial Services,9.0
2020-01-23,165.95506286621094,166.40615029654373,161.4893000591356,161.4893000591356,2493374.0,,,0.721028373406739,0.0282282645114398,-0.0269094701297274,0.0027181299717047,-0.0269094701297274,Financial Services,9.0
2020-01-24,169.38331604003906,170.5110345223296,165.41375248881425,165.95504910065685,4454263.0,,,0.8265200122845434,0.0206577197141126,-0.0202396966804678,0.0066577896138482,-0.0234353869320074,Financial Services,9.0
2020-01-27,166.7670135498047,172.6762473445246,165.6392950750727,168.25559643001304,3647175.0,,,0.7460131116851589,-0.015446045994376,0.008926123029503,0.035434068578287,-0.0067622394304925,Financial Services,9.0
2020-01-28,170.05995178222656,171.86430140325814,161.03820367706865,166.76701923028196,9772648.0,,,0.8473409405379121,0.019745740853232,-0.019363362846071,0.0106100795755967,-0.0530503978779841,Financial Services,9.0
2020-01-29,168.6615447998047,175.7436211716668,167.5338265091319,175.20231088570688,9137011.0,,,0.8043102082921014,-0.0082230235147463,0.038780423205929,0.0419898701880638,-0.0066862798630912,Financial Services,9.0
2020-01-30,172.27027893066406,173.62354115913132,166.6767978062184,168.52625893834272,5327201.0,,,0.9153554719980866,0.0213963066396837,-0.0217334064561899,0.0078554596699289,-0.0324692173204,Financial Services,9.0
2020-01-31,169.6539764404297,173.44310790410128,168.93223383637434,173.17245270681863,2802932.0,,,0.8348485713987022,-0.0151871959950061,0.0207391323222203,0.0223344689182811,-0.0042542038754321,Financial Services,9.0
2020-02-03,166.09039306640625,169.2480049972041,164.2860433916646,167.17300011803212,3074054.0,,,0.7251926529638183,-0.0210050094244311,0.0065181798395348,0.0190114062138162,-0.0108636606936093,Financial Services,9.0
2020-02-04,155.80560302734375,165.59420623337186,154.45234067256175,157.97083105465282,31904478.0,,,0.4087167972663487,-0.0619228472471037,0.01389698435254,0.062825745774433,-0.0086855820874713,Financial Services,9.0
2020-02-05,152.24200439453125,158.7376604954788,150.39254321755635,157.79037415936037,8733193.0,,,0.2990604092994368,-0.0228720826694986,0.0364444082754629,0.0426666485821758,-0.0121481662326388,Financial Services,9.0
2020-02-06,154.1427459716797,157.67272693294947,152.28723749260917,153.55440660406308,9532629.0,162.96691284179687,,0.3575486054418096,0.0124850010002674,-0.0038168475844118,0.0229007271086136,-0.0120375984440515,Financial Services,9.0
2020-02-07,151.11058044433594,154.95736078951634,150.06969246361277,154.2785171991904,10039600.0,162.78178176879882,,0.2642450789490166,-0.0196711529188719,0.0209643609702194,0.0254567240352665,-0.0068882534741278,Financial Services,9.0
2020-02-10,152.15145874023438,156.31502383127832,149.70761114356466,149.79812913273986,10251803.0,162.41412887573242,,0.2962742062447848,0.0068881893831508,-0.0154670196853802,0.0273646084337078,-0.0160619399702375,Financial Services,9.0
2020-02-11,149.9791717529297,154.73107679942663,149.390846176378,154.55005460749595,6704516.0,161.95816040039062,,0.2294302181306244,-0.0142771354628508,0.0304767842170523,0.0316837664254143,-0.0039227151988868,Financial Services,9.0
2020-02-12,148.3499755859375,152.33253370107064,147.89741310542993,151.33689071950965,3869511.0,161.40719833374024,,0.1792978139600392,-0.0108628161360703,0.0201342475573367,0.0268456944425048,-0.0030506407481368,Financial Services,9.0
2020-02-13,148.53099060058594,150.79380268279408,147.08278534352917,148.98355301702756,3676525.0,160.54952850341795,,0.1848678724092028,0.0012201890423876,0.0030469224948388,0.0152346124741944,-0.0097501891773625,Financial Services,9.0
2020-02-14,145.49879455566406,149.61711467544853,145.09149120559897,149.39083350195608,4591788.0,159.61242141723633,,0.0915634068523536,-0.020414568250445,0.0267496301820082,0.0283048401353518,-0.002799358931522,Financial Services,9.0
2020-02-17,152.37779235839844,153.554443756104,145.4988371461724,146.08716284502518,20303713.0,159.10271530151368,,0.3032387748173587,0.0472787271107091,-0.0412831122961635,0.0077219349322112,-0.0451440797622691,Financial Services,9.0
2020-02-18,154.36904907226562,155.138396923762,150.8390537987388,152.24200010702089,11525656.0,158.73993759155277,,0.3645122349503274,0.0130678931821224,-0.013778985995107,0.0049838219262219,-0.0228672476428504,Financial Services,9.0
2020-02-19,157.718017578125,159.21146817421982,155.22892404389347,156.04353094883425,7135132.0,158.55588607788087,,0.467564185410206,0.02169455940803,-0.0106169647260579,0.0094691184877151,-0.0157819225251075,Financial Services,9.0
2020-02-20,159.34722900390625,162.37938889622217,157.49172034111388,157.8990237521881,7663208.0,158.22549438476562,,0.5176970591128194,0.0103299004818788,-0.0090883616914521,0.0190286326989821,-0.0116444363318478,Financial Services,9.0
2020-02-24,159.21144104003906,164.1896272600769,155.9982591650828,158.30631627275946,9678931.0,157.71690063476564,,0.5135186935948974,-0.000852151397398,-0.005685048520175,0.0312677668609626,-0.0201818528490562,Financial Services,9.0
2020-02-25,161.02169799804688,163.10348782098654,158.53260477327538,160.93119380381123,6568372.0,157.42963485717777,,0.5692225648107305,0.0113701436667014,-0.0005620621031877,0.0129286291774473,-0.0154581230711011,Financial Services,9.0
2020-02-26,159.48301696777344,161.79108840372714,158.71366902986287,159.3019947359775,4389545.0,156.9007881164551,,0.5218754246307412,-0.0095557372043865,-0.0011350564796032,0.0144722082629029,-0.0048240116881287,Financial Services,9.0
2020-02-27,155.72671508789062,161.51950792952888,154.23325097247078,161.33848574281035,6877621.0,156.25404663085936,,0.4062893166811531,-0.023552989849959,0.0360360176592211,0.0371984526763367,-0.009590288439443,Financial Services,9.0
2020-02-28,147.30906677246094,152.015713148284,146.13240172572793,148.62149501988625,8413420.0,155.00598602294923,,0.1472677476002148,-0.0540539772554686,0.0089093514484925,0.0319508261028707,-0.0079877299647178,Financial Services,9.0
2020-03-02,145.2725067138672,152.33248176498665,143.91481973523292,149.70761198629668,6091156.0,153.7869125366211,,0.0846002468758639,-0.0138250828901081,0.0305295569874415,0.048598149855189,-0.0093457943925232,Financial Services,9.0
2020-03-03,146.67547607421875,149.39085046444396,142.3308742876368,148.84777006195557,5460832.0,152.81616668701173,,0.1277713691980718,0.0096575008725834,0.0148102058086221,0.0185128043412738,-0.0296205057782363,Financial Services,9.0
