Date_Ticker,Close_BRIGADE.NS,High_BRIGADE.NS,Low_BRIGADE.NS,Open_BRIGADE.NS,Volume_BRIGADE.NS,MA_20_Unnamed: 6_level_1,MA_50_Unnamed: 7_level_1,Normalised Close_Unnamed: 8_level_1,Return Ratio_Unnamed: 9_level_1,Percentage Change Open_Unnamed: 10_level_1,Percentage Change High_Unnamed: 11_level_1,Percentage Change Low_Unnamed: 12_level_1,Sector_Unnamed: 13_level_1,Sector Encoded_Unnamed: 14_level_1
Date,,,,,,,,,,,,,,
2020-01-10,221.0859832763672,230.4145060303635,217.99284751444048,223.4917721838261,203626.0,,,-0.9285802737910964,,0.010881688978227,0.0421940939708296,-0.0139906461553475,Realty,17.0
2020-01-13,229.33436584472656,230.7581899777034,219.07299401047595,219.07299401047595,90706.0,,,-0.9051557637508356,0.0373084826370405,-0.0447441524799566,0.0062085075114335,-0.0447441524799566,Realty,17.0
2020-01-14,225.94664001464844,229.28526312027043,225.79933856438157,227.86143900120703,27581.0,,,-0.9147765369221386,-0.0147719937986608,0.0084745627836486,0.0147761573502731,-0.0006519302533436,Realty,17.0
2020-01-15,228.8924865722656,233.6549337418689,223.88453698839035,225.7502354699481,107573.0,,,-0.906410652860132,0.0130377975854219,-0.0137280657367729,0.0208064809855592,-0.0218790474902468,Realty,17.0
2020-01-16,227.86143493652344,231.69103284132677,225.11197273092336,230.75818360639911,37047.0,,,-0.90933872744849,-0.0045045237228294,0.0127127641001763,0.0168066961654573,-0.0120663780001473,Realty,17.0
2020-01-17,225.94664001464844,228.6960872859306,222.41161497533724,227.81233851778475,35174.0,,,-0.9147765369221386,-0.0084033303942302,0.0082572526992008,0.0121685689643533,-0.0156453976880648,Realty,17.0
2020-01-20,225.06288146972656,229.039780985112,222.2152331657225,226.8303940302717,61331.0,,,-0.9172863151407312,-0.0039113595354397,0.0078534165607528,0.0176701706181627,-0.0126526785999009,Realty,17.0
2020-01-21,222.1661376953125,225.0628865492525,219.9567506906077,224.86649958995164,23981.0,,,-0.9255127526350488,-0.0128708197260138,0.0121546961325966,0.0130386605447168,-0.0099447513812155,Realty,17.0
2020-01-22,223.98275756835935,226.83040602292016,220.25134529511885,224.7683054293658,94413.0,,,-0.9203537496301738,0.0081768531059321,0.003507180059459,0.0127136949534683,-0.0166593728631173,Realty,17.0
2020-01-23,225.0137939453125,229.1379951519145,221.1350951756416,221.1350951756416,101877.0,,,-0.917425718375118,0.0046031953001491,-0.0172376044226584,0.0183286594758913,-0.0172376044226584,Realty,17.0
2020-01-24,224.8665008544922,227.9105511825495,222.01885247020476,226.24122456069344,60246.0,,,-0.9178440147448836,-0.0006545958282722,0.0061135104649971,0.0135371445568368,-0.0126637288056086,Realty,17.0
2020-01-27,222.0188446044922,225.4556687315997,219.85854316647612,221.2332818073376,45970.0,,,-0.9259310490048142,-0.0126637637850854,-0.0035382708100926,0.0154798757431151,-0.00973026159948,Realty,17.0
2020-01-28,225.8975524902344,229.23617578738236,219.5148788466432,223.73726594599955,389510.0,,,-0.9149159401565252,0.017470174176664,-0.0095631250556741,0.014779369056211,-0.0282547268583934,Realty,17.0
2020-01-29,224.4246063232422,229.38345529147108,222.509807410106,227.4686413949716,75598.0,,,-0.9190989471874826,-0.0065204166701003,0.0135637313643988,0.0220958345409174,-0.0085320364130583,Realty,17.0
2020-01-30,224.0318145751953,229.7271257432356,222.01882970821276,226.2412013658121,162775.0,,,-0.9202144330623924,-0.0017502169413684,0.0098619332026845,0.0254218856319117,-0.0089852634135895,Realty,17.0
2020-01-31,235.27517700195312,241.51054921353963,222.411628687185,225.7502519986357,696133.0,,,-0.8882845057258302,0.0501864543126486,-0.0404841901499807,0.0265024652878478,-0.0546744815100546,Realty,17.0
2020-02-03,225.8975524902344,227.2722762047389,212.59212982115213,214.5560294037956,336369.0,,,-0.9149159401565252,-0.0398581126628624,-0.0502064894524658,0.006085606945936,-0.0589002515627408,Realty,17.0
2020-02-04,229.33436584472656,232.62388849907117,224.62100407404108,227.71413977614128,77606.0,,,-0.9051557637508356,0.0152140353740254,-0.0070649074447144,0.0143437842044649,-0.0205523570500406,Realty,17.0
2020-02-05,227.91053771972656,235.5697336066494,224.0318243098593,231.2491607994948,176283.0,,,-0.9091992808808008,-0.0062085249184329,0.0146488315686126,0.0336061507447353,-0.0170185786435075,Realty,17.0
2020-02-06,235.4224548339844,238.0737161878924,224.03183163073575,225.8484446791091,317679.0,226.51862640380855,,-0.8878662526893673,0.0329599376554304,-0.0406673618352451,0.0112617182408432,-0.0483837585130996,Realty,17.0
2020-02-07,231.39645385742188,237.33725287402743,229.08888092234253,233.99862969914645,42509.0,227.0341499328613,,-0.8992996579074216,-0.0171011766035723,0.0112455303369858,0.0256736821916296,-0.0099723781268539,Realty,17.0
2020-02-10,231.1509552001953,234.68598014127537,221.6260460321384,228.8433823771088,74878.0,227.1249794006348,,-0.8999968474125657,-0.0010609439044291,-0.0099829690129897,0.0152931444216548,-0.0412064451985827,Realty,17.0
2020-02-11,227.3704833984375,234.6860065472758,224.8665083653814,233.2621823075741,127506.0,227.19617156982423,,-0.9107329764588707,-0.016354991042471,0.0259123296088181,0.032174462751257,-0.01101275326344,Realty,17.0
2020-02-12,223.5899658203125,228.7943027420185,220.98780485114196,228.7943027420185,42167.0,226.93104553222656,,-0.9214692355050834,-0.0166271255688898,0.0232762543820435,0.0232762543820435,-0.0116380936846771,Realty,17.0
