Date_Ticker,Close_BSOFT.NS,High_BSOFT.NS,Low_BSOFT.NS,Open_BSOFT.NS,Volume_BSOFT.NS,MA_20_Unnamed: 6_level_1,MA_50_Unnamed: 7_level_1,Normalised Close_Unnamed: 8_level_1,Return Ratio_Unnamed: 9_level_1,Percentage Change Open_Unnamed: 10_level_1,Percentage Change High_Unnamed: 11_level_1,Percentage Change Low_Unnamed: 12_level_1,Sector_Unnamed: 13_level_1,Sector Encoded_Unnamed: 14_level_1
Date,,,,,,,,,,,,,,
2020-01-10,65.96054077148438,66.93946330301306,65.54100660821126,66.93946330301306,154685.0,,,-1.5996222568008056,,0.0148410325336794,0.0148410325336794,-0.0063603808938825,Information Technology,12.0
2020-01-13,67.77853393554688,68.80407457029439,66.28684816625797,66.28684816625797,728921.0,,,-1.590327282550532,0.0275618292815519,-0.0220082330300535,0.015130758592724,-0.0220082330300535,Information Technology,12.0
2020-01-14,68.19807434082031,68.52437948722334,67.31238081439068,68.05822724581367,200753.0,,,-1.5881822704894015,0.0061898713488313,-0.0020506018147632,0.0047846680358205,-0.0129870752948737,Information Technology,12.0
2020-01-15,68.10485076904297,70.1092998772884,67.59208041726154,68.05823269600128,743476.0,,,-1.5886589008290082,-0.0013669531387566,-0.0006845044444745,0.029431811179543,-0.0075291311263617,Information Technology,12.0
2020-01-16,67.07930755615234,68.89730564298053,66.00716304549357,67.87177209070052,1060240.0,,,-1.5939022636451037,-0.0150582990977903,0.0118138448862907,0.0271022190458112,-0.0159832375991847,Information Technology,12.0
2020-01-17,67.6386947631836,68.52438119881707,67.2191534676844,67.2191534676844,226700.0,,,-1.591042247563597,0.0083391917330539,-0.0062026817189199,0.013094375027999,-0.0062026817189199,Information Technology,12.0
2020-01-20,67.59207153320312,68.43114694723346,67.31237735755356,67.68530055411352,398300.0,,,-1.5912806212443675,-0.0006892981915707,0.0013792892982218,0.0124138141500538,-0.004137973127694,Information Technology,12.0
2020-01-21,67.03269958496094,67.8717751152797,66.47331826905487,66.566547302886,379486.0,,,-1.5941405593112512,-0.0082757035781542,-0.0069541027731415,0.0125174062138924,-0.0083449021055325,Information Technology,12.0
2020-01-22,68.80406951904297,70.57544223901137,65.35453887333345,67.12591870622015,738767.0,,,-1.5850839587417478,0.0264254601865899,-0.0243902842455904,0.0257451736845033,-0.0501355613094191,Information Technology,12.0
