Date_Ticker,Close_SHREECEM.NS,High_SHREECEM.NS,Low_SHREECEM.NS,Open_SHREECEM.NS,Volume_SHREECEM.NS,MA_20_Unnamed: 6_level_1,MA_50_Unnamed: 7_level_1,Normalised Close_Unnamed: 8_level_1,Return Ratio_Unnamed: 9_level_1,Percentage Change Open_Unnamed: 10_level_1,Percentage Change High_Unnamed: 11_level_1,Percentage Change Low_Unnamed: 12_level_1,Sector_Unnamed: 13_level_1,Sector Encoded_Unnamed: 14_level_1
Date,,,,,,,,,,,,,,
2020-01-10,22919.072265625,22982.001303246216,22308.67651559645,22448.917439530087,41458.0,,,-0.5565672629306538,,-0.020513693601816,0.0027457061477833,-0.0266326552381462,Construction Materials,4.0
2020-01-13,23394.03515625,23819.96380842782,22802.88303288901,22845.04792161009,55253.0,,,-0.3872040680627009,0.0207234780326326,-0.0234669748494945,0.0182067201888438,-0.0252693526111528,Construction Materials,4.0
2020-01-14,23129.75390625,23385.20144004822,22996.97380371094,23237.7451171875,22816.0,,,-0.4814419921767248,-0.011296950194135,0.0046689303904923,0.0110441094545841,-0.0057406621392189,Construction Materials,4.0
2020-01-15,23295.224609375,23365.369036411008,22925.059456039988,23237.743071086075,24055.0,,,-0.4224381257874599,0.0071540191822052,-0.0024675245357278,0.0030111075644139,-0.0158901731810751,Construction Materials,4.0
2020-01-16,22865.517578125,23659.891454152923,22644.43089467334,23316.28307203867,59132.0,,,-0.5756638979608547,-0.0184461424371528,0.0197137673518008,0.0347411281338274,-0.009668999737105,Construction Materials,4.0
2020-01-17,22899.931640625,23214.578791127715,22781.239087099817,22908.86507638329,32537.0,,,-0.5633924643637672,0.0015050637879688,0.0003901075295107,0.0137400912561906,-0.0051830964121578,Construction Materials,4.0
2020-01-20,22710.650390625,23079.49062863372,22619.201082449403,22907.095845343683,26423.0,,,-0.630886742046,-0.0082655814423572,0.0086499264151314,0.0162408487500196,-0.0040267146295972,Construction Materials,4.0
2020-01-21,22534.330078125,22971.39920247797,22414.60785937483,22737.15682749516,29652.0,,,-0.6937593833292389,-0.0077637720394298,0.0090007889592003,0.0193957008190472,-0.0053128812054806,Construction Materials,4.0
2020-01-22,22596.376953125,22874.454348634372,22469.046252508582,22540.713154087345,28102.0,,,-0.6716345874999384,0.0027534377452042,-0.0024633948687051,0.0123062823781985,-0.0056350051550546,Construction Materials,4.0
2020-01-23,22657.5859375,22776.32640667597,22492.701855128933,22596.37302631611,15181.0,,,-0.6498085683456181,0.0027087963925356,-0.00270165194795,0.0052406496218753,-0.0072772131517405,Construction Materials,4.0
2020-01-24,22712.171875,22876.465392609385,22452.35445579678,22590.877343565124,31218.0,,,-0.6303442081769801,0.0024091682869734,-0.005340507816797,0.0072337211303965,-0.0114395673224545,Construction Materials,4.0
